base	contributing	base_IG_1D_mean	contributing_IG_1D_mean	IG_2D_added_mean	IG_2D_added_std	total_IG_mean	n_runs	ig_gain	ig_gain_pct
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis	Actinomyces_odontolyticus	2.652511596679685	32.620361328125	30.1579132080078	2.2685335534368343	32.8104248046875	2	30.1579132080078	1136.956884401876
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis	Actinomyces_sp_S6_Spd3	2.652511596679685	25.7760925292969	25.45875549316405	0.8461846377767875	28.11126708984375	2	25.45875549316405	959.7980843903706
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis	Actinomyces_sp_oral_taxon_181	0.90826416015625	26.2251281738281	27.5773010253906		28.4855651855469	1	27.5773010253906	3036.264363954033
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis	Atopobium_parvulum	0.90826416015625	23.0844421386719	25.1002197265625		26.0084838867188	1	25.1002197265625	2763.537396680331
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis	DTDPRHAMSYN-PWY:_dTDP-L-rhamnose_biosynthesis_I	0.90826416015625	3.123779296875	26.5736694335938		27.48193359375	1	26.5736694335938	2925.7643975539336
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis	HISTSYN-PWY:_L-histidine_biosynthesis	0.90826416015625	18.9493103027344	26.78564453125		27.6939086914062	1	26.78564453125	2949.102882870775
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis	Lactobacillus_fermentum	0.90826416015625	24.3880615234375	25.2341003417969		26.1423645019531	1	25.2341003417969	2778.2776695114603
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis	Oribacterium_sinus	0.90826416015625	26.8056335449219	26.3644409179688		27.272705078125	1	26.3644409179688	2902.7283112694095
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis	PWY-6609:_adenine_and_adenosine_salvage_III	0.90826416015625	22.1240234375	27.3512573242188		28.259521484375	1	27.3512573242188	3011.37692359385
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis	PWY66-422:_D-galactose_degradation_V_(Leloir_pathway)	0.90826416015625	25.7836303710938	25.1610412597656		26.0693054199219	1	25.1610412597656	2770.2338552516603
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis	RIBOSYN2-PWY:_flavin_biosynthesis_I_(bacteria_and_plants)	2.652511596679685	16.6213073730469	28.44437408447265	4.7484244484365155	31.09688568115235	2	28.44437408447265	1072.3562573704958
