base	contributing	base_IG_1D_mean	contributing_IG_1D_mean	IG_2D_added_mean	IG_2D_added_std	total_IG_mean	n_runs	ig_gain	ig_gain_pct
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis	COA-PWY-1:_coenzyme_A_biosynthesis_II_(mammalian)	11.03466796875	35.9999389648438	29.8632202148438		40.8978881835938	1	29.8632202148438	270.63089074737866
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis	Escherichia_coli	10.560302734375	21.1271362304688	32.3788146972656		42.9391174316406	1	32.3788146972656	306.60877355219026
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis	PWY-3841:_folate_transformations_II	11.03466796875	30.09228515625	30.76904296875		41.8037109375	1	30.76904296875	278.8397716713129
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis	TRNA-CHARGING-PWY:_tRNA_charging	11.03466796875	35.3642578125	30.525146484375		41.559814453125	1	30.525146484375	276.62949688039294
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY:_4-hydroxyphenylacetate_degradation	ASPASN-PWY:_superpathway_of_L-aspartate_and_L-asparagine_biosynthesis	0.0	32.1055297851562	32.1055908203125	0.0	32.1055908203125	3	32.1055908203125	
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY:_4-hydroxyphenylacetate_degradation	Escherichia_coli	0.0	24.16751098632815	33.6615905761719	5.3730879478382	33.6615905761719	2	33.6615905761719	
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY:_4-hydroxyphenylacetate_degradation	PWY-3841:_folate_transformations_II	0.0	30.09228515625	34.0142822265625		34.0142822265625	1	34.0142822265625	
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY:_4-hydroxyphenylacetate_degradation	PWY-6121:_5-aminoimidazole_ribonucleotide_biosynthesis_I	0.0	17.14501953125	24.8834838867188		24.8834838867188	1	24.8834838867188	
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY:_4-hydroxyphenylacetate_degradation	PWY-6609:_adenine_and_adenosine_salvage_III	0.0	27.1280517578125	31.14212036132815	4.878751944926167	31.14212036132815	2	31.14212036132815	
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY:_4-hydroxyphenylacetate_degradation	TRNA-CHARGING-PWY:_tRNA_charging	0.0	35.3642578125	40.0982055664062		40.0982055664062	1	40.0982055664062	
7ALPHADEHYDROX-PWY:_cholate_degradation_(bacteria,_anaerobic)	ASPASN-PWY:_superpathway_of_L-aspartate_and_L-asparagine_biosynthesis	0.0	32.1055297851562	32.1055908203125	0.0	32.1055908203125	3	32.1055908203125	
7ALPHADEHYDROX-PWY:_cholate_degradation_(bacteria,_anaerobic)	Escherichia_coli	0.0	24.16751098632815	33.6615905761719	5.3730879478382	33.6615905761719	2	33.6615905761719	
7ALPHADEHYDROX-PWY:_cholate_degradation_(bacteria,_anaerobic)	PWY-3841:_folate_transformations_II	0.0	30.09228515625	34.0142822265625		34.0142822265625	1	34.0142822265625	
7ALPHADEHYDROX-PWY:_cholate_degradation_(bacteria,_anaerobic)	PWY-6121:_5-aminoimidazole_ribonucleotide_biosynthesis_I	0.0	17.14501953125	24.8834838867188		24.8834838867188	1	24.8834838867188	
7ALPHADEHYDROX-PWY:_cholate_degradation_(bacteria,_anaerobic)	PWY-6609:_adenine_and_adenosine_salvage_III	0.0	27.1280517578125	31.14212036132815	4.878751944926167	31.14212036132815	2	31.14212036132815	
7ALPHADEHYDROX-PWY:_cholate_degradation_(bacteria,_anaerobic)	TRNA-CHARGING-PWY:_tRNA_charging	0.0	35.3642578125	40.0982055664062		40.0982055664062	1	40.0982055664062	
AEROBACTINSYN-PWY:_aerobactin_biosynthesis	ASPASN-PWY:_superpathway_of_L-aspartate_and_L-asparagine_biosynthesis	0.0	32.1055297851562	32.1055908203125	0.0	32.1055908203125	3	32.1055908203125	
AEROBACTINSYN-PWY:_aerobactin_biosynthesis	Escherichia_coli	0.0	24.16751098632815	33.6615905761719	5.3730879478382	33.6615905761719	2	33.6615905761719	
AEROBACTINSYN-PWY:_aerobactin_biosynthesis	PWY-3841:_folate_transformations_II	0.0	30.09228515625	34.0142822265625		34.0142822265625	1	34.0142822265625	
AEROBACTINSYN-PWY:_aerobactin_biosynthesis	PWY-6121:_5-aminoimidazole_ribonucleotide_biosynthesis_I	0.0	17.14501953125	24.8834838867188		24.8834838867188	1	24.8834838867188	
AEROBACTINSYN-PWY:_aerobactin_biosynthesis	PWY-6609:_adenine_and_adenosine_salvage_III	0.0	27.1280517578125	31.14212036132815	4.878751944926167	31.14212036132815	2	31.14212036132815	
AEROBACTINSYN-PWY:_aerobactin_biosynthesis	TRNA-CHARGING-PWY:_tRNA_charging	0.0	35.3642578125	40.0982055664062		40.0982055664062	1	40.0982055664062	
ALL-CHORISMATE-PWY:_superpathway_of_chorismate_metabolism	ASPASN-PWY:_superpathway_of_L-aspartate_and_L-asparagine_biosynthesis	0.0	32.1055297851562	32.1055908203125	0.0	32.1055908203125	3	32.1055908203125	
ALL-CHORISMATE-PWY:_superpathway_of_chorismate_metabolism	Escherichia_coli	0.0	24.16751098632815	33.6615905761719	5.3730879478382	33.6615905761719	2	33.6615905761719	
ALL-CHORISMATE-PWY:_superpathway_of_chorismate_metabolism	PWY-3841:_folate_transformations_II	0.0	30.09228515625	34.0142822265625		34.0142822265625	1	34.0142822265625	
ALL-CHORISMATE-PWY:_superpathway_of_chorismate_metabolism	PWY-6121:_5-aminoimidazole_ribonucleotide_biosynthesis_I	0.0	17.14501953125	24.8834838867188		24.8834838867188	1	24.8834838867188	
ALL-CHORISMATE-PWY:_superpathway_of_chorismate_metabolism	PWY-6609:_adenine_and_adenosine_salvage_III	0.0	27.1280517578125	31.14212036132815	4.878751944926167	31.14212036132815	2	31.14212036132815	
ALL-CHORISMATE-PWY:_superpathway_of_chorismate_metabolism	TRNA-CHARGING-PWY:_tRNA_charging	0.0	35.3642578125	40.0982055664062		40.0982055664062	1	40.0982055664062	
ALLANTOINDEG-PWY:_superpathway_of_allantoin_degradation_in_yeast	ASPASN-PWY:_superpathway_of_L-aspartate_and_L-asparagine_biosynthesis	0.0	32.1055297851562	32.1055908203125	0.0	32.1055908203125	3	32.1055908203125	
ALLANTOINDEG-PWY:_superpathway_of_allantoin_degradation_in_yeast	Escherichia_coli	0.0	24.16751098632815	33.6615905761719	5.3730879478382	33.6615905761719	2	33.6615905761719	
ALLANTOINDEG-PWY:_superpathway_of_allantoin_degradation_in_yeast	PWY-3841:_folate_transformations_II	0.0	30.09228515625	34.0142822265625		34.0142822265625	1	34.0142822265625	
ALLANTOINDEG-PWY:_superpathway_of_allantoin_degradation_in_yeast	PWY-6121:_5-aminoimidazole_ribonucleotide_biosynthesis_I	0.0	17.14501953125	24.8834838867188		24.8834838867188	1	24.8834838867188	
