base	contributing	base_IG_1D_mean	contributing_IG_1D_mean	IG_2D_added_mean	IG_2D_added_std	total_IG_mean	n_runs	ig_gain	ig_gain_pct
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis	Blautia_hydrogenotrophica	0.52733612060547	25.5003662109375	29.90699768066405	0.8236775463223814	30.4343338012695	2	29.90699768066405	5671.33494408193
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis	Eubacterium_sulci	0.0350341796875	22.1616516113281	24.9940185546875		25.029052734375	1	24.9940185546875	71341.81184668989
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis	Gordonibacter_pamelaeae	1.01963806152344	14.6438446044922	25.8993072509766		26.9189453125	1	25.8993072509766	2540.049084895917
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY:_4-hydroxyphenylacetate_degradation	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
7ALPHADEHYDROX-PWY:_cholate_degradation_(bacteria,_anaerobic)	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
AEROBACTINSYN-PWY:_aerobactin_biosynthesis	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
ALL-CHORISMATE-PWY:_superpathway_of_chorismate_metabolism	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
ALLANTOINDEG-PWY:_superpathway_of_allantoin_degradation_in_yeast	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
ANAEROFRUCAT-PWY:_homolactic_fermentation	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	Blautia_hydrogenotrophica	0.070556640625	25.5003662109375	28.7806091308594	0.0	28.8511657714844	3	28.7806091308594	40790.78719723187
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	Gordonibacter_pamelaeae	0.070556640625	14.6438446044922	27.7329559326172		27.8035125732422	1	27.7329559326172	39305.94723183393
ARG+POLYAMINE-SYN:_superpathway_of_arginine_and_polyamine_biosynthesis	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
ARGDEG-PWY:_superpathway_of_L-arginine,_putrescine,_and_4-aminobutanoate_degradation	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
ARGININE-SYN4-PWY:_L-ornithine_de_novo__biosynthesis	Blautia_hydrogenotrophica	0.687667846679688	25.5003662109375	24.909362792968796	0.0	25.5970306396484	3	24.909362792968796	3622.2956930791975
ARGORNPROST-PWY:_arginine,_ornithine_and_proline_interconversion	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
ARGSYN-PWY:_L-arginine_biosynthesis_I_(via_L-ornithine)	Blautia_hydrogenotrophica	0.882293701171875	25.5003662109375	25.0845336914062		25.9668273925781	1	25.0845336914062	2843.1047006329713
ARGSYNBSUB-PWY:_L-arginine_biosynthesis_II_(acetyl_cycle)	Blautia_hydrogenotrophica	0.411178588867188	25.5003662109375	26.0492706298828		26.46044921875	1	26.0492706298828	6335.269232196523
ARGSYNBSUB-PWY:_L-arginine_biosynthesis_II_(acetyl_cycle)	Gordonibacter_pamelaeae	0.278045654296875	14.6438446044922	28.068603515625		28.3466491699219	1	28.068603515625	10094.962133684558
ARO-PWY:_chorismate_biosynthesis_I	Blautia_hydrogenotrophica	0.0595321655273435	25.5003662109375	25.87616729736325	0.4766302804399733	25.93569946289065	2	25.87616729736325	43465.859284890554
ASPASN-PWY:_superpathway_of_L-aspartate_and_L-asparagine_biosynthesis	Blautia_hydrogenotrophica	0.3750305175781253	25.5003662109375	26.966049194335966	0.1750392532124039	27.3410797119141	3	26.966049194335966	7190.361298722436
ASPASN-PWY:_superpathway_of_L-aspartate_and_L-asparagine_biosynthesis	Gordonibacter_pamelaeae	0.5771484375	14.6438446044922	24.9291076660156		25.5062561035156	1	24.9291076660156	4319.358079526222
AST-PWY:_L-arginine_degradation_II_(AST_pathway)	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Abiotrophia_defectiva	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Abiotrophia_sp_HMSC24B09	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Absiella_dolichum	Blautia_hydrogenotrophica	0.505111694335938	25.5003662109375	25.172119140625	0.0	25.6772308349609	3	25.172119140625	4983.475817901695
Absiella_dolichum	Gordonibacter_pamelaeae	0.505111694335938	14.6438446044922	25.8516235351562		26.3567352294922	1	25.8516235351562	5118.0013896021355
Acetatifactor_muris	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Acetomicrobium_flavidum	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Acholeplasma_oculi	Gordonibacter_pamelaeae	0.120193481445312	14.6438446044922	25.7967071533203		25.9169006347656	1	25.7967071533203	21462.650755363793
Acidaminococcus_fermentans	Gordonibacter_pamelaeae	1.57688903808594	14.6438446044922	25.0359191894531		26.6128082275391	1	25.0359191894531	1587.677926903608
Acidaminococcus_intestini	Gordonibacter_pamelaeae	9.58273315429688	14.6438446044922	26.0726165771484		35.6553497314453	1	26.0726165771484	272.07912562458745
Acidovorax_caeni	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Acidovorax_sp_MR_S7	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Acinetobacter_junii	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Acinetobacter_lwoffii	Gordonibacter_pamelaeae	0.120193481445312	14.6438446044922	25.0034027099609		25.1235961914062	1	25.0034027099609	20802.627904024426
Acinetobacter_parvus	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Acinetobacter_pittii	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Acinetobacter_ursingii	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
Actinobaculum_massiliense	Gordonibacter_pamelaeae	1.52587890625e-05	14.6438446044922	25.1558380126953		25.1558532714844	1	25.1558380126953	164861299.9999999
