base	contributing	base_IG_1D_mean	contributing_IG_1D_mean	IG_2D_added_mean	IG_2D_added_std	total_IG_mean	n_runs	ig_gain	ig_gain_pct
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis	Bacteroides_uniformis	0.8018875122070287	19.2166976928711	28.1648635864258	0.5686978793758887	28.9667510986328	2	28.1648635864258	3512.3210123210256
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis	Parabacteroides_merdae	0.0190277099609375	18.9071502685547	26.0989227294922		26.1179504394531	1	26.0989227294922	137162.7105052126
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis	Prevotella_sp_CAG_520	0.0365142822265625	7.146728515625	25.3383331298828		25.3748474121094	1	25.3383331298828	69392.93773506056
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY:_4-hydroxyphenylacetate_degradation	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
7ALPHADEHYDROX-PWY:_cholate_degradation_(bacteria,_anaerobic)	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
AEROBACTINSYN-PWY:_aerobactin_biosynthesis	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
ALL-CHORISMATE-PWY:_superpathway_of_chorismate_metabolism	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
ALLANTOINDEG-PWY:_superpathway_of_allantoin_degradation_in_yeast	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
ANAEROFRUCAT-PWY:_homolactic_fermentation	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	Bacteroides_uniformis	0.40753173828125	22.264200846354168	29.3918762207031	0.0	29.7994079589844	3	29.3918762207031	7212.168638610148
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	Firmicutes_bacterium_CAG_791	0.40753173828125	24.5907211303711	26.2368621826172	0.0	26.6443939208984	2	26.2368621826172	6437.992361839153
ARG+POLYAMINE-SYN:_superpathway_of_arginine_and_polyamine_biosynthesis	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
ARGDEG-PWY:_superpathway_of_L-arginine,_putrescine,_and_4-aminobutanoate_degradation	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
ARGININE-SYN4-PWY:_L-ornithine_de_novo__biosynthesis	Bacteroides_uniformis	0.23255920410156197	22.264200846354168	28.2281646728516	0.0	28.4607238769531	3	28.2281646728516	12138.055245718828
ARGORNPROST-PWY:_arginine,_ornithine_and_proline_interconversion	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
ARGSYN-PWY:_L-arginine_biosynthesis_I_(via_L-ornithine)	Bacteroides_uniformis	1.1789855957031241	19.2166976928711	27.6856231689453	0.8315863181516733	28.864608764648402	2	27.6856231689453	2348.2579659876274
ARGSYN-PWY:_L-arginine_biosynthesis_I_(via_L-ornithine)	Fusicatenibacter_saccharivorans	1.85865783691406	28.3523712158203	29.7026596069336		31.5613174438477	1	29.7026596069336	1598.0703396300792
ARGSYNBSUB-PWY:_L-arginine_biosynthesis_II_(acetyl_cycle)	Bacteroides_uniformis	1.0321706136067708	22.264200846354168	27.780479431152333	0.537582268449172	28.812650044759135	3	27.780479431152333	2691.461960351445
ARGSYNBSUB-PWY:_L-arginine_biosynthesis_II_(acetyl_cycle)	Fusicatenibacter_saccharivorans	0.618927001953126	28.225830078125	29.49497604370115	0.07957864478519867	30.1139030456543	2	29.49497604370115	4765.501577831457
ARO-PWY:_chorismate_biosynthesis_I	Bacteroides_thetaiotaomicron	0.11727905273437525	21.647670745849602	27.09697341918945	0.2029144848691479	27.21425247192385	2	27.09697341918945	23104.7001040853
ARO-PWY:_chorismate_biosynthesis_I	Bacteroides_uniformis	0.5931752522786468	22.264200846354168	32.3563486735026	1.169522746315702	32.94952392578127	3	32.3563486735026	5454.770499815636
ARO-PWY:_chorismate_biosynthesis_I	Firmicutes_bacterium_CAG_791	0.7814636230468762	24.5907211303711	26.1977081298828	0.5356925137196072	26.9791717529297	2	26.1977081298828	3352.389971492163
ARO-PWY:_chorismate_biosynthesis_I	Prevotella_sp_CAG_520	0.11727905273437525	15.33506774902345	26.8300552368164	1.19256294887947	26.94733428955075	2	26.8300552368164	22877.10772833718
ASPASN-PWY:_superpathway_of_L-aspartate_and_L-asparagine_biosynthesis	Bacteroides_uniformis	2.3375244140625	19.2166976928711	27.7506141662598	0.7580498455690642	30.08813858032225	2	27.7506141662598	1187.1796503733892
ASPASN-PWY:_superpathway_of_L-aspartate_and_L-asparagine_biosynthesis	Firmicutes_bacterium_CAG_791	1.69219970703125	24.5907211303711	24.988395690918		26.6805953979492	1	24.988395690918	1476.6812443642941
AST-PWY:_L-arginine_degradation_II_(AST_pathway)	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Abiotrophia_defectiva	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Abiotrophia_sp_HMSC24B09	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Absiella_dolichum	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Acetatifactor_muris	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Acetomicrobium_flavidum	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Acholeplasma_oculi	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Acidaminococcus_fermentans	Bacteroides_uniformis	0.539840698242188	10.0741882324219	27.7028503417969		28.2426910400391	1	27.7028503417969	5131.671330450266
Acidaminococcus_intestini	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Acidaminococcus_sp_CAG_542	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Acidovorax_caeni	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Acidovorax_sp_MR_S7	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Acinetobacter_idrijaensis	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Acinetobacter_johnsonii	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Acinetobacter_junii	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Acinetobacter_lwoffii	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Acinetobacter_parvus	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Acinetobacter_pittii	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Acinetobacter_ursingii	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Actinobaculum_massiliense	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Actinobaculum_sp_oral_taxon_183	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Actinomyces_cardiffensis	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Actinomyces_europaeus	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Actinomyces_georgiae	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Actinomyces_graevenitzii	Bacteroides_uniformis	0.539840698242188	10.0741882324219	27.7028503417969		28.2426910400391	1	27.7028503417969	5131.671330450266
Actinomyces_hongkongensis	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Actinomyces_johnsonii	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Actinomyces_massiliensis	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Actinomyces_meyeri	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Actinomyces_naeslundii	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Actinomyces_odontolyticus	Bacteroides_uniformis	0.539840698242188	10.0741882324219	27.7028503417969		28.2426910400391	1	27.7028503417969	5131.671330450266
Actinomyces_oris	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Actinomyces_radicidentis	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Actinomyces_sp_HMSC035G02	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Actinomyces_sp_HPA0247	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Actinomyces_sp_ICM47	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Actinomyces_sp_S6_Spd3	Bacteroides_uniformis	2.29264831542969	22.264200846354168	26.3777618408203	0.0	28.67041015625	3	26.3777618408203	1150.5367684740847
Actinomyces_sp_oral_taxon_170	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Actinomyces_sp_oral_taxon_180	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Actinomyces_sp_oral_taxon_181	Bacteroides_uniformis	1.3743896484375	22.264200846354168	27.042381286621104	0.0	28.416770935058604	3	27.042381286621104	1967.592037481127
Actinomyces_sp_oral_taxon_414	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Actinomyces_sp_oral_taxon_448	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Actinomyces_sp_oral_taxon_897	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Actinomyces_turicensis	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Actinomyces_urogenitalis	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Actinomyces_viscosus	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Actinotignum_schaalii	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Actinotignum_timonense	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Aeriscardovia_aeriphila	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Aerococcus_christensenii	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Aerococcus_urinaeequi	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Aerococcus_viridans	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
Aeromonas_allosaccharophila	Bacteroides_uniformis	0.0	10.0741882324219	28.3591918945312		28.3591918945312	1	28.3591918945312	
