feature1	feature2	pair_ig_mean	pair_ig_std	pair_ig_count	f1_ig_mean	f2_ig_mean	mean_individual_ig	ig_difference_raw	ig_difference_pct	synergy
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis	PWY-6608:_guanosine_nucleotides_degradation_III	11.63396072387695	0.6978331258149407	2	0.1395797729492185	4.00061798095703	2.0700988769531246	9.563861846923825	82.20641339535761	True
ARGSYN-PWY:_L-arginine_biosynthesis_I_(via_L-ornithine)	OANTIGEN-PWY:_O-antigen_building_blocks_biosynthesis_(E._coli)	7.607955932617186	1.5293169428311355	2	0.13978576660156225	0.790252685546875	0.46501922607421864	7.142936706542967	93.88772450586147	True
ARGSYNBSUB-PWY:_L-arginine_biosynthesis_II_(acetyl_cycle)	PWY-7357:_thiamin_formation_from_pyrithiamine_and_oxythiamine_(yeast)	10.559814453125		1	0.0350799560546875	0.0242767333984375	0.0296783447265625	10.530136108398438	99.71895013062678	True
Acidaminococcus_intestini	Lawsonibacter_asaccharolyticus	4.3564453125		1	0.0593414306640625	0.079925537109375	0.06963348388671875	4.286811828613281	98.40159857655235	True
Acidaminococcus_intestini	Monoglobus_pectinilyticus	4.13964080810547		1	0.0593414306640625	7.62939453125e-05	0.0297088623046875	4.109931945800782	99.28233236452503	True
Acinetobacter_ursingii	THRESYN-PWY:_superpathway_of_L-threonine_biosynthesis	3.17434692382812		1	2.19419097900391	0.0201873779296875	1.1071891784667987	2.0671577453613215	65.12072545833844	True
Actinobaculum_sp_oral_taxon_183	Kluyvera_cryocrescens	2.75576019287109	0.0	3	0.894638061523438	0.83453369140625	0.864585876464844	1.8911743164062462	68.62622957173662	True
Actinobaculum_sp_oral_taxon_183	Veillonella_rogosae	4.55171966552734	0.0	3	0.894638061523438	0.026275634765625	0.4604568481445315	4.091262817382809	89.88389263882345	True
Actinomyces_graevenitzii	Anaerotruncus_sp_CAG_528	3.18841552734375		1	0.0266571044921875	1.566650390625	0.7966537475585938	2.3917617797851562	75.0141178047053	True
Actinomyces_odontolyticus	Firmicutes_bacterium_CAG_424	7.4643529256184875	0.7906939500515191	3	0.17585754394531264	0.546707153320312	0.3612823486328123	7.103070576985675	95.15989728469495	True
Actinomyces_odontolyticus	Sellimonas_intestinalis	7.36810302734375		1	0.11517333984375	0.766609191894531	0.4408912658691405	6.927211761474609	94.01621741399448	True
Actinomyces_oris	HISTSYN-PWY:_L-histidine_biosynthesis	8.67782592773438		1	0.582260131835938	1.32771301269531	0.9549865722656241	7.722839355468756	88.99509416046844	True
Actinomyces_oris	PWY-3841:_folate_transformations_II	5.54232025146484		1	0.582260131835938	0.0280303955078125	0.3051452636718753	5.237174987792965	94.49426864874462	True
Actinomyces_oris	PWY-6121:_5-aminoimidazole_ribonucleotide_biosynthesis_I	8.503710428873697	0.26832967481877884	3	0.582260131835938	2.828414916992187	1.7053375244140625	6.798372904459635	79.94595960577726	True
Actinomyces_oris	PWY-6277:_superpathway_of_5-aminoimidazole_ribonucleotide_biosynthesis	8.307439168294271	0.9552878012514329	3	0.582260131835938	2.5631179809570326	1.5726890563964853	6.734750111897786	81.06890674085551	True
Actinomyces_oris	PWY-6737:_starch_degradation_V	6.56112670898438		1	0.582260131835938	1.25933837890625	0.920799255371094	5.640327453613287	85.96583641480035	True
Actinomyces_oris	PWY-7221:_guanosine_ribonucleotides_de_novo_biosynthesis	8.62687683105469		1	0.582260131835938	0.0593414306640625	0.3208007812500003	8.30607604980469	96.28137983731037	True
Actinomyces_sp_ICM47	COBALSYN-PWY:_adenosylcobalamin_salvage_from_cobinamide_I	4.77702331542969		1	0.005828857421875	0.747894287109375	0.376861572265625	4.400161743164065	92.11095388527058	True
Actinomyces_sp_ICM47	Parabacteroides_sp_CAG_409	4.25826263427734		1	0.005828857421875	0.0027008056640625	0.00426483154296875	4.2539978027343714	99.89984573735217	True
Actinomyces_sp_ICM47	THISYNARA-PWY:_superpathway_of_thiamin_diphosphate_biosynthesis_III_(eukaryotes)	5.3415412902832	1.4060512351030816	2	0.005828857421875	0.0087738037109375	0.00730133056640625	5.334239959716793	99.86331041604625	True
Actinomyces_sp_S6_Spd3	Sutterella_parvirubra	5.95558166503906	0.0	3	0.54742431640625	0.362319946289062	0.45487213134765603	5.500709533691404	92.3622551594266	True
Actinomyces_sp_oral_taxon_181	Anaerotruncus_sp_CAG_528	7.22123718261719	0.0	3	2.73635101318359	1.566650390625	2.151500701904295	5.069736480712895	70.20592666470861	True
Actinomyces_sp_oral_taxon_181	Firmicutes_bacterium_CAG_791	3.53980255126953	0.0	3	2.73635101318359	0.83453369140625	1.78544235229492	1.7543601989746098	49.56096204703335	True
Actinomyces_sp_oral_taxon_181	Mitsuokella_jalaludinii	4.1727294921875	0.0	3	2.73635101318359	0.0110626220703125	1.3737068176269513	2.7990226745605487	67.07893909253141	True
Actinomyces_sp_oral_taxon_448	Anaerotruncus_sp_CAG_528	4.15037536621094	0.0	3	0.026275634765625	1.566650390625	0.7964630126953125	3.3539123535156277	80.80985591858794	True
Adlercreutzia_equolifaciens	Dorea_sp_CAG_317	6.82241821289062		1	1.11654663085938	2.63333892822266	1.87494277954102	4.9474754333496	72.51791489418797	True
Adlercreutzia_equolifaciens	Prevotella_disiens	2.577075958251955	0.011151044591615786	2	4.693138122558595	0.026275634765625	2.35970687866211	0.21736907958984508	8.43471760674403	True
