feature1	feature2	pair_ig_mean	pair_ig_std	pair_ig_count	f1_ig_mean	f2_ig_mean	mean_individual_ig	ig_difference_raw	ig_difference_pct	synergy
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis	PWY0-1319:_CDP-diacylglycerol_biosynthesis_II	14.2482223510742		1	0.03887939453125	4.146728515625	2.092803955078125	12.155418395996074	85.31182414541458	True
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	GLYCOLYSIS:_glycolysis_I_(from_glucose_6-phosphate)	4.27546691894531		1	0.40753173828125	0.11810302734375	0.2628173828125	4.01264953613281	93.85289635506446	True
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	THRESYN-PWY:_superpathway_of_L-threonine_biosynthesis	4.35350036621094		1	0.40753173828125	0.745590209960938	0.576560974121094	3.7769393920898464	86.75638163267453	True
ARGSYNBSUB-PWY:_L-arginine_biosynthesis_II_(acetyl_cycle)	PWY-7539:_6-hydroxymethyl-dihydropterin_diphosphate_biosynthesis_III_(Chlamydia)	5.50532531738281		1	1.85865783691406	2.98284912109375	2.420753479003905	3.084571838378905	56.0288749629293	True
ARO-PWY:_chorismate_biosynthesis_I	GLUTORN-PWY:_L-ornithine_biosynthesis	9.81024169921875		1	1.00141906738281	0.0776214599609375	0.5395202636718738	9.270721435546877	94.5004386210501	True
ARO-PWY:_chorismate_biosynthesis_I	PWY-6897:_thiamin_salvage_II	7.361083984375		1	0.0001678466796875	4.58042907714844	2.290298461914064	5.070785522460936	68.88639680275942	True
Actinomyces_graevenitzii	Veillonella_rogosae	2.12007141113281	0.0	3	0.539840698242188	0.647018432617188	0.593429565429688	1.526641845703122	72.0089822298673	True
Actinomyces_odontolyticus	Veillonella_rogosae	2.12007141113281	0.0	3	0.539840698242188	0.647018432617188	0.593429565429688	1.526641845703122	72.0089822298673	True
Adlercreutzia_equolifaciens	Alistipes_onderdonkii	4.81330871582031	0.0	3	3.6999359130859397	0.23255920410156197	1.9662475585937509	2.847061157226559	59.14977254354955	True
Adlercreutzia_equolifaciens	Bacteroides_sp_D2	3.9057159423828103	0.0	3	3.6999359130859397	0.0002593994140625	1.850097656250001	2.055618286132809	52.63102377278137	True
Adlercreutzia_equolifaciens	Erysipelatoclostridium_ramosum	8.06936645507812	0.0	3	3.6999359130859397	0.23255920410156197	1.9662475585937509	6.103118896484369	75.63318546084402	True
Agathobaculum_butyriciproducens	PWY-7220:_adenosine_deoxyribonucleotides_de_novo_biosynthesis_II	6.0938644409179705	0.14905823031756985	2	0.095161437988281	2.98284912109375	1.5390052795410154	4.554859161376955	74.74500303605076	True
Agathobaculum_butyriciproducens	PWY0-1296:_purine_ribonucleosides_degradation	8.4422607421875		1	0.327804565429688	0.0269927978515625	0.17739868164062525	8.264862060546875	97.89868274555734	True
Agathobaculum_butyriciproducens	Prevotella_sp_885	8.98994445800781		1	0.01641845703125	0.091949462890625	0.0541839599609375	8.935760498046873	99.39728259485882	True
Agathobaculum_butyriciproducens	Veillonella_parvula	10.3011627197266		1	0.327804565429688	4.48594665527344	2.4068756103515643	7.8942871093750355	76.63491320506542	True
Aggregatibacter_segnis	Prevotella_multiformis	1.66018676757812	0.0	3	0.196014404296875	0.539840698242188	0.3679275512695315	1.2922592163085884	77.8381831216337	True
Aggregatibacter_segnis	Prevotella_sp_885	2.79739379882812		1	0.196014404296875	0.091949462890625	0.14398193359375	2.65341186523437	94.85299732722412	True
Akkermansia_muciniphila	PWY-5667:_CDP-diacylglycerol_biosynthesis_I	15.2877197265625		1	2.14767456054688	4.98536682128906	3.5665206909179696	11.721199035644531	76.67068238619578	True
Akkermansia_muciniphila	Phascolarctobacterium_faecium	8.74974060058594	0.0	3	1.8691304524739598	1.00143432617188	1.43528238932292	7.31445821126302	83.59628639474404	True
Alistipes_finegoldii	Eggerthella_lenta	8.69397735595703	0.0	3	3.9203338623046897	2.24205017089844	3.081192016601565	5.612785339355464	64.55946581813488	True
Alistipes_finegoldii	Parabacteroides_johnsonii	13.2857894897461	0.0	3	3.9203338623046897	0.40753173828125	2.1639328002929696	11.121856689453132	83.71242595735029	True
Alistipes_finegoldii	Veillonella_dispar	7.20513916015625	0.0	3	3.9203338623046897	0.716110229492188	2.318222045898439	4.886917114257811	67.82543689484872	True
Alistipes_indistinctus	Parasutterella_excrementihominis	19.1732025146484	0.0	3	3.6581929524739603	10.0741882324219	6.86619059244793	12.307011922200468	64.188608620797	True
Alistipes_indistinctus	Turicimonas_muris	8.69136810302734	0.0	3	3.6581929524739603	0.513671875	2.0859324137369804	6.60543568929036	75.9999531833151	True
Alistipes_putredinis	Parabacteroides_johnsonii	19.3803863525391	0.0	3	12.4822311401367	0.40753173828125	6.444881439208975	12.935504913330128	66.74534076889233	True
Alistipes_shahii	PWY-7663:_gondoate_biosynthesis_(anaerobic)	23.2128219604492		1	14.996208190918	0.008453369140625	7.502330780029313	15.710491180419888	67.68022951792746	True
Alistipes_shahii	Proteobacteria_bacterium_CAG_139	22.1353149414062		1	14.996208190918	0.157577514648438	7.576892852783219	14.558422088622981	65.77011498214591	True
Anaerobiospirillum_thomasii	PWY-4242:_pantothenate_and_coenzyme_A_biosynthesis_III	6.26522827148438		1	0.0028533935546875	3.61566162109375	1.8092575073242188	4.455970764160162	71.12224121890513	True
Anaerobiospirillum_thomasii	PWY-6737:_starch_degradation_V	5.02830505371094		1	0.0028533935546875	5.38926696777344	2.696060180664064	2.3322448730468763	46.38232661174079	True
Anaerostipes_hadrus	Gemmiger_formicilis	5.24235534667969		1	4.06700134277344	1.46539306640625	2.766197204589845	2.476158142089845	47.23369513015081	True
Anaerostipes_hadrus	Paraprevotella_xylaniphila	6.02109527587891	0.0	2	1.806663513183591	8.15489196777344	4.980777740478516	1.0403175354003942	17.277878653872275	True
Anaerotruncus_colihominis	PWY66-400:_glycolysis_VI_(metazoan)	2.63893127441406		1	1.3743896484375	0.647018432617188	1.010704040527344	1.6282272338867159	61.70025152505127	True
Asaccharobacter_celatus	Paraprevotella_clara	7.92169189453125	0.0	3	2.0745849609375	3.6999359130859397	2.8872604370117196	5.03443145751953	63.55247748268342	True
Aspergillus_cristatus	PWY-7184:_pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_I	1.99256896972656	0.0	3	0.539840698242188	2.5181986490885397	1.5290196736653638	0.4635492960611962	23.263902183762756	True
BRANCHED-CHAIN-AA-SYN-PWY:_superpathway_of_branched_amino_acid_biosynthesis	PWY-6317:_galactose_degradation_I_(Leloir_pathway)	7.1185302734375		1	0.0785675048828125	0.065673828125	0.07212066650390625	7.046409606933594	98.98686015604903	True
BRANCHED-CHAIN-AA-SYN-PWY:_superpathway_of_branched_amino_acid_biosynthesis	PWY-6527:_stachyose_degradation	6.73271179199219		1	0.0785675048828125	0.064300537109375	0.07143402099609375	6.661277770996096	98.93900075923261	True
BRANCHED-CHAIN-AA-SYN-PWY:_superpathway_of_branched_amino_acid_biosynthesis	PWY66-422:_D-galactose_degradation_V_(Leloir_pathway)	9.42750549316406		1	0.0785675048828125	0.392196655273438	0.23538208007812525	9.192123413085936	97.50324112514384	True
BRANCHED-CHAIN-AA-SYN-PWY:_superpathway_of_branched_amino_acid_biosynthesis	RHAMCAT-PWY:_L-rhamnose_degradation_I	8.76719665527344		1	0.519775390625	0.300506591796875	0.4101409912109375	8.357055664062502	95.32186846790714	True
Bacteroides_caccae	Mitsuokella_jalaludinii	6.08712005615234	0.0	3	7.48188781738281	1.35336303710938	4.417625427246095	1.6694946289062456	27.426674905464747	True
Bacteroides_caccae	Veillonella_infantium	13.4381866455078	0.0	3	7.48188781738281	0.021636962890625	3.7517623901367174	9.686424255371083	72.08133441582405	True
Bacteroides_cellulosilyticus	Phascolarctobacterium_faecium	13.2491073608398	0.0	2	7.43453979492188	1.00143432617188	4.21798706054688	9.031120300292919	68.16399063219968	True
Bacteroides_cellulosilyticus	Weissella_confusa	5.01990509033203		1	7.43453979492188	0.179946899414062	3.807243347167971	1.2126617431640594	24.157065150485753	True
Bacteroides_clarus	PWY-6936:_seleno-amino_acid_biosynthesis	10.5651550292969		1	1.30398559570312	1.90240478515625	1.6031951904296848	8.961959838867216	84.82563496717212	True
Bacteroides_coprocola	Streptococcus_macedonicus	4.31837463378906	0.0	3	2.29264831542969	2.6583251953125	2.475486755371095	1.8428878784179648	42.67549795236187	True
Bacteroides_dorei	Bacteroides_finegoldii	9.211158752441406	0.97928505972372	2	11.2628555297852	2.19093322753906	6.726894378662131	2.4842643737792756	26.97016130702149	True
Bacteroides_dorei	COA-PWY:_coenzyme_A_biosynthesis_I	19.7967071533203		1	11.2628555297852	0.17047119140625	5.716663360595725	14.080043792724574	71.1231604512727	True
Bacteroides_dorei	HSERMETANA-PWY:_L-methionine_biosynthesis_III	15.0900115966797		1	11.2628555297852	8.50575256347656	9.88430404663088	5.205707550048819	34.4977041051065	True
Bacteroides_dorei	PWY-6163:_chorismate_biosynthesis_from_3-dehydroquinate	17.6084442138672		1	11.2628555297852	1.65280151367188	6.4578285217285405	11.150615692138661	63.32538841425412	True
Bacteroides_dorei	Veillonella_infantium	21.2919692993164		1	11.2628555297852	0.0015869140625	5.63222122192385	15.65974807739255	73.54767357237981	True
Bacteroides_dorei	Veillonella_sp_T11011_6	7.63864898681641		1	11.2628555297852	0.619338989257812	5.941097259521507	1.6975517272949032	22.2231932665674	True
Bacteroides_fragilis	Haemophilus_parainfluenzae	9.29849243164062	0.0	2	3.222900390625	0.351654052734375	1.7872772216796875	7.511215209960932	80.77884953051104	True
Bacteroides_fragilis	Megasphaera_elsdenii	6.39097595214844	0.0	3	3.222900390625	0.513671875	1.8682861328125	4.52268981933594	70.76681015855736	True
Bacteroides_fragilis	Ruthenibacterium_lactatiformans	15.0243759155273	0.0	3	3.222900390625	9.25564575195312	6.23927307128906	8.785102844238239	58.47233118787359	True
Bacteroides_galacturonicus	Dialister_succinatiphilus	2.12007141113281	0.0	3	0.647018432617188	0.539840698242188	0.593429565429688	1.526641845703122	72.0089822298673	True
Bacteroides_galacturonicus	PWY-6700:_queuosine_biosynthesis	4.55094909667969		1	0.647018432617188	2.5035400390625	1.575279235839844	2.9756698608398464	65.38569862297194	True
Bacteroides_galacturonicus	Prevotella_sp_CAG_485	2.12007141113281	0.0	3	0.647018432617188	0.539840698242188	0.593429565429688	1.526641845703122	72.0089822298673	True
Bacteroides_galacturonicus	Succinatimonas_hippei	2.63893127441406		1	0.647018432617188	1.3743896484375	1.010704040527344	1.6282272338867159	61.70025152505127	True
Bacteroides_intestinalis	PWY-2942:_L-lysine_biosynthesis_III	9.628173828125		1	5.38926696777344	0.5277099609375	2.95848846435547	6.6696853637695295	69.27258982681236	True
Bacteroides_intestinalis	PWY-5695:_urate_biosynthesis/inosine_5'-phosphate_degradation	11.4108581542969		1	5.38926696777344	0.3170166015625	2.85314178466797	8.55771636962893	74.996255793491	True
Bacteroides_intestinalis	PWY-6700:_queuosine_biosynthesis	12.4808883666992		1	5.38926696777344	1.74305725097656	3.566162109375	8.9147262573242	71.42701701515068	True
Bacteroides_intestinalis	VALSYN-PWY:_L-valine_biosynthesis	4.57380676269531		1	5.38926696777344	0.000885009765625	2.6950759887695326	1.8787307739257773	41.0758668085631	True
Bacteroides_massiliensis	Parabacteroides_johnsonii	10.5193176269531	0.0	3	2.9593658447265603	0.40753173828125	1.6834487915039051	8.835868835449196	83.99659701128816	True
Bacteroides_nordii	Bacteroides_eggerthii	5.23915100097656	0.0	3	1.8341776529947935	0.723037719726562	1.2786076863606777	3.960543314615882	75.59513581260877	True
Bacteroides_nordii	Mitsuokella_multacida	4.81466674804688		1	1.35336303710938	1.12425231933594	1.23880767822266	3.5758590698242205	74.27012619876142	True
Bacteroides_ovatus	Turicimonas_muris	15.1428451538086		1	6.35746765136719	0.513671875	3.435569763183595	11.707275390625005	77.31225718622956	True
Bacteroides_pectinophilus	PANTOSYN-PWY:_pantothenate_and_coenzyme_A_biosynthesis_I	6.9136962890625		1	1.31204223632812	2.20613098144531	1.7590866088867148	5.154609680175785	74.55649575365932	True
Bacteroides_stercoris	ARGSYN-PWY:_L-arginine_biosynthesis_I_(via_L-ornithine)	5.644515991210937	0.04766235361332138	3	1.62458801269531	0.9242909749348954	1.2744394938151027	4.370076497395834	77.4216337450451	True
Bacteroides_stercoris	ARGSYNBSUB-PWY:_L-arginine_biosynthesis_II_(acetyl_cycle)	6.2518310546875		1	1.62458801269531	0.498397827148438	1.0614929199218741	5.190338134765626	83.02108757200041	True
Bacteroides_stercoris	Bacteroides_clarus	7.44029235839844	0.0	2	1.62458801269531	1.30398559570312	1.464286804199215	5.976005554199225	80.31949910481192	True
Bacteroides_stercoris	CALVIN-PWY:_Calvin-Benson-Bassham_cycle	5.06298828125	0.5021420136871348	3	1.62458801269531	0.25616455078125	0.94037628173828	4.12261199951172	81.4264574693799	True
Bacteroides_stercoris	Flavonifractor_plautii	13.6095352172852	0.0	3	1.62458801269531	4.53880310058594	3.081695556640625	10.527839660644576	77.35634973980137	True
Bacteroides_stercoris	GLUTORN-PWY:_L-ornithine_biosynthesis	4.02963256835938		1	1.62458801269531	0.73016357421875	1.17737579345703	2.8522567749023504	70.78205584544436	True
Bacteroides_stercoris	NONOXIPENT-PWY:_pentose_phosphate_pathway_(non-oxidative_branch)	4.30523681640625		1	1.62458801269531	0.0635986328125	0.844093322753905	3.461143493652345	80.39380041680256	True
Bacteroides_stercoris	PWY-7400:_L-arginine_biosynthesis_IV_(archaebacteria)	6.63372802734375	0.28264418395940083	2	1.62458801269531	0.31897735595703147	0.9717826843261708	5.661945343017579	85.35088143016185	True
Bacteroides_thetaiotaomicron	Firmicutes_bacterium_CAG_534	28.9093627929688		1	23.5971298217773	0.01641845703125	11.806774139404276	17.102588653564524	59.15934147716371	True
Bacteroides_thetaiotaomicron	PWY-6163:_chorismate_biosynthesis_from_3-dehydroquinate	29.9344329833984		1	23.5971298217773	0.0179595947265625	11.807544708251932	18.126888275146467	60.55530861466332	True
Bacteroides_thetaiotaomicron	PWY-6936:_seleno-amino_acid_biosynthesis	21.4459075927734	12.91129119811118	2	23.5971298217773	2.47357177734375	13.035350799560526	8.410556793212873	39.21753722396421	True
Bacteroides_uniformis	Comamonas_kerstersii	33.85443878173826	4.905195584624871	3	25.923815409342435	0.002288818359375	12.963052113850905	20.891386667887353	61.709446145527515	True
Bacteroides_vulgatus	COMPLETE-ARO-PWY:_superpathway_of_aromatic_amino_acid_biosynthesis	25.0859146118164		1	19.4425659179688	0.0746917724609375	9.758628845214869	15.32728576660153	61.099170605411416	True
Bacteroides_vulgatus	Desulfovibrio_piger	25.4253997802734		1	11.7631072998047	6.14691162109375	8.955009460449226	16.470390319824173	64.77927765998362	True
Bacteroides_vulgatus	Streptococcus_anginosus_group	14.711761474609395	12.974712427051246	2	20.005519866943402	1.00143432617188	10.50347709655764	4.208284378051754	28.60489809676911	True
Bacteroides_xylanisolvens	Firmicutes_bacterium_CAG_534	21.6099472045898	0.0	2	17.958137512207	0.01641845703125	8.987277984619125	12.622669219970676	58.411383889404924	True
