feature1	feature2	pair_ig_mean	pair_ig_std	pair_ig_count	f1_ig_mean	f2_ig_mean	mean_individual_ig	ig_difference_raw	ig_difference_pct	synergy
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis	HISTSYN-PWY:_L-histidine_biosynthesis	8.57283782958984		1	5.47853851318359	0.0577392578125	2.768138885498045	5.804698944091795	67.71035518782834	True
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis	HSERMETANA-PWY:_L-methionine_biosynthesis_III	6.14057159423828		1	5.47853851318359	0.222320556640625	2.8504295349121076	3.2901420593261728	53.5803875719538	True
ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	NONOXIPENT-PWY:_pentose_phosphate_pathway_(non-oxidative_branch)	8.58728790283203		1	2.39830780029297	0.04254150390625	1.22042465209961	7.366863250732419	85.78800820574418	True
ARGSYNBSUB-PWY:_L-arginine_biosynthesis_II_(acetyl_cycle)	PWY-7237:_myo-,_chiro-_and_scillo-inositol_degradation	13.8761978149414		1	9.99583435058594	1.54500579833984	5.77042007446289	8.105777740478509	58.41497684438092	True
ARO-PWY:_chorismate_biosynthesis_I	PWY-5154:_L-arginine_biosynthesis_III_(via_N-acetyl-L-citrulline)	8.852317810058594	0.7278269446615729	3	1.1066055297851543	0.0138092041015625	0.5602073669433584	8.292110443115236	93.67163065127629	True
Absiella_dolichum	Blautia_sp_N6H1_15	4.99552917480469	0.0	3	1.46356201171875	0.793930053710938	1.128746032714844	3.8667831420898464	77.40487557538938	True
Acidaminococcus_intestini	ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	7.7803955078125		1	0.936958312988281	2.39830780029297	1.6676330566406254	6.112762451171875	78.56621742472974	True
Acidaminococcus_intestini	PWY-6168:_flavin_biosynthesis_III_(fungi)	6.48480224609375		1	0.936958312988281	0.382461547851562	0.6597099304199215	5.825092315673828	89.8268304046232	True
Acidaminococcus_intestini	Streptococcus_parasanguinis	6.28800201416016		1	0.936958312988281	0.202384948730469	0.569671630859375	5.718330383300785	90.94033956133423	True
Actinobaculum_sp_oral_taxon_183	Lactobacillus_sanfranciscensis	2.12039184570312	0.0	3	0.488517761230469	0.793930053710938	0.6412239074707036	1.4791679382324165	69.75917876829628	True
Actinomyces_odontolyticus	PWY-6126:_superpathway_of_adenosine_nucleotides_de_novo_biosynthesis_II	13.4100112915039		1	5.55137634277344	4.17765808105469	4.864517211914065	8.545494079589833	63.72473440797138	True
Actinomyces_odontolyticus	PWY-6700:_queuosine_biosynthesis	8.72538757324219		1	2.53782653808594	0.458297729492188	1.498062133789064	7.227325439453125	82.83099608797764	True
Actinomyces_odontolyticus	PWY-7220:_adenosine_deoxyribonucleotides_de_novo_biosynthesis_II	10.8785400390625		1	5.55137634277344	3.15033721923828	4.35085678100586	6.52768325805664	60.00514071389297	True
Actinomyces_odontolyticus	PWY-7222:_guanosine_deoxyribonucleotides_de_novo_biosynthesis_II	13.185237884521449	1.9647795303448297	2	5.55137634277344	3.26013946533203	4.405757904052735	8.779479980468714	66.58567753847818	True
Actinomyces_odontolyticus	Streptococcus_pasteurianus	4.47612762451172	0.0	2	5.55137634277344	0.793930053710938	3.1726531982421893	1.3034744262695304	29.12058224460748	True
Actinomyces_oris	Actinomyces_sp_oral_taxon_170	3.68555450439453	0.0	3	5.843017578125	0.488517761230469	3.1657676696777344	0.5197868347167955	14.103354979475121	True
Actinomyces_oris	Lachnoclostridium_sp_An14	3.68555450439453	0.0	3	5.843017578125	0.488517761230469	3.1657676696777344	0.5197868347167955	14.103354979475121	True
Actinomyces_oris	Varibaculum_cambriense	4.35834503173828	0.0	3	5.843017578125	0.0018539428710937	2.922435760498047	1.4359092712402335	32.94620459793052	True
Actinomyces_sp_HMSC035G02	Prevotella_stercorea	4.60145568847656	0.0	3	0.649696350097656	0.05316162109375	0.351428985595703	4.250026702880857	92.36265631165833	True
Actinomyces_sp_HPA0247	Citrobacter_braakii	1.46921539306641	0.0	2	1.47624969482422	0.488517761230469	0.9823837280273445	0.4868316650390655	33.135486283123925	True
Actinomyces_sp_ICM47	Bacteroides_sp_CAG_443	5.27578735351562		1	0.893341064453125	0.368728637695312	0.6310348510742185	4.644752502441401	88.03903931697101	True
Actinomyces_sp_ICM47	PWY-2942:_L-lysine_biosynthesis_III	8.95130920410156		1	0.893341064453125	0.824684143066406	0.8590126037597655	8.092296600341795	90.40349758707744	True
Actinomyces_sp_ICM47	PWY-6126:_superpathway_of_adenosine_nucleotides_de_novo_biosynthesis_II	7.69579315185547		1	0.893341064453125	4.17765808105469	2.5354995727539076	5.1602935791015625	67.05343396420947	True
Actinomyces_sp_ICM47	PWY-7221:_guanosine_ribonucleotides_de_novo_biosynthesis	11.2192459106445		1	0.893341064453125	2.90341186523438	1.8983764648437524	9.320869445800747	83.07928643365749	True
Actinomyces_sp_S6_Spd3	Clostridium_sp_CAG_167	7.57391357421875		1	2.28836822509766	4.28517913818359	3.286773681640625	4.287139892578125	56.60402446591615	True
Actinomyces_sp_S6_Spd3	Desulfovibrionaceae_bacterium	6.94643402099609	0.0	2	2.28836822509766	2.25628662109375	2.272327423095705	4.674106597900385	67.28785710441596	True
Actinomyces_sp_S6_Spd3	Klebsiella_michiganensis	4.21095275878906	0.0	3	2.28836822509766	0.004241943359375	1.1463050842285174	3.0646476745605424	72.77801129837042	True
Actinomyces_sp_S6_Spd3	Lactobacillus_sanfranciscensis	3.87152099609375	0.0	3	2.28836822509766	0.793930053710938	1.5411491394042989	2.3303718566894513	60.19266998786078	True
Actinomyces_sp_S6_Spd3	PYRIDNUCSYN-PWY:_NAD_biosynthesis_I_(from_aspartate)	7.7914810180664045	1.7597718643912483	2	2.28836822509766	0.9124984741210925	1.600433349609376	6.191047668457029	79.45918951867571	True
Actinomyces_sp_oral_taxon_181	Blautia_sp_CAG_257	8.558837890625		1	4.002197265625	0.135795593261719	2.0689964294433594	6.489841461181641	75.82619911857832	True
Actinomyces_turicensis	PWY0-1296:_purine_ribonucleosides_degradation	11.3766174316406		1	4.90263366699219	7.51088714599609	6.206760406494141	5.1698570251464595	45.44283093117006	True
Adlercreutzia_equolifaciens	BRANCHED-CHAIN-AA-SYN-PWY:_superpathway_of_branched_amino_acid_biosynthesis	9.03854370117188		1	1.33008575439453	0.544013977050781	0.9370498657226555	8.101493835449224	89.63273402549169	True
Adlercreutzia_equolifaciens	Enterorhabdus_caecimuris	8.951412200927741	1.5627161286398963	2	0.3007049560546875	1.973339080810545	1.1370220184326163	7.814390182495125	87.29784761431529	True
Adlercreutzia_equolifaciens	PWY-3001:_superpathway_of_L-isoleucine_biosynthesis_I	6.29302978515625		1	0.399017333984375	0.0650634765625	0.2320404052734375	6.0609893798828125	96.31273944037632	True
Aeriscardovia_aeriphila	Cloacibacillus_evryensis	11.6244430541992		1	5.843017578125	9.97261047363281	7.907814025878905	3.716629028320294	31.972534176402572	True
Aeriscardovia_aeriphila	Cutibacterium_acnes	3.68555450439453	0.0	3	5.843017578125	0.488517761230469	3.1657676696777344	0.5197868347167955	14.103354979475121	True
Agathobaculum_butyriciproducens	Bacteroides_sp_43_108	2.55180358886719		1	2.73052978515625	0.0018539428710937	1.3661918640136719	1.1856117248535183	46.46171554997464	True
Agathobaculum_butyriciproducens	Bacteroides_sp_CAG_530	12.0253753662109		1	6.38759613037109	0.0067214965820312	3.1971588134765607	8.82821655273434	73.4132306384382	True
Agathobaculum_butyriciproducens	Enterorhabdus_caecimuris	16.8537445068359		1	2.73052978515625	0.0606689453125	1.395599365234375	15.458145141601523	91.71935136035604	True
Agathobaculum_butyriciproducens	Oscillibacter_sp_CAG_241	11.0560989379883		1	2.57115173339844	2.08637237548828	2.3287620544433603	8.72733688354494	78.93685587018554	True
Aggregatibacter_segnis	Bacteroides_sp_CAG_633	2.98557281494141	0.0	2	1.42271423339844	1.13928985595703	1.2810020446777348	1.704570770263675	57.093592282629565	True
Akkermansia_muciniphila	Phascolarctobacterium_sp_CAG_266	7.45583343505859	0.0	2	1.374263763427736	0.458297729492188	0.9162807464599619	6.539552688598628	87.71055235553608	True
Akkermansia_muciniphila	Pseudoflavonifractor_capillosus	5.61457061767578	0.0	2	1.374263763427736	0.0268936157226562	0.7005786895751961	4.913991928100584	87.52213237162543	True
Akkermansia_muciniphila	Roseburia_hominis	8.71489715576172		1	0.495742797851562	1.5347900390625	1.015266418457031	7.699630737304689	88.35021916712117	True
Akkermansia_muciniphila	Streptococcus_milleri	6.29679107666016		1	0.095458984375	1.12141418457031	0.608436584472655	5.688354492187504	90.33735474045024	True
Alistipes_finegoldii	Butyricimonas_synergistica	7.79209136962891		1	3.51904296875	0.581336975097656	2.050189971923828	5.741901397705082	73.68883558123028	True
Alistipes_finegoldii	ILEUSYN-PWY:_L-isoleucine_biosynthesis_I_(from_threonine)	10.4230804443359		1	0.581497192382812	1.11407470703125	0.847785949707031	9.575294494628869	91.86626300895784	True
Alistipes_finegoldii	PWY-7111:_pyruvate_fermentation_to_isobutanol_(engineered)	11.1296691894531		1	0.581497192382812	0.893341064453125	0.7374191284179685	10.392250061035131	93.37429427716705	True
Alistipes_finegoldii	Romboutsia_ilealis	6.7307357788085955	0.12441479940585605	2	2.050270080566406	0.491897583007812	1.271083831787109	5.459651947021486	81.11523207033238	True
Alistipes_finegoldii	Streptococcus_mitis	9.47971725463866	7.287480077851323	2	0.2998352050781247	7.29554748535156	3.7976913452148424	5.6820259094238175	59.938769868304476	True
Alistipes_indistinctus	PWY-6387:_UDP-N-acetylmuramoyl-pentapeptide_biosynthesis_I_(meso-diaminopimelate_containing)	7.42657470703125		1	1.62487030029297	0.989212036132812	1.307041168212891	6.119533538818359	82.40048447940038	True
Alistipes_indistinctus	Streptococcus_oralis	12.6524887084961		1	2.20587921142578	8.08666229248047	5.146270751953125	7.506217956542976	59.326019801168265	True
Alistipes_onderdonkii	PWY-6609:_adenine_and_adenosine_salvage_III	4.953044891357425	0.41510262510985396	2	0.135795593261719	2.97797393798828	1.5568847656249996	3.396160125732426	68.56711780784362	True
Alistipes_onderdonkii	Ruminococcus_sp_CAG_330	4.98403167724609	0.0	3	0.135795593261719	0.9369583129882809	0.536376953125	4.44765472412109	89.23809101026072	True
Alistipes_putredinis	Desulfovibrio_piger	6.56597137451172		1	0.116287231445312	1.84539794921875	0.980842590332031	5.585128784179688	85.06172911232083	True
Alistipes_putredinis	PWY-5103:_L-isoleucine_biosynthesis_III	7.67920684814453		1	0.2724609375	0.220726013183594	0.24659347534179699	7.4326133728027335	96.78881582150142	True
Alistipes_putredinis	PWY-6936:_seleno-amino_acid_biosynthesis	5.381603240966795	1.0287175810555982	2	0.06077957153320285	0.32263946533203125	0.19170951843261705	5.189893722534178	96.43768762116738	True
Alistipes_putredinis	Ruminococcus_sp_CAG_403	4.99447631835938		1	0.2724609375	0.779792785644531	0.5261268615722655	4.468349456787115	89.46582528305808	True
Alistipes_shahii	Bifidobacterium_animalis	7.780910491943359	0.1594971617567418	2	0.504650115966797	1.30034637451172	0.9024982452392585	6.878412246704101	88.40112289977196	True
Alistipes_timonensis	CALVIN-PWY:_Calvin-Benson-Bassham_cycle	5.13478088378906		1	0.167442321777344	1.5213623046875	0.844402313232422	4.290378570556638	83.55524155084647	True
Alistipes_timonensis	ILEUSYN-PWY:_L-isoleucine_biosynthesis_I_(from_threonine)	4.7025146484375		1	0.167442321777344	2.43935394287109	1.3033981323242172	3.399116516113283	72.28295433896636	True
Allisonella_histaminiformans	CALVIN-PWY:_Calvin-Benson-Bassham_cycle	6.904850006103516	0.0877032084789244	2	0.0336990356445312	0.8351898193359375	0.4344444274902344	6.470405578613281	93.70812650374434	True
Allisonella_histaminiformans	Victivallis_vadensis	9.76918792724609	0.0	3	0.0283406575520833	2.66119384765625	1.3447672526041667	8.424420674641924	86.23460555146417	True
Alloscardovia_omnicolens	ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	5.04685211181641	0.0	2	0.197479248046875	2.39830780029297	1.2978935241699225	3.748958587646487	74.2831076597012	True
Alloscardovia_omnicolens	Coprobacter_fastidiosus	5.06108856201172		1	0.197479248046875	1.11408996582031	0.6557846069335925	4.405303955078127	87.04261743499453	True
Anaerofilum_sp_An201	ARGSYNBSUB-PWY:_L-arginine_biosynthesis_II_(acetyl_cycle)	11.8130187988281		1	0.793930053710938	10.1725616455078	5.483245849609369	6.329772949218731	53.583026125774644	True
Anaeromassilibacillus_sp_An250	Bacteroides_coprophilus	8.36621856689453		1	0.259536743164062	0.143028259277344	0.20128250122070301	8.164936065673826	97.59410419879315	True
Anaeromassilibacillus_sp_An250	Corynebacterium_variabile	7.71622467041016		1	1.24278259277344	0.779792785644531	1.0112876892089855	6.7049369812011745	86.89400928037999	True
Anaerostipes_caccae	Corynebacterium_variabile	1.56589508056641	0.0	3	0.557510375976562	0.7797927856445309	0.6686515808105464	0.8972434997558636	57.29908158542243	True
Anaerostipes_hadrus	ARGSYN-PWY:_L-arginine_biosynthesis_I_(via_L-ornithine)	9.69759368896484		1	1.48558807373047	7.00263977050781	4.24411392211914	5.4534797668457005	56.235391394582415	True
Anaerostipes_hadrus	Asaccharobacter_celatus	7.563232421875		1	0.58392333984375	0.77044677734375	0.67718505859375	6.88604736328125	91.04635398172955	True
Anaerostipes_hadrus	Atopobium_deltae	4.25395584106445	0.03645264068968103	2	1.31243896484375	0.793930053710938	1.053184509277344	3.200771331787106	75.24223220394761	True
Anaerostipes_hadrus	Desulfovibrio_piger	7.73673248291016		1	0.58392333984375	1.84539794921875	1.21466064453125	6.52207183837891	84.30008214431169	True
Anaerostipes_hadrus	Eubacterium_sp_CAG_180	6.34232330322266		1	1.13928985595703	0.849082946777344	0.994186401367187	5.348136901855473	84.32457076317726	True
Anaerostipes_hadrus	Klebsiella_oxytoca	2.8406982421875		1	1.13928985595703	0.26702880859375	0.70315933227539	2.1375389099121103	75.24695436380047	True
Anaerotignum_lactatifermentans	VALSYN-PWY:_L-valine_biosynthesis	9.65682983398438		1	3.21796417236328	1.5347900390625	2.3763771057128897	7.280452728271491	75.39174712026168	True
Anaerotruncus_colihominis	Roseburia_sp_CAG_303	5.59764862060547	0.008351563342159503	3	0.550262451171875	0.574394226074219	0.562328338623047	5.035320281982423	89.95420440373725	True
Anaerotruncus_sp_CAG_528	TRPSYN-PWY:_L-tryptophan_biosynthesis	4.68299865722656		1	0.05316162109375	0.907051086425781	0.4801063537597655	4.202892303466794	89.74788615369576	True
Asaccharobacter_celatus	Enterorhabdus_caecimuris	20.885561625162733	2.3706003789662042	3	1.0264867146809884	1.3357823689778634	1.181134541829426	19.704427083333307	94.34473171932133	True
Atopobium_deltae	DTDPRHAMSYN-PWY:_dTDP-L-rhamnose_biosynthesis_I	3.99579620361328		1	0.793930053710938	2.49322509765625	1.643577575683594	2.3522186279296857	58.86733226791306	True
Atopobium_parvulum	Lactobacillus_ruminis	2.99212646484375	0.0	2	1.74845123291016	2.09783172607422	1.9231414794921902	1.0689849853515598	35.72659771943773	True
Atopobium_parvulum	Victivallis_vadensis	6.16644287109375	0.0	2	1.74845123291016	2.66119384765625	2.204822540283205	3.961620330810545	64.2448233710445	True
Bacteroides_caccae	Acidaminococcus_intestini	7.06124114990234		1	0.460586547851562	0.936958312988281	0.6987724304199215	6.362468719482418	90.10411320636477	True
Bacteroides_caccae	Bacteroides_sp_CAG_443	5.20301818847656		1	0.362960815429688	0.368728637695312	0.3658447265625	4.83717346191406	92.96860565714033	True
Bacteroides_caccae	Holdemania_filiformis	5.73310089111328		1	1.85341644287109	0.033477783203125	0.9434471130371075	4.789653778076173	83.54385992928331	True
Bacteroides_caccae	Parasutterella_excrementihominis	5.82035064697266		1	1.85341644287109	0.150405883789062	1.001911163330076	4.8184394836425835	82.78606867352227	True
Bacteroides_cellulosilyticus	Eubacterium_sp_CAG_251	16.4700622558594		1	0.0218582153320312	6.73561859130859	3.3787384033203107	13.09132385253909	79.48557600552914	True
Bacteroides_cellulosilyticus	Lactobacillus_delbrueckii	5.08846282958984		1	0.0218582153320312	0.0119857788085938	0.0169219970703125	5.071540832519528	99.66744383054329	True
Bacteroides_cellulosilyticus	Streptococcus_australis	6.172161102294925	0.4094165094835497	2	0.1352424621582031	1.32828521728516	0.7317638397216816	5.440397262573244	88.14412281867371	True
Bacteroides_cellulosilyticus	Streptococcus_oralis	13.95963287353515	0.4301271336669751	2	0.1352424621582031	4.475673675537109	2.3054580688476562	11.654174804687493	83.48482306280151	True
Bacteroides_cellulosilyticus	Streptococcus_sp_A12	7.89573669433594		1	0.248626708984375	2.25278472900391	1.2507057189941424	6.645030975341798	84.15973369664994	True
Bacteroides_coprocola	Aeriscardovia_aeriphila	11.252449035644497	0.0	3	1.74845123291016	5.843017578125	3.79573440551758	7.456714630126918	66.26748191888012	True
Bacteroides_coprocola	Streptococcus_pasteurianus	4.39414215087891		1	1.74845123291016	0.793930053710938	1.271190643310549	3.1229515075683607	71.07078925390961	True
Bacteroides_coprophilus	Eubacterium_sp_CAG_251	5.64083099365234	0.0	2	0.143028259277344	6.036376953125	3.089702606201172	2.5511283874511683	45.22610924386793	True
Bacteroides_coprophilus	PWY-7111:_pyruvate_fermentation_to_isobutanol_(engineered)	5.98000335693359		1	0.143028259277344	2.46439361572266	1.303710937500002	4.676292419433588	78.1988259924905	True
Bacteroides_dorei	Actinomyces_sp_oral_taxon_181	6.38714599609375		1	0.602767944335938	4.002197265625	2.302482604980469	4.084663391113281	63.951307729796355	True
