feature1	feature2	pair_ig_mean	pair_ig_std	pair_ig_count	f1_ig_mean	f2_ig_mean	mean_individual_ig	ig_difference_raw	ig_difference_pct	synergy
1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis	PANTO-PWY:_phosphopantothenate_biosynthesis_I	9.32057189941406		1	0.141128540039062	0.768768310546875	0.45494842529296853	8.865623474121092	95.11887864604564	True
ARGSYN-PWY:_L-arginine_biosynthesis_I_(via_L-ornithine)	PWY-6126:_superpathway_of_adenosine_nucleotides_de_novo_biosynthesis_II	4.73851776123047		1	0.0	0.290260314941406	0.145130157470703	4.5933876037597665	96.93722457562306	True
ARGSYN-PWY:_L-arginine_biosynthesis_I_(via_L-ornithine)	PWY-7220:_adenosine_deoxyribonucleotides_de_novo_biosynthesis_II	4.73851776123047	0.0	2	0.0	0.6124534606933589	0.30622673034667947	4.43229103088379	93.5374995773539	True
ARGSYNBSUB-PWY:_L-arginine_biosynthesis_II_(acetyl_cycle)	PWY-7220:_adenosine_deoxyribonucleotides_de_novo_biosynthesis_II	5.59580993652344	0.0	3	0.1270751953125	0.5610656738281247	0.34407043457031233	5.251739501953128	93.8512844704644	True
ARGSYNBSUB-PWY:_L-arginine_biosynthesis_II_(acetyl_cycle)	PWY-7222:_guanosine_deoxyribonucleotides_de_novo_biosynthesis_II	5.59580993652344	0.0	2	0.1270751953125	0.458290100097656	0.292682647705078	5.303127288818362	94.76961063679522	True
Abiotrophia_sp_HMSC24B09	Desulfovibrionaceae_bacterium	0.661399841308594	0.0	3	0.0	7.37253570556641	3.686267852783205	-3.024868011474611	-457.3433228362807	False
Acidaminococcus_fermentans	Desulfovibrionaceae_bacterium	0.661399841308594	0.0	3	0.0	7.37253570556641	3.686267852783205	-3.024868011474611	-457.3433228362807	False
Acidaminococcus_intestini	Alistipes_timonensis	10.7019653320312	0.0	3	0.86669921875	5.48130798339844	3.17400360107422	7.52796173095698	70.34186242806858	True
Acidaminococcus_intestini	Clostridiales_bacterium_1_7_47FAA	6.73313140869141	0.0	3	0.86669921875	1.25502777099609	1.060863494873045	5.672267913818365	84.2441290614997	True
Acidaminococcus_intestini	Dialister_sp_CAG_357	4.51413726806641		1	0.86669921875	0.176826477050781	0.5217628479003905	3.992374420166019	88.44158214701604	True
Acidaminococcus_sp_CAG_542	Desulfovibrionaceae_bacterium	0.661399841308594	0.0	3	0.0	7.37253570556641	3.686267852783205	-3.024868011474611	-457.3433228362807	False
Actinomyces_cardiffensis	Desulfovibrionaceae_bacterium	0.661399841308594	0.0	3	0.0	7.37253570556641	3.686267852783205	-3.024868011474611	-457.3433228362807	False
Actinomyces_graevenitzii	Allisonella_histaminiformans	7.584381103515621	0.0	3	0.6940841674804691	2.81781005859375	1.7559471130371096	5.828433990478511	76.84785232873955	True
