feature1	feature2	pair_ig_mean	pair_ig_std	pair_ig_count	f1_ig_mean	f2_ig_mean	mean_individual_ig	ig_difference_raw	ig_difference_pct	synergy
ANAEROFRUCAT-PWY:_homolactic_fermentation	PWY-7237:_myo-,_chiro-_and_scillo-inositol_degradation	4.70977783203125		1	0.13848876953125	0.6844482421875	0.411468505859375	4.298309326171875	91.26352621006933	True
ARO-PWY:_chorismate_biosynthesis_I	FAO-PWY:_fatty_acid_&beta;-oxidation_I	5.44573974609375		1	0.14349365234375	0.5897216796875	0.366607666015625	5.079132080078125	93.26799143718549	True
ARO-PWY:_chorismate_biosynthesis_I	PWY-5136:_fatty_acid_&beta;-oxidation_II_(peroxisome)	5.44573974609375		1	0.14349365234375	0.5897216796875	0.366607666015625	5.079132080078125	93.26799143718549	True
ARO-PWY:_chorismate_biosynthesis_I	PWY-7539:_6-hydroxymethyl-dihydropterin_diphosphate_biosynthesis_III_(Chlamydia)	8.81707763671875		1	0.55908203125	0.42193603515625	0.490509033203125	8.326568603515625	94.43682982714819	True
Abiotrophia_defectiva	ARGSYNBSUB-PWY:_L-arginine_biosynthesis_II_(acetyl_cycle)	7.9320068359375		1	0.15289306640625	1.48516845703125	0.81903076171875	7.11297607421875	89.67435633050678	True
Abiotrophia_defectiva	GLUTORN-PWY:_L-ornithine_biosynthesis	5.86126708984375		1	0.15289306640625	1.5087890625	0.830841064453125	5.030426025390625	85.82488987930981	True
Absiella_dolichum	Gemmiger_sp_An50	4.340576171875	0.0	2	3.07080078125	1.053466796875	2.0621337890625	2.2784423828125	52.49170369537094	True
Absiella_dolichum	PYRIDNUCSYN-PWY:_NAD_biosynthesis_I_(from_aspartate)	9.44683837890625		1	3.07080078125	0.4871826171875	1.77899169921875	7.6678466796875	81.16839065235791	True
Acidaminococcus_intestini	Bacteroides_ovatus	9.27349853515625		1	3.0064697265625	1.04266357421875	2.024566650390625	7.248931884765625	78.16825394735976	True
Acidaminococcus_intestini	Streptococcus_infantis	8.32501220703125	0.0	2	3.0064697265625	1.57928466796875	2.292877197265625	6.032135009765625	72.45797194952969	True
Acidaminococcus_sp_CAG_542	Succinatimonas_hippei	4.4805908203125		1	0.12896728515625	2.993408203125	1.561187744140625	2.919403076171875	65.15665440675657	True
Actinobaculum_sp_oral_taxon_183	Jonquetella_anthropi	2.859619140625	0.0	3	1.53570556640625	0.65325927734375	1.094482421875	1.76513671875	61.72628703150346	True
Actinobaculum_sp_oral_taxon_183	Prevotella_histicola	5.75543212890625	0.0	3	1.53570556640625	4.49005126953125	3.01287841796875	2.7425537109375	47.65156897886465	True
Actinomyces_cardiffensis	Eubacterium_sp_CAG_274	6.77960205078125	0.0	3	1.34027099609375	0.0001220703125	0.670196533203125	6.109405517578125	90.11451515615295	True
Actinomyces_georgiae	Selenomonas_sputigena	1.04168701171875	0.0	3	0.35040283203125	7.2613525390625	3.805877685546875	-2.764190673828125	-265.3571219312123	False
Actinomyces_graevenitzii	Oribacterium_parvum	8.74407958984375	0.0	3	2.0489501953125	7.56719970703125	4.808074951171875	3.936004638671875	45.01336702428401	True
Actinomyces_hongkongensis	Selenomonas_sputigena	1.04168701171875	0.0	3	0.35040283203125	7.2613525390625	3.805877685546875	-2.764190673828125	-265.3571219312123	False
Actinomyces_johnsonii	PWY-7117:_C4_photosynthetic_carbon_assimilation_cycle,_PEPCK_type	6.11962890625	0.0	3	5.05859375	1.6029052734375	3.33074951171875	2.78887939453125	45.572688103407	True
Actinomyces_massiliensis	Selenomonas_sputigena	2.2872314453125	0.0	3	1.559326171875	7.2613525390625	4.41033935546875	-2.12310791015625	-92.82435822170038	False
Actinomyces_odontolyticus	Blautia_coccoides	16.7791137695312		1	4.81689453125	0.2821044921875	2.54949951171875	14.22961425781245	84.80551746214198	True
Actinomyces_oris	PWY-7383:_anaerobic_energy_metabolism_(invertebrates,_cytosol)	2.34722900390625	0.0	3	4.06304931640625	0.0418701171875	2.052459716796875	0.294769287109375	12.558181865460124	True
Actinomyces_oris	Prevotella_buccae	16.1516723632812	0.0	3	4.06304931640625	1.97808837890625	3.02056884765625	13.13110351562495	81.29872387380063	True
Actinomyces_sp_HMSC035G02	AST-PWY:_L-arginine_degradation_II_(AST_pathway)	1.73504638671875	0.0	2	16.333740234375	0.65325927734375	8.493499755859375	-6.758453369140625	-389.5258029338305	False
Actinomyces_sp_HMSC035G02	Cutibacterium_acnes	1.7649943033854167	0.051871313247505456	3	16.333740234375	0.65325927734375	8.493499755859375	-6.728505452473958	-381.21966963678483	False
Actinomyces_sp_HMSC035G02	Eubacterium_coprostanoligenes	1.7649943033854167	0.051871313247505456	3	16.333740234375	0.65325927734375	8.493499755859375	-6.728505452473958	-381.21966963678483	False
Actinomyces_sp_HMSC035G02	Fusobacterium_gonidiaformans	4.35595703125	0.0	2	16.333740234375	3.62255859375	9.9781494140625	-5.6221923828125	-129.06905055487053	False
Actinomyces_sp_HMSC035G02	GOLPDLCAT-PWY:_superpathway_of_glycerol_degradation_to_1,3-propanediol	1.73504638671875	0.0	2	16.333740234375	0.65325927734375	8.493499755859375	-6.758453369140625	-389.5258029338305	False
Actinomyces_sp_HMSC035G02	PWY-5154:_L-arginine_biosynthesis_III_(via_N-acetyl-L-citrulline)	17.7217407226562		1	16.333740234375	1.078857421875	8.706298828125	9.0154418945312	50.87221416689326	True
Actinomyces_sp_HMSC035G02	PWY-5173:_superpathway_of_acetyl-CoA_biosynthesis	1.73504638671875	0.0	2	16.333740234375	0.65325927734375	8.493499755859375	-6.758453369140625	-389.5258029338305	False
Actinomyces_sp_HMSC035G02	PWY-5690:_TCA_cycle_II_(plants_and_fungi)	1.73504638671875	0.0	2	16.333740234375	0.65325927734375	8.493499755859375	-6.758453369140625	-389.5258029338305	False
Actinomyces_sp_HMSC035G02	PWY-6317:_galactose_degradation_I_(Leloir_pathway)	21.5415649414062		1	16.333740234375	4.4698486328125	10.40179443359375	11.13977050781245	51.71291193612446	True
Actinomyces_sp_HMSC035G02	PWY-6527:_stachyose_degradation	8.622355143229166	0.06029335391744701	3	16.333740234375	3.56591796875	9.9498291015625	-1.327473958333334	-15.395723515004514	False
Actinomyces_sp_HMSC035G02	PWY-6803:_phosphatidylcholine_acyl_editing	1.73504638671875	0.0	2	16.333740234375	0.65325927734375	8.493499755859375	-6.758453369140625	-389.5258029338305	False
Actinomyces_sp_HMSC035G02	PWY-7220:_adenosine_deoxyribonucleotides_de_novo_biosynthesis_II	26.3763427734375		1	16.333740234375	2.75921630859375	9.546478271484375	16.829864501953125	63.80666435265533	True
Actinomyces_sp_HMSC035G02	Peptoniphilus_coxii	2.2101236979166665	0.033899594663111536	3	16.333740234375	0.03875732421875	8.186248779296875	-5.976125081380209	-270.39776493114374	False
Actinomyces_sp_HMSC035G02	Selenomonas_sputigena	8.54913330078125	0.0	2	16.333740234375	7.2613525390625	11.79754638671875	-3.2484130859375	-37.99698719916613	False
Actinomyces_sp_ICM47	Anaerococcus_vaginalis	3.83349609375		1	0.841796875	0.000732421875	0.4212646484375	3.4122314453125	89.01095401859635	True
Actinomyces_sp_ICM47	Blautia_coccoides	8.18170166015625	0.0	2	0.841796875	0.2821044921875	0.56195068359375	7.6197509765625	93.13161605084707	True
Actinomyces_sp_ICM47	Eggerthella_lenta	6.08502197265625		1	0.841796875	0.01055908203125	0.426177978515625	5.658843994140625	92.99627872453534	True
Actinomyces_sp_ICM47	Peptoniphilus_lacrimalis	5.057596842447917	0.1444785219529704	3	0.841796875	0.13848876953125	0.490142822265625	4.567454020182292	90.30878028569015	True
Actinomyces_sp_S6_Spd3	Blautia_coccoides	11.001220703125	0.0	3	2.66339111328125	0.2821044921875	1.472747802734375	9.528472900390625	86.61286922172167	True
Actinomyces_sp_oral_taxon_180	Prevotella_denticola	10.55517578125	0.0	3	0.5897216796875	1.77777099609375	1.183746337890625	9.371429443359375	88.78515751491881	True
Actinomyces_sp_oral_taxon_180	Prevotella_nigrescens	12.0399169921875	0.0	3	0.5897216796875	2.7427978515625	1.666259765625	10.3736572265625	86.16053776196125	True
Actinomyces_sp_oral_taxon_181	Prevotella_buccae	5.87066650390625	0.0	3	1.41619873046875	1.97808837890625	1.6971435546875	4.17352294921875	71.0911264750221	True
Actinomyces_sp_oral_taxon_414	Selenomonas_sputigena	1.6317138671875	0.0	3	0.92218017578125	7.2613525390625	4.091766357421875	-2.460052490234375	-150.764943517618	False
Actinomyces_sp_oral_taxon_448	Prevotella_oris	5.81610107421875	0.0	3	1.053466796875	1.53570556640625	1.294586181640625	4.521514892578125	77.74133968580453	True
Actinomyces_sp_oral_taxon_897	Selenomonas_sputigena	1.6317138671875	0.0	3	0.92218017578125	7.2613525390625	4.091766357421875	-2.460052490234375	-150.764943517618	False
Actinomyces_viscosus	Eikenella_sp_NML130454	3.08038330078125	0.0	3	2.05718994140625	0.65325927734375	1.355224609375	1.72515869140625	56.00467613782718	True
Actinomyces_viscosus	Lactobacillus_curvatus	3.43994140625	0.0	3	2.05718994140625	0.03875732421875	1.0479736328125	2.3919677734375	69.53513129879347	True
Actinomyces_viscosus	Leptotrichia_wadei	3.08038330078125	0.0	3	2.05718994140625	0.65325927734375	1.355224609375	1.72515869140625	56.00467613782718	True
Actinomyces_viscosus	Prevotella_oralis	3.43994140625	0.0	3	2.05718994140625	0.03875732421875	1.0479736328125	2.3919677734375	69.53513129879347	True
Adlercreutzia_equolifaciens	Collinsella_massiliensis	6.98712158203125		1	0.28558349609375	2.0875244140625	1.186553955078125	5.800567626953125	83.01798614568865	True
Aeriscardovia_aeriphila	Lactobacillus_amylovorus	2.60797119140625	0.0	3	0.65325927734375	1.053466796875	0.853363037109375	1.754608154296875	67.2786632029769	True
Aeromonas_caviae	Aeromonas_media	3.219482421875	0.0	3	0.000732421875	1.559326171875	0.780029296875	2.439453125	75.7715932357625	True
Agathobaculum_butyriciproducens	Bacteroides_sp_D2	3.9508056640625		1	1.3729248046875	0.14349365234375	0.758209228515625	3.192596435546875	80.80874401359493	True
Agathobaculum_butyriciproducens	ILEUSYN-PWY:_L-isoleucine_biosynthesis_I_(from_threonine)	9.9456787109375		1	0.66839599609375	1.21307373046875	0.94073486328125	9.00494384765625	90.54127032832156	True
Agathobaculum_butyriciproducens	Massiliomicrobiota_timonensis	8.85589599609375		1	1.88848876953125	0.1593017578125	1.023895263671875	7.832000732421875	88.43826458527172	True
Agathobaculum_butyriciproducens	Prevotella_sp_AM42_24	6.70404052734375		1	0.66839599609375	0.91943359375	0.793914794921875	5.910125732421875	88.15766713098262	True
Agathobaculum_butyriciproducens	Prevotella_sp_CAG_1185	7.1954345703125		1	1.88848876953125	1.0413818359375	1.464935302734375	5.730499267578125	79.64076681652388	True
Agathobaculum_butyriciproducens	Prevotella_stercorea	7.573974609375		1	1.3729248046875	1.90460205078125	1.638763427734375	5.935211181640625	78.36323050639848	True
Agathobaculum_butyriciproducens	Ruminococcus_sp_CAG_330	7.1888427734375		1	1.3729248046875	1.11260986328125	1.242767333984375	5.946075439453125	82.71255370090506	True
Agathobaculum_butyriciproducens	VALSYN-PWY:_L-valine_biosynthesis	8.70697021484375		1	1.3729248046875	0.0472412109375	0.7100830078125	7.99688720703125	91.84466019417475	True
Aggregatibacter_aphrophilus	Lactobacillus_amylovorus	4.20269775390625	0.0	3	0.34210205078125	1.053466796875	0.697784423828125	3.504913330078125	83.39674978578793	True
Aggregatibacter_aphrophilus	PWY0-1296:_purine_ribonucleosides_degradation	4.34185791015625		1	0.34210205078125	1.03668212890625	0.68939208984375	3.6524658203125	84.12218676638037	True
