Feature	IG	p_value	adjusted_p_value
Akkermansia_muciniphila	0.0028457641601562	0.949917988427839	1
Escherichia_coli	1.16273498535156	0.204225915185468	1
Faecalibacterium_prausnitzii	0.0243301391601562	0.854285019400233	1
Bacteroides_vulgatus	1.06661987304688	0.22398600037678	1
Anaerostipes_hadrus	0.76019287109375	0.30462181034651	1
Alistipes_putredinis	7.83259582519531	0.0009835482082562	1
Collinsella_aerofaciens	0.04888916015625	0.79460470324726	1
Phascolarctobacterium_succinatutens	0.159271240234375	0.638433449415788	1
Clostridium_sp_CAG_413	0.0	0.999920211544053	1
Desulfovibrio_piger	0.394027709960938	0.459858771383937	1
Coprococcus_comes	0.368583679199219	0.474721207317214	1
Eubacterium_rectale	0.35675048828125	0.481899686336548	1
Bacteroides_caccae	0.956871032714844	0.249427949700062	1
Parvimonas_micra	0.298599243164062	0.519973210634147	1
Barnesiella_intestinihominis	2.01609802246094	0.0945643520685875	1
Eubacterium_hallii	1.71616363525391	0.122967745459066	1
Bifidobacterium_pseudolongum	0.0	0.999920211544053	1
Eubacterium_eligens	1.00339508056641	0.238236137194674	1
Firmicutes_bacterium_CAG_83	2.01609802246094	0.0945643520685875	1
Dorea_longicatena	0.15625	0.641636316051235	1
Oscillibacter_sp_57_20	0.891624450683594	0.266232911718757	1
Clostridium_sp_CAG_510	0.0	0.999920211544053	1
Prevotella_intermedia	0.0	0.999920211544053	1
Paraprevotella_xylaniphila	0.445915222167969	0.431728229474025	1
Roseburia_sp_CAG_471	0.33770751953125	0.493833938010292	1
Clostridium_leptum	2.37192535400391	0.0697800440295892	1
Firmicutes_bacterium_CAG_110	0.0915679931640625	0.721625889590668	1
Dorea_formicigenerans	0.372444152832031	0.472416889236163	1
Clostridium_sp_CAG_242	0.0242691040039062	0.854465863053728	1
Fusicatenibacter_saccharivorans	1.66658020019531	0.128513395213062	1
Blautia_wexlerae	0.470115661621094	0.419498872209489	1
Slackia_isoflavoniconvertens	0.245918273925781	0.559301475081648	1
Blautia_obeum	0.125083923339844	0.677104873545508	1
Gemmiger_formicilis	8.05088806152344	0.0008353935357156	1
Parabacteroides_distasonis	0.0121536254882812	0.896723253404882	1
Prevotella_copri	0.268875122070312	0.541514472935919	1
Bacteroides_fragilis	0.0331192016601562	0.830334091924333	1
Peptostreptococcus_stomatis	0.298599243164062	0.519973210634147	1
Eubacterium_ramulus	0.221694946289062	0.579320495651044	1
Odoribacter_splanchnicus	0.957565307617188	0.249256272576036	1
Filifactor_alocis	0.0	0.999920211544053	1
Gemella_morbillorum	0.0	0.999920211544053	1
Klebsiella_pneumoniae	0.725555419921875	0.315903103879328	1
Eubacterium_siraeum	2.64044189453125	0.0557192607538908	1
Bacteroides_uniformis	1.88561248779297	0.105923347942775	1
Prevotella_sp_CAG_891	0.0329132080078125	0.830854554772144	1
Proteus_mirabilis	0.600341796875	0.361622594794417	1
Agathobaculum_butyriciproducens	0.816146850585938	0.287472700463628	1
Dialister_pneumosintes	3.35271453857422	0.0310924807152651	1
Acidaminococcus_intestini	0.470474243164062	0.419321588964677	1
Solobacterium_moorei	0.100135803222656	0.709459219421949	1
Parabacteroides_merdae	0.0526123046875	0.787108770767892	1
Coprococcus_catus	1.52430725097656	0.146039529303495	1
Butyricimonas_virosa	0.701339721679688	0.324116366024171	1
Bacteroides_stercoris	0.0564804077148438	0.779616650866181	1
Adlercreutzia_equolifaciens	5.32025146484375	0.0066120809780423	1
