Feature	IG	p_value	adjusted_p_value
Akkermansia_muciniphila	0.188922882080078	0.608815959726122	1
Escherichia_coli	0.0332126617431641	0.830098514306196	1
Faecalibacterium_prausnitzii	0.395009994506836	0.459299941863401	1
Bacteroides_vulgatus	2.68979263305664	0.0534803832067054	1
Anaerostipes_hadrus	0.981935501098633	0.243320677804469	1
Alistipes_putredinis	0.140893936157227	0.658524842054634	1
Collinsella_aerofaciens	1.17971801757812	0.200952759039017	1
Phascolarctobacterium_succinatutens	0.0	0.999920211544053	1
Clostridium_sp_CAG_413	0.0665283203125	0.761363802275975	1
Desulfovibrio_piger	0.434965133666992	0.437439583749909	1
Coprococcus_comes	0.0	0.999920211544053	1
Eubacterium_rectale	0.0	0.999920211544053	1
Bacteroides_caccae	0.136125564575195	0.663992363130029	1
Parvimonas_micra	0.147706985473633	0.650901570334897	1
Barnesiella_intestinihominis	0.788463592529297	0.295798041889195	1
Eubacterium_hallii	0.826139450073242	0.284540980246156	1
Bifidobacterium_pseudolongum	1.9073486328125e-06	0.998702573872022	1
Eubacterium_eligens	0.395008087158203	0.459301025927067	1
Firmicutes_bacterium_CAG_83	0.0365066528320312	0.822006993824034	1
Dorea_longicatena	0.395009994506836	0.459299941863401	1
Oscillibacter_sp_57_20	0.136127471923828	0.663990153506209	1
Clostridium_sp_CAG_510	1.9073486328125e-06	0.998702573872022	1
Prevotella_intermedia	1.9073486328125e-06	0.998702573872022	1
Paraprevotella_xylaniphila	0.837406158447266	0.281280741282101	1
Roseburia_sp_CAG_471	0.136125564575195	0.663992363130029	1
Clostridium_leptum	1.78542137145996	0.115660646393451	1
Firmicutes_bacterium_CAG_110	0.0	0.999920211544053	1
Dorea_formicigenerans	2.68979263305664	0.0534803832067054	1
Clostridium_sp_CAG_242	0.788463592529297	0.295798041889195	1
Fusicatenibacter_saccharivorans	0.536521911621094	0.388453554270179	1
Blautia_wexlerae	0.128538131713867	0.672931903691008	1
Slackia_isoflavoniconvertens	0.395009994506836	0.459299941863401	1
Blautia_obeum	0.826139450073242	0.284540980246156	1
Gemmiger_formicilis	0.0	0.999920211544053	1
Parabacteroides_distasonis	0.308235168457031	0.513314475025393	1
Prevotella_copri	0.316299438476562	0.50785501106723	1
Bacteroides_fragilis	0.188922882080078	0.608815959726122	1
Peptostreptococcus_stomatis	1.9073486328125e-06	0.998702573872022	1
Eubacterium_ramulus	0.0322856903076172	0.83245061918945	1
Odoribacter_splanchnicus	0.518827438354492	0.396390836621834	1
Filifactor_alocis	1.9073486328125e-06	0.998702573872022	1
Gemella_morbillorum	1.9073486328125e-06	0.998702573872022	1
Klebsiella_pneumoniae	0.322944641113281	0.503430963112917	1
Eubacterium_siraeum	0.308235168457031	0.513314475025393	1
Bacteroides_uniformis	3.07018661499023	0.0391077147088368	1
Prevotella_sp_CAG_891	1.9073486328125e-06	0.998702573872022	1
Proteus_mirabilis	1.9073486328125e-06	0.998702573872022	1
Agathobaculum_butyriciproducens	0.0332126617431641	0.830098514306196	1
