Feature	IG	p_value	adjusted_p_value
Akkermansia_muciniphila	12.3636322021484	3.47299676918861e-05	0.057964316077758
Escherichia_coli	1.06486511230469	0.224367425420538	1.0
Faecalibacterium_prausnitzii	0.444580078125	0.43241852075533	1.0
Bacteroides_vulgatus	0.603988647460938	0.36016837843489	1.0
Anaerostipes_hadrus	6.92236328125	0.001949556982689	1.0
Alistipes_putredinis	56.8440399169922	6.86376476697746e-19	1.1929223165006801e-15
Collinsella_aerofaciens	0.365402221679688	0.476633967970425	1.0
Phascolarctobacterium_succinatutens	0.847732543945312	0.278333951167947	1.0
Clostridium_sp_CAG_413	0.847732543945312	0.278333951167947	1.0
Desulfovibrio_piger	12.4183807373047	3.33697082767235e-05	0.0557941522386818
Coprococcus_comes	14.0684356689453	1.00442178338727e-05	0.0169847723570787
Eubacterium_rectale	0.0055389404296875	0.930172639516961	1.0
Bacteroides_caccae	1.74424743652344	0.119944891108992	1.0
Parvimonas_micra	1.29228210449219	0.180745530531074	1.0
Barnesiella_intestinihominis	7.33839416503906	0.0014249871840658	1.0
Eubacterium_hallii	0.227493286132812	0.57440186826736	1.0
Bifidobacterium_pseudolongum	4.96762084960938	0.0086845036225891	1.0
Eubacterium_eligens	3.27140808105469	0.0332058458344877	1.0
Firmicutes_bacterium_CAG_83	13.0544738769531	2.09894059351031e-05	0.035220223159103
Dorea_longicatena	0.0137939453125	0.890015958888763	1.0
Oscillibacter_sp_57_20	7.69322204589844	0.0010917769996331	1.0
Clostridium_sp_CAG_510	0.0	0.999920211544053	1.0
Prevotella_intermedia	0.179550170898438	0.617844058837037	1.0
Paraprevotella_xylaniphila	12.4183807373047	3.33697082767235e-05	0.0557941522386818
Roseburia_sp_CAG_471	8.64237976074219	0.0005374912829784	0.876648282537812
Clostridium_leptum	3.35842895507812	0.0309493281555784	1.0
Firmicutes_bacterium_CAG_110	0.321563720703125	0.504344864481742	1.0
Dorea_formicigenerans	5.49681091308594	0.005771815148475	1.0
Clostridium_sp_CAG_242	1.67327880859375	0.127748194459766	1.0
Fusicatenibacter_saccharivorans	3.34736633300781	0.0312270849098693	1.0
Blautia_wexlerae	0.0150299072265625	0.885226960699235	1.0
Slackia_isoflavoniconvertens	5.53053283691406	0.0056241554289399	1.0
Blautia_obeum	2.55265808105469	0.0599511490504758	1.0
Gemmiger_formicilis	2.96139526367188	0.0427473494246389	1.0
Parabacteroides_distasonis	4.74179077148438	0.0103507163939484	1.0
Prevotella_copri	11.3087005615234	7.51248131833038e-05	0.124857439510651
Bacteroides_fragilis	3.07061767578125	0.0390939586018954	1.0
Peptostreptococcus_stomatis	5.94734191894531	0.0040869664580348	1.0
Eubacterium_ramulus	0.582183837890625	0.36898550255366	1.0
Odoribacter_splanchnicus	15.7293853759766	3.01724789698417e-06	0.005129321424873
Filifactor_alocis	0.0	0.999920211544053	1.0
Gemella_morbillorum	5.45526123046875	0.0059592028069967	1.0
Klebsiella_pneumoniae	0.411605834960938	0.450017871887476	1.0
Eubacterium_siraeum	31.5748138427734	3.6894836794015796e-11	6.39018573272353e-08
Bacteroides_uniformis	1.32673645019531	0.175039198650378	1.0
Prevotella_sp_CAG_891	12.4183807373047	3.33697082767235e-05	0.0557941522386818
Proteus_mirabilis	1.29228210449219	0.180745530531074	1.0
Agathobaculum_butyriciproducens	4.97254943847656	0.0086513726604684	1.0
Dialister_pneumosintes	7.44810485839844	0.0013122136340406	1.0
