Feature	IG	p_value	adjusted_p_value
Akkermansia_muciniphila	4.15451049804688	0.0164009097128416	1.0
Escherichia_coli	17.7357177734375	7.10320447298031e-07	0.0012118066830904
Faecalibacterium_prausnitzii	0.57354736328125	0.372560792711318	1.0
Bacteroides_vulgatus	2.45626831054688	0.0649947449265147	1.0
Anaerostipes_hadrus	0.0948486328125	0.716894062586242	1.0
Alistipes_putredinis	0.07489013671875	0.747293033081804	1.0
Collinsella_aerofaciens	8.189208984375	0.000753402191802	1.0
Phascolarctobacterium_succinatutens	0.224334716796875	0.57707089570135	1.0
Clostridium_sp_CAG_413	0.48321533203125	0.413093904411527	1.0
Desulfovibrio_piger	2.66583251953125	0.0545552222549615	1.0
Coprococcus_comes	1.18133544921875	0.200644261336345	1.0
Eubacterium_rectale	7.41680908203125	0.0013434294895119	1.0
Bacteroides_caccae	0.458099365234375	0.42550511798926	1.0
Parvimonas_micra	9.57916259765625	0.0002683184542824	0.446082707386802
Barnesiella_intestinihominis	0.0001220703125	0.989620879138011	1.0
Eubacterium_hallii	0.024566650390625	0.85358645574573	1.0
Bifidobacterium_pseudolongum	1.23556518554688	0.190615102153589	1.0
Eubacterium_eligens	4.902587890625	0.0091340335039202	1.0
Firmicutes_bacterium_CAG_83	0.211029052734375	0.588592073903424	1.0
Dorea_longicatena	0.93994140625	0.253659503437062	1.0
Oscillibacter_sp_57_20	3.2979736328125	0.0324993190547411	1.0
Clostridium_sp_CAG_510	0.1612548828125	0.63635067165822	1.0
Prevotella_intermedia	0.5555419921875	0.380172282316391	1.0
Paraprevotella_xylaniphila	0.286224365234375	0.528751072760841	1.0
Roseburia_sp_CAG_471	0.1663818359375	0.631039172090858	1.0
Clostridium_leptum	0.291107177734375	0.525256305430573	1.0
Firmicutes_bacterium_CAG_110	0.033172607421875	0.830199433634345	1.0
Dorea_formicigenerans	0.45703125	0.426045235915618	1.0
Clostridium_sp_CAG_242	6.103515625e-05	0.992660749759259	1.0
Fusicatenibacter_saccharivorans	0.503173828125	0.403609153685385	1.0
Blautia_wexlerae	0.00250244140625	0.953032363814253	1.0
Slackia_isoflavoniconvertens	0.003509521484375	0.944391689604496	1.0
Blautia_obeum	0.982086181640625	0.243284518330151	1.0
Gemmiger_formicilis	0.660247802734375	0.338712651467045	1.0
Parabacteroides_distasonis	4.38839721679688	0.0136441650118442	1.0
Prevotella_copri	1.1611328125	0.204537933129449	1.0
Bacteroides_fragilis	0.22711181640625	0.574722916939906	1.0
Peptostreptococcus_stomatis	5.72952270507812	0.0048278941214178	1.0
Eubacterium_ramulus	0.0440673828125	0.804780801749752	1.0
Odoribacter_splanchnicus	0.035003662109375	0.825649381508595	1.0
Filifactor_alocis	3.0517578125e-05	0.994810329793722	1.0
Gemella_morbillorum	12.8406982421875	2.45255913141164e-05	0.041301095772972
Klebsiella_pneumoniae	14.6842346191406	6.42686198791331e-06	0.0109128116554768
Eubacterium_siraeum	0.00164794921875	0.961878115015038	1.0
Bacteroides_uniformis	5.05706787109375	0.0081029213957203	1.0
Prevotella_sp_CAG_891	0.58184814453125	0.369123575573115	1.0
Proteus_mirabilis	0.00726318359375	0.920071257952538	1.0
Agathobaculum_butyriciproducens	1.58099365234375	0.138754061126218	1.0
Dialister_pneumosintes	0.011444091796875	0.899766860885959	1.0
Acidaminococcus_intestini	0.51165771484375	0.399673566789827	1.0
Solobacterium_moorei	11.0354309082031	9.17963840079082e-05	0.154217925133286
Parabacteroides_merdae	0.369598388671875	0.474113764452007	1.0
Coprococcus_catus	0.011016845703125	0.901645987725564	1.0
Butyricimonas_virosa	0.68133544921875	0.331115176359404	1.0
Bacteroides_stercoris	1.34686279296875	0.171802046467448	1.0
Adlercreutzia_equolifaciens	0.162261962890625	0.635299255073083	1.0
Alistipes_finegoldii	1.57525634765625	0.139472537967174	1.0
Roseburia_hominis	0.1590576171875	0.638658691560003	1.0
Bacteroides_xylanisolvens	0.485076904296875	0.412195468125469	1.0
Firmicutes_bacterium_CAG_95	2.35491943359375	0.0707897873341912	1.0
Bacteroides_thetaiotaomicron	3.5130615234375	0.0273253250234926	1.0
Kluyvera_georgiana	0.549957275390625	0.38257765769738	1.0
Actinomyces_cardiffensis	2.06179809570312	0.0909058365016185	1.0
Oxalobacter_formigenes	1.93521118164062	0.101438993255387	1.0
Oscillibacter_sp_CAG_241	0.89093017578125	0.266419146866438	1.0
Olsenella_scatoligenes	0.064971923828125	0.764087915051052	1.0
Ruthenibacterium_lactatiformans	0.549041748046875	0.38297403582968	1.0
Roseburia_inulinivorans	1.073974609375	0.222395759656504	1.0
Bifidobacterium_adolescentis	1.09335327148438	0.218269933984031	1.0
Catenibacterium_mitsuokai	2.32846069335938	0.0723920542650354	1.0
Ruminococcus_torques	0.01708984375	0.877672333734185	1.0
Monoglobus_pectinilyticus	0.519195556640625	0.396223342843841	1.0
Clostridium_sp_CAG_58	0.33050537109375	0.498476846015731	1.0
Bacteroides_massiliensis	1.03240966796875	0.231564833625461	1.0
Megamonas_funiformis	1.17233276367188	0.202368479630653	1.0
Alistipes_shahii	0.068878173828125	0.757316081468435	1.0
Klebsiella_variicola	11.5260620117188	6.40654450791405e-05	0.107694013178035
Bilophila_wadsworthia	4.11428833007812	0.0169300113125691	1.0
Ruminococcus_sp_CAG_403	1.77276611328125	0.116959176473551	1.0
Asaccharobacter_celatus	0.065582275390625	0.763015437213434	1.0
Veillonella_parvula	4.37539672851562	0.0137840870179728	1.0
Parabacteroides_goldsteinii	0.62921142578125	0.350327020563026	1.0
Firmicutes_bacterium_CAG_238	0.011444091796875	0.899766860885959	1.0
Bacteroides_intestinalis	3.5526123046875	0.0264713168258812	1.0
Streptococcus_sanguinis	13.6068725585938	1.40441001107483e-05	0.0237345291871647
Lawsonibacter_asaccharolyticus	6.09490966796875	0.0036517615916024	1.0
Ruminococcus_bicirculans	0.5621337890625	0.377360543596067	1.0
Collinsella_stercoris	0.45703125	0.426045235915618	1.0
Bacteroides_ovatus	0.45001220703125	0.429620416996554	1.0
Streptococcus_salivarius	0.2056884765625	0.593348805700045	1.0
Methanobrevibacter_smithii	2.38494873046875	0.0690171970299913	1.0
Citrobacter_amalonaticus	0.352783203125	0.484346306929021	1.0
Ruminococcaceae_bacterium_D5	0.4874267578125	0.411065484681796	1.0
Gordonibacter_pamelaeae	10.3465576171875	0.0001523147652922	0.254213343272789
Holdemania_filiformis	7.8748779296875	0.0009529099107387	1.0
Klebsiella_quasipneumoniae	10.6679077148438	0.0001202437166226	0.20128798162634
Granulicatella_adiacens	10.6798706054688	0.0001191908988595	0.19976394648865
Eubacterium_sp_CAG_180	2.03817749023438	0.0927771882715929	1.0
Enterococcus_avium	1.77276611328125	0.116959176473551	1.0
Gemella_sanguinis	5.22900390625	0.0070942932280606	1.0
Sanguibacteroides_justesenii	0.149505615234375	0.648924471894434	1.0
Cloacibacillus_porcorum	0.59002685546875	0.365779955675102	1.0
Erysipelothrix_larvae	0.277862548828125	0.534833718372685	1.0
[Collinsella]_massiliensis	3.0517578125e-05	0.994810329793722	1.0
Bulleidia_extructa	2.402099609375	0.0680261654557868	1.0
Bacteroides_cellulosilyticus	0.9935302734375	0.240557252167579	1.0
Ruminococcus_bromii	0.62921142578125	0.350327020563026	1.0
Streptococcus_anginosus_group	37.8668823242188	4.31423004447977e-13	7.49813181730583e-10
Anaerofustis_stercorihominis	0.33245849609375	0.49721049954279	1.0
Clostridium_sp_CAG_299	3.04953002929688	0.0397728999641586	1.0
Bacteroides_plebeius	0.299560546875	0.519302132681744	1.0
Firmicutes_bacterium_CAG_145	0.13128662109375	0.669658451957811	1.0
Clostridium_symbiosum	1.57525634765625	0.139472537967174	1.0
Roseburia_intestinalis	3.68862915039062	0.0237400280913525	1.0
Collinsella_intestinalis	0.003936767578125	0.941109832058208	1.0
Harryflintia_acetispora	0.081634521484375	0.736564187655549	1.0
Clostridium_citroniae	2.67730712890625	0.0540376490315111	1.0
Firmicutes_bacterium_CAG_170	0.040008544921875	0.813815125852774	1.0
Morganella_morganii	0.010009765625	0.906227334782109	1.0
Actinomyces_sp_ICM47	9.1141357421875	0.0003786165302008	0.62736759054281
Clostridium_asparagiforme	0.010955810546875	0.901917434559673	1.0
Anaeromassilibacillus_sp_An250	0.03729248046875	0.820133928369597	1.0
Parabacteroides_gordonii	0.40325927734375	0.454648888630487	1.0
