Feature	IG	p_value	adjusted_p_value
Akkermansia_muciniphila	0.478561401367188	0.415352693955954	1.0
Escherichia_coli	1.12651062011719	0.211420089667788	1.0
Faecalibacterium_prausnitzii	0.197341918945312	0.600944323695237	1.0
Bacteroides_vulgatus	1.70506286621094	0.124185813622653	1.0
Anaerostipes_hadrus	0.332382202148438	0.497259864137072	1.0
Alistipes_putredinis	1.3155517578125	0.176868503083397	1.0
Collinsella_aerofaciens	0.115798950195312	0.688667711261083	1.0
Phascolarctobacterium_succinatutens	0.050018310546875	0.792300024561527	1.0
Clostridium_sp_CAG_413	0.375274658203125	0.470738835580923	1.0
Desulfovibrio_piger	0.38604736328125	0.464439152711412	1.0
Coprococcus_comes	0.774223327636719	0.300200919158436	1.0
Eubacterium_rectale	0.000885009765625	0.972058287243916	1.0
Bacteroides_caccae	0.0002899169921875	0.984005320780108	1.0
Parvimonas_micra	0.45233154296875	0.428434061820459	1.0
Barnesiella_intestinihominis	4.27371215820312	0.014930731921514	1.0
Eubacterium_hallii	4.77447509765625	0.0100906219639878	1.0
Bifidobacterium_pseudolongum	-1.52587890625e-05	0.999920211544053	1.0
Eubacterium_eligens	0.654518127441406	0.340817246463774	1.0
Firmicutes_bacterium_CAG_83	0.931655883789062	0.255762630955697	1.0
Dorea_longicatena	0.759536743164062	0.304830603414158	1.0
Oscillibacter_sp_57_20	0.716323852539062	0.31900154879798	1.0
Clostridium_sp_CAG_510	0.54156494140625	0.386233052055601	1.0
Prevotella_intermedia	-1.52587890625e-05	0.999920211544053	1.0
Paraprevotella_xylaniphila	0.0015716552734375	0.962770367035921	1.0
Roseburia_sp_CAG_471	0.853294372558594	0.276762915504115	1.0
Clostridium_leptum	1.57057189941406	0.14006226344012	1.0
Firmicutes_bacterium_CAG_110	1.76532745361328	0.117729951779469	1.0
Dorea_formicigenerans	1.53526306152344	0.144598547185818	1.0
Clostridium_sp_CAG_242	1.804443359375	0.113738668590417	1.0
