Feature	IG	p_value	adjusted_p_value
Akkermansia_muciniphila	0.301910400390625	0.517668114203071	1.0
Escherichia_coli	0.08526611328125	0.730990693120641	1.0
Faecalibacterium_prausnitzii	0.1922607421875	0.605669045208212	1.0
Bacteroides_vulgatus	0.077545166015625	0.743008009427088	1.0
Anaerostipes_hadrus	0.378265380859375	0.468976218723266	1.0
Alistipes_putredinis	0.306076049804688	0.514793491215128	1.0
Collinsella_aerofaciens	0.106521606445312	0.70077171671776	1.0
Phascolarctobacterium_succinatutens	0.180328369140625	0.617083385408172	1.0
Clostridium_sp_CAG_413	0.001556396484375	0.962951403630279	1.0
Desulfovibrio_piger	0.182098388671875	0.61536083634829	1.0
Coprococcus_comes	0.906707763671875	0.262226573829281	1.0
Eubacterium_rectale	0.59820556640625	0.362478201639745	1.0
Bacteroides_caccae	2.714111328125	0.0524123625768987	1.0
Parvimonas_micra	1.52587890625e-05	0.99633033606759	1.0
Barnesiella_intestinihominis	0.0182037353515625	0.873781070196519	1.0
Eubacterium_hallii	3.1380615234375	0.0370029273923869	1.0
Bifidobacterium_pseudolongum	1.52587890625e-05	0.99633033606759	1.0
Eubacterium_eligens	2.89193725585938	0.0452559380511595	1.0
Firmicutes_bacterium_CAG_83	5.00285339355469	0.008450486534789	1.0
Dorea_longicatena	3.30570983886719	0.032296534387122	1.0
Oscillibacter_sp_57_20	1.19100952148438	0.198810670598933	1.0
Clostridium_sp_CAG_510	0.30023193359375	0.51883434653485	1.0
Prevotella_intermedia	1.52587890625e-05	0.99633033606759	1.0
Paraprevotella_xylaniphila	0.199935913085938	0.598562107666498	1.0
Roseburia_sp_CAG_471	0.182098388671875	0.61536083634829	1.0
Clostridium_leptum	2.31086730957031	0.0734789586242907	1.0
Firmicutes_bacterium_CAG_110	0.877761840820312	0.269982426049171	1.0
Dorea_formicigenerans	0.0570220947265625	0.778589779672344	1.0
Clostridium_sp_CAG_242	0.509735107421875	0.400560543839198	1.0
Fusicatenibacter_saccharivorans	2.89193725585938	0.0452559380511595	1.0
Blautia_wexlerae	0.936676025390625	0.254485807888971	1.0
Slackia_isoflavoniconvertens	0.182098388671875	0.61536083634829	1.0
Blautia_obeum	0.5257568359375	0.393254989439429	1.0
Gemmiger_formicilis	0.59051513671875	0.365581669305728	1.0
Parabacteroides_distasonis	0.635513305664062	0.347925604849422	1.0
Prevotella_copri	1.58062744140625	0.138799797086679	1.0
Bacteroides_fragilis	0.218490600585938	0.582074872068451	1.0
Peptostreptococcus_stomatis	1.52587890625e-05	0.99633033606759	1.0
Eubacterium_ramulus	0.5015869140625	0.404351563203087	1.0
Odoribacter_splanchnicus	2.36178588867188	0.0703802137984225	1.0
Filifactor_alocis	1.52587890625e-05	0.99633033606759	1.0
Gemella_morbillorum	1.52587890625e-05	0.99633033606759	1.0
Klebsiella_pneumoniae	0.358932495117188	0.480562696076515	1.0
Eubacterium_siraeum	1.52587890625e-05	0.99633033606759	1.0
Bacteroides_uniformis	0.689422607421875	0.328261844164884	1.0
Prevotella_sp_CAG_891	0.31683349609375	0.507496999133673	1.0
Proteus_mirabilis	0.5419921875	0.386045762568128	1.0
Agathobaculum_butyriciproducens	0.147964477539062	0.650617641830015	1.0
Dialister_pneumosintes	0.100997924804688	0.708268234367941	1.0
Acidaminococcus_intestini	0.100997924804688	0.708268234367941	1.0
Solobacterium_moorei	0.100997924804688	0.708268234367941	1.0
Parabacteroides_merdae	0.013702392578125	0.890379244905801	1.0
Coprococcus_catus	0.0058746337890625	0.928093354522798	1.0
Butyricimonas_virosa	0.255462646484375	0.551775271689678	1.0
Bacteroides_stercoris	1.09219360351562	0.218514248263031	1.0
Adlercreutzia_equolifaciens	0.035430908203125	0.824605770713332	1.0
Alistipes_finegoldii	2.68365478515625	0.0537535692827781	1.0
Roseburia_hominis	1.93719482421875	0.101264020406282	1.0
Bacteroides_xylanisolvens	0.301544189453125	0.517922172197929	1.0
Firmicutes_bacterium_CAG_95	1.36576843261719	0.168823762139433	1.0
Bacteroides_thetaiotaomicron	0.712738037109375	0.320215833816748	1.0
Kluyvera_georgiana	0.100997924804688	0.708268234367941	1.0
Actinomyces_cardiffensis	0.30023193359375	0.51883434653485	1.0
Oxalobacter_formigenes	0.512039184570312	0.399497917882744	1.0
Oscillibacter_sp_CAG_241	0.646438598632812	0.343815013099889	1.0
Olsenella_scatoligenes	0.1351318359375	0.665146088177602	1.0
Ruthenibacterium_lactatiformans	2.36178588867188	0.0703802137984225	1.0
Roseburia_inulinivorans	1.05183410644531	0.22722443518889	1.0
Bifidobacterium_adolescentis	0.976730346679688	0.244573814982377	1.0
Catenibacterium_mitsuokai	0.30023193359375	0.51883434653485	1.0
Ruminococcus_torques	1.00341796875	0.238230783480262	1.0
Monoglobus_pectinilyticus	1.52587890625e-05	0.99633033606759	1.0
Clostridium_sp_CAG_58	0.7911376953125	0.294980511706791	1.0
Bacteroides_massiliensis	0.185516357421875	0.612063991746604	1.0
Megamonas_funiformis	1.36016845703125	0.169699728508185	1.0
Alistipes_shahii	0.323776245117188	0.502881966266206	1.0
Klebsiella_variicola	0.85064697265625	0.277509324022776	1.0
Bilophila_wadsworthia	9.06123352050781	0.0003937677664576	0.684368378103417
Ruminococcus_sp_CAG_403	0.0511016845703125	0.7901147845329	1.0
Asaccharobacter_celatus	0.003387451171875	0.945365809829945	1.0
Veillonella_parvula	0.3289794921875	0.499469981460611	1.0
Parabacteroides_goldsteinii	0.493301391601562	0.408260386246795	1.0
Firmicutes_bacterium_CAG_238	1.51054382324219	0.147872790867842	1.0
Bacteroides_intestinalis	2.4669189453125	0.0644158584476337	1.0
Streptococcus_sanguinis	0.001556396484375	0.962951403630279	1.0
Lawsonibacter_asaccharolyticus	0.689422607421875	0.328261844164884	1.0
Ruminococcus_bicirculans	1.55897521972656	0.141534253648307	1.0
Collinsella_stercoris	0.661178588867188	0.338372410371039	1.0
Bacteroides_ovatus	1.01254272460938	0.236108010416924	1.0
Streptococcus_salivarius	0.094757080078125	0.717024848181332	1.0
Methanobrevibacter_smithii	0.100997924804688	0.708268234367941	1.0
Citrobacter_amalonaticus	1.52587890625e-05	0.99633033606759	1.0
Ruminococcaceae_bacterium_D5	3.59211730957031	0.0256459561788267	1.0
Gordonibacter_pamelaeae	0.8038330078125	0.291138486620391	1.0
Holdemania_filiformis	4.45111083984375	0.0129894230332154	1.0
Klebsiella_quasipneumoniae	0.4139404296875	0.448735726906079	1.0
Granulicatella_adiacens	1.52587890625e-05	0.99633033606759	1.0
Eubacterium_sp_CAG_180	1.55897521972656	0.141534253648307	1.0
Enterococcus_avium	1.52587890625e-05	0.99633033606759	1.0
Gemella_sanguinis	0.022247314453125	0.860594855056111	1.0
Sanguibacteroides_justesenii	1.52587890625e-05	0.99633033606759	1.0
Cloacibacillus_porcorum	0.24847412109375	0.557267057263922	1.0
Erysipelothrix_larvae	0.4024658203125	0.455093017623933	1.0
[Collinsella]_massiliensis	1.52587890625e-05	0.99633033606759	1.0
Bulleidia_extructa	1.52587890625e-05	0.99633033606759	1.0
Bacteroides_cellulosilyticus	1.55897521972656	0.141534253648307	1.0
Ruminococcus_bromii	0.04193115234375	0.809478078808071	1.0
Streptococcus_anginosus_group	0.100997924804688	0.708268234367941	1.0
Anaerofustis_stercorihominis	1.52587890625e-05	0.99633033606759	1.0
Clostridium_sp_CAG_299	0.0672454833984375	0.760120284841041	1.0
Bacteroides_plebeius	1.72702026367188	0.121789273474846	1.0
Firmicutes_bacterium_CAG_145	0.100997924804688	0.708268234367941	1.0
Clostridium_symbiosum	0.07879638671875	0.741016779105915	1.0
Roseburia_intestinalis	0.0181884765625	0.873833537781066	1.0
Collinsella_intestinalis	0.4278564453125	0.441209396453485	1.0
Harryflintia_acetispora	2.89981079101562	0.0449639442070374	1.0
Clostridium_citroniae	0.345535278320312	0.48886945172274	1.0
Firmicutes_bacterium_CAG_170	2.66427612304688	0.0546258286029508	1.0
Morganella_morganii	0.1351318359375	0.665146088177602	1.0
Actinomyces_sp_ICM47	0.013702392578125	0.890379244905801	1.0
Clostridium_asparagiforme	3.89993286132812	0.0200624189005794	1.0
Anaeromassilibacillus_sp_An250	1.30784606933594	0.178141633799907	1.0
Parabacteroides_gordonii	0.0511016845703125	0.7901147845329	1.0
Enterorhabdus_caecimuris	1.3853759765625	0.165797264034946	1.0
Roseburia_sp_CAG_182	0.005615234375	0.929694617582627	1.0
Bifidobacterium_longum	1.38624572753906	0.165664460350442	1.0
Bacteroides_dorei	0.0118408203125	0.898053613368664	1.0
Eubacterium_sulci	0.100997924804688	0.708268234367941	1.0
Intestinimonas_butyriciproducens	2.78593444824219	0.0493877332131135	1.0
Eubacterium_limosum	1.52587890625e-05	0.99633033606759	1.0
Proteus_hauseri	0.30023193359375	0.51883434653485	1.0
Megamonas_hypermegale	1.30758666992188	0.178184675374774	1.0
Bacteroides_coprocola	0.958892822265625	0.248928413795281	1.0
Faecalitalea_cylindroides	1.52587890625e-05	0.99633033606759	1.0
Enorma_massiliensis	0.100997924804688	0.708268234367941	1.0
Bacteroides_nordii	1.51054382324219	0.147872790867842	1.0
Bifidobacterium_pseudocatenulatum	0.257003784179688	0.550577901977513	1.0
Sharpea_azabuensis	1.52587890625e-05	0.99633033606759	1.0
Gemella_haemolysans	0.5419921875	0.386045762568128	1.0
Streptococcus_parasanguinis	0.301544189453125	0.517922172197929	1.0
Roseburia_faecis	0.35662841796875	0.481974663411638	1.0
Denitrobacterium_detoxificans	1.52587890625e-05	0.99633033606759	1.0
Eubacterium_sp_CAG_38	1.75196838378906	0.119128322734947	1.0
Ruminococcus_callidus	0.005615234375	0.929694617582627	1.0
Eisenbergiella_tayi	0.149307250976562	0.649141812451919	1.0
Bacteroides_sp_D2	1.52587890625e-05	0.99633033606759	1.0
Cardiobacterium_hominis	1.52587890625e-05	0.99633033606759	1.0
Eubacterium_yurii	1.52587890625e-05	0.99633033606759	1.0
Clostridium_perfringens	1.0908203125	0.218803989855959	1.0
Parabacteroides_sp_426_9	1.52587890625e-05	0.99633033606759	1.0
Eubacterium_sp_OM08_24	0.0061492919921875	0.926436284229785	1.0
Ruminococcus_gnavus	2.92901611328125	0.0438980581134234	1.0
Flavonifractor_plautii	1.05183410644531	0.22722443518889	1.0
Fusobacterium_nucleatum	1.52587890625e-05	0.99633033606759	1.0
Phascolarctobacterium_faecium	0.214096069335938	0.585895413305368	1.0
Eggerthella_lenta	2.60923767089844	0.0571860215854249	1.0
Eubacterium_ventriosum	0.30548095703125	0.515202441544825	1.0
Haemophilus_parainfluenzae	0.031463623046875	0.834566233328391	1.0
Intestinibacter_bartlettii	1.88719177246094	0.105777258949262	1.0
Eisenbergiella_massiliensis	0.77276611328125	0.300656208566569	1.0
Dielma_fastidiosa	1.0908203125	0.218803989855959	1.0
Alistipes_indistinctus	1.36576843261719	0.168823762139433	1.0
Erysipelatoclostridium_ramosum	2.00094604492188	0.0958124470441556	1.0
Clostridium_bolteae	0.0310821533203125	0.835557754239447	1.0
Clostridium_saccharolyticum	0.100997924804688	0.708268234367941	1.0
Anaerotruncus_colihominis	0.31683349609375	0.507496999133673	1.0
Catabacter_hongkongensis	1.52587890625e-05	0.99633033606759	1.0
Streptococcus_gordonii	0.100997924804688	0.708268234367941	1.0
Coprobacillus_cateniformis	0.30023193359375	0.51883434653485	1.0
Christensenella_minuta	0.1351318359375	0.665146088177602	1.0
Hungatella_hathewayi	0.493301391601562	0.408260386246795	1.0
Ruminococcaceae_bacterium_D16	0.24847412109375	0.557267057263922	1.0
Turicibacter_sanguinis	0.0015869140625	0.962590209053025	1.0
Clostridium_disporicum	0.24847412109375	0.557267057263922	1.0
Streptococcus_sp_A12	1.52587890625e-05	0.99633033606759	1.0
Clostridium_clostridioforme	0.0355377197265625	0.824345900812212	1.0
Weissella_cibaria	0.808242797851562	0.289818901938129	1.0
Streptococcus_australis	0.1351318359375	0.665146088177602	1.0
Clostridium_innocuum	0.414642333984375	0.448351357625419	1.0
Megasphaera_elsdenii	0.144424438476562	0.654547533862104	1.0
Streptococcus_oralis	0.395248413085938	0.459164465793451	1.0
Blautia_hansenii	0.17596435546875	0.621375958214422	1.0
Clostridiales_bacterium_1_7_47FAA	0.100997924804688	0.708268234367941	1.0
Streptococcus_infantis	0.022247314453125	0.860594855056111	1.0
Fretibacterium_fastidiosum	1.3853759765625	0.165797264034946	1.0
Streptococcus_agalactiae	1.52587890625e-05	0.99633033606759	1.0
Romboutsia_ilealis	0.128616333007812	0.672838198403264	1.0
Veillonella_infantium	0.0015869140625	0.962590209053025	1.0
Prevotella_sp_oral_taxon_473	1.52587890625e-05	0.99633033606759	1.0
Parasutterella_excrementihominis	0.513717651367188	0.398726389713156	1.0
Porphyromonas_asaccharolytica	0.808242797851562	0.289818901938129	1.0
Coprococcus_eutactus	2.14541625976562	0.0846030707351721	1.0
Prevotella_sp_CAG_279	0.0667724609375	0.760939658670616	1.0
Lachnospira_pectinoschiza	0.367919921875	0.475119241074349	1.0
Prevotella_sp_CAG_5226	1.05859375	0.225736987211918	1.0
Fusobacterium_sp_oral_taxon_370	1.52587890625e-05	0.99633033606759	1.0
Mitsuokella_multacida	0.182098388671875	0.61536083634829	1.0
Anaerococcus_vaginalis	1.52587890625e-05	0.99633033606759	1.0
Bacteroides_salyersiae	1.84368896484375	0.109883528447265	1.0
Bacteroides_eggerthii	1.18707275390625	0.19955444722797	1.0
Lactobacillus_rogosae	0.241439819335938	0.56290069152577	1.0
Actinomyces_sp_oral_taxon_181	1.23484802246094	0.190743853474886	1.0
Bifidobacterium_dentium	2.09280395507812	0.0885113129255413	1.0
Alloscardovia_omnicolens	0.100997924804688	0.708268234367941	1.0
Mogibacterium_diversum	1.52587890625e-05	0.99633033606759	1.0
Streptococcus_vestibularis	0.100997924804688	0.708268234367941	1.0
Aeriscardovia_aeriphila	1.52587890625e-05	0.99633033606759	1.0
Bacteroides_galacturonicus	2.00094604492188	0.0958124470441556	1.0
Actinomyces_odontolyticus	0.003692626953125	0.942961893014965	1.0
Actinomyces_sp_HMSC035G02	0.0153656005859375	0.883961284607314	1.0
