Feature	IG	p_value	adjusted_p_value
Akkermansia_muciniphila	4.202880859375	0.0157871290605805	1.0
Escherichia_coli	27.2078857421875	8.17409509438717e-10	1.4165706798573e-06
Faecalibacterium_prausnitzii	3.835693359375	0.0211134908805113	1.0
Bacteroides_vulgatus	0.1990966796875	0.599330656143943	1.0
Anaerostipes_hadrus	5.49749755859375	0.0057687694065197	1.0
Alistipes_putredinis	3.098876953125	0.0382031202477178	1.0
Collinsella_aerofaciens	10.066650390625	0.0001872050650766	0.314317304263714
Phascolarctobacterium_succinatutens	4.7567138671875	0.0102311196517142	1.0
Clostridium_sp_CAG_413	2.260498046875	0.0766887657989515	1.0
Desulfovibrio_piger	0.38787841796875	0.463381805912715	1.0
Coprococcus_comes	0.99530029296875	0.240138763946245	1.0
Eubacterium_rectale	3.6495361328125	0.0244936861759873	1.0
Bacteroides_caccae	1.58197021484375	0.138632181183499	1.0
Parvimonas_micra	0.08984375	0.724151223206	1.0
Barnesiella_intestinihominis	8.9923095703125	0.0004144292462045	0.690853553422955
Eubacterium_hallii	5.59173583984375	0.0053659274806221	1.0
Bifidobacterium_pseudolongum	0.27484130859375	0.53706268568549	1.0
Eubacterium_eligens	15.8480224609375	2.76942247433144e-06	0.0047412512760554
Firmicutes_bacterium_CAG_83	5.5498046875	0.0055415046458692	1.0
Dorea_longicatena	0.111572265625	0.69411001778775	1.0
Oscillibacter_sp_57_20	0.589599609375	0.365953578643437	1.0
Clostridium_sp_CAG_510	1.467041015625	0.153840543564843	1.0
Prevotella_intermedia	0.0	0.999920211544053	1.0
Paraprevotella_xylaniphila	1.7918701171875	0.115005081498307	1.0
Roseburia_sp_CAG_471	4.8297119140625	0.0096661849681781	1.0
Clostridium_leptum	0.06011962890625	0.772816513052482	1.0
Firmicutes_bacterium_CAG_110	9.234375	0.0003463300726806	0.579063881522115
Dorea_formicigenerans	0.00396728515625	0.940882432782935	1.0
Clostridium_sp_CAG_242	0.065185546875	0.763711925435091	1.0
Fusicatenibacter_saccharivorans	13.114501953125	2.00919242784338e-05	0.0342366389704512
Blautia_wexlerae	2.2725830078125	0.0759051429705322	1.0
Slackia_isoflavoniconvertens	7.2886962890625	0.0014792548938864	1.0
Blautia_obeum	2.67333984375	0.0542160062469543	1.0
Gemmiger_formicilis	0.0645751953125	0.76478797315299	1.0
