Feature	IG	p_value	adjusted_p_value
Akkermansia_muciniphila	0.0313262939453125	0.83492245460812	1.0
Escherichia_coli	1.53781127929688	0.144265689056289	1.0
Faecalibacterium_prausnitzii	11.065559387207	8.97891285423507e-05	0.155963716278063
Bacteroides_vulgatus	1.1832275390625	0.200284083476133	1.0
Anaerostipes_hadrus	0.0	0.999920211544053	1.0
Alistipes_putredinis	4.70123291015625	0.0106830507821013	1.0
Collinsella_aerofaciens	8.58006286621094	0.0005630015753428	0.975118728493846
Phascolarctobacterium_succinatutens	0.0550079345703125	0.782435129552926	1.0
Clostridium_sp_CAG_413	0.0	0.999920211544053	1.0
Desulfovibrio_piger	2.81781005859375	0.0481049901206651	1.0
Coprococcus_comes	1.41849517822266	0.160824980456797	1.0
Eubacterium_rectale	0.450584411621094	0.429327269824568	1.0
Bacteroides_caccae	0.10418701171875	0.703912338918683	1.0
Parvimonas_micra	1.35680389404297	0.170228531671438	1.0
Barnesiella_intestinihominis	1.78118896484375	0.116093144644749	1.0
Eubacterium_hallii	5.92227935791016	0.0041659634979733	1.0
Bifidobacterium_pseudolongum	0.0	0.999920211544053	1.0
Eubacterium_eligens	1.88441467285156	0.106034297270792	1.0
Firmicutes_bacterium_CAG_83	1.83609008789062	0.110618601536622	1.0
Dorea_longicatena	2.50121307373047	0.0625889517499808	1.0
Oscillibacter_sp_57_20	4.99202728271484	0.008521699388218	1.0
Clostridium_sp_CAG_510	0.0	0.999920211544053	1.0
Prevotella_intermedia	0.0	0.999920211544053	1.0
Paraprevotella_xylaniphila	4.79728698730469	0.009913067926108	1.0
Roseburia_sp_CAG_471	1.39557647705078	0.164247359274445	1.0
Clostridium_leptum	1.84793090820312	0.109475523562265	1.0
Firmicutes_bacterium_CAG_110	1.07349395751953	0.222499272392569	1.0
Dorea_formicigenerans	4.25703430175781	0.01512797313456	1.0
Clostridium_sp_CAG_242	0.141136169433594	0.65825005950723	1.0
Fusicatenibacter_saccharivorans	6.29707336425781	0.0031308563907557	1.0
Blautia_wexlerae	1.22579193115234	0.192378442641077	1.0
Slackia_isoflavoniconvertens	1.9180908203125	0.102962958209743	1.0
Blautia_obeum	0.384620666503906	0.465265673866245	1.0
Gemmiger_formicilis	8.45268249511719	0.0006190156716396	1.0
Parabacteroides_distasonis	7.61940765380859	0.0011538990926771	1.0
Prevotella_copri	0.0426406860351562	0.807904140979315	1.0
Bacteroides_fragilis	1.94859313964844	0.100264970962648	1.0
Peptostreptococcus_stomatis	0.0	0.999920211544053	1.0
Eubacterium_ramulus	5.79146575927734	0.0046042475398494	1.0
Odoribacter_splanchnicus	7.93287658691406	0.0009124460966428	1.0
Filifactor_alocis	0.0	0.999920211544053	1.0
Gemella_morbillorum	0.0	0.999920211544053	1.0
Klebsiella_pneumoniae	1.41059875488281	0.161994856863622	1.0
Eubacterium_siraeum	0.485122680664062	0.412173411758157	1.0
Bacteroides_uniformis	0.290260314941406	0.525859470382086	1.0
Prevotella_sp_CAG_891	0.532218933105469	0.39036264124981	1.0
Proteus_mirabilis	0.532218933105469	0.39036264124981	1.0
Agathobaculum_butyriciproducens	8.60282897949219	0.0005535432121739	0.959843929909676
Dialister_pneumosintes	0.0	0.999920211544053	1.0
Acidaminococcus_intestini	0.86669921875	0.273022034776169	1.0
Solobacterium_moorei	0.0	0.999920211544053	1.0
Parabacteroides_merdae	2.99745941162109	0.0415029240900594	1.0
Coprococcus_catus	20.4377670288086	1.02152444720081e-07	0.0001775409489235
Butyricimonas_virosa	1.05775451660156	0.225921021968345	1.0
Bacteroides_stercoris	0.0	0.999920211544053	1.0
Adlercreutzia_equolifaciens	0.114303588867188	0.690579794983673	1.0
Alistipes_finegoldii	0.0299911499023438	0.838429054268165	1.0
Roseburia_hominis	1.98385620117188	0.097241737100324	1.0
Bacteroides_xylanisolvens	0.0313262939453125	0.83492245460812	1.0
Firmicutes_bacterium_CAG_95	9.33394622802734	0.0003217042553467	0.558156883026649
Bacteroides_thetaiotaomicron	1.82331085205078	0.111867022797782	1.0
Kluyvera_georgiana	0.0	0.999920211544053	1.0
Actinomyces_cardiffensis	0.0	0.999920211544053	1.0
Oxalobacter_formigenes	0.0	0.999920211544053	1.0
Oscillibacter_sp_CAG_241	2.49667358398438	0.0628275735172859	1.0
Olsenella_scatoligenes	0.532218933105469	0.39036264124981	1.0
Ruthenibacterium_lactatiformans	2.33489990234375	0.0719985669014018	1.0
Roseburia_inulinivorans	0.209457397460938	0.589983773474548	1.0
Bifidobacterium_adolescentis	2.52391815185547	0.0614098463259849	1.0
Catenibacterium_mitsuokai	0.643661499023438	0.344853625732219	1.0
Ruminococcus_torques	6.039306640625	0.0038099221656643	1.0
Monoglobus_pectinilyticus	1.03252410888672	0.231538970705359	1.0
Clostridium_sp_CAG_58	0.114486694335938	0.690344886344369	1.0
Bacteroides_massiliensis	0.11724853515625	0.68682778906243	1.0
Megamonas_funiformis	1.31524658203125	0.176918723981331	1.0
Alistipes_shahii	1.94859313964844	0.100264970962648	1.0
Klebsiella_variicola	0.413925170898438	0.44874408845536	1.0
Bilophila_wadsworthia	1.91275024414062	0.103443460369852	1.0
Ruminococcus_sp_CAG_403	2.26728057861328	0.0762479022211077	1.0
Asaccharobacter_celatus	0.0313262939453125	0.83492245460812	1.0
Veillonella_parvula	0.0313262939453125	0.83492245460812	1.0
Parabacteroides_goldsteinii	0.565574645996094	0.375904464952111	1.0
Firmicutes_bacterium_CAG_238	0.216400146484375	0.58388599241409	1.0
Bacteroides_intestinalis	0.0	0.999920211544053	1.0
Streptococcus_sanguinis	0.939872741699219	0.25367684497842	1.0
Lawsonibacter_asaccharolyticus	0.10418701171875	0.703912338918683	1.0
Ruminococcus_bicirculans	0.0	0.999920211544053	1.0
Collinsella_stercoris	0.2623291015625	0.546477605002432	1.0
Bacteroides_ovatus	0.045867919921875	0.800914677109808	1.0
Streptococcus_salivarius	0.11724853515625	0.68682778906243	1.0
Methanobrevibacter_smithii	0.565574645996094	0.375904464952111	1.0
Citrobacter_amalonaticus	0.532218933105469	0.39036264124981	1.0
Ruminococcaceae_bacterium_D5	0.0360565185546875	0.823089466804988	1.0
Gordonibacter_pamelaeae	0.0360565185546875	0.823089466804988	1.0
Holdemania_filiformis	0.135612487792969	0.664587421396838	1.0
Klebsiella_quasipneumoniae	0.07086181640625	0.753957664808871	1.0
Granulicatella_adiacens	0.0	0.999920211544053	1.0
Eubacterium_sp_CAG_180	0.481742858886719	0.41380660226024	1.0
Enterococcus_avium	0.0	0.999920211544053	1.0
Gemella_sanguinis	2.26728057861328	0.0762479022211077	1.0
Sanguibacteroides_justesenii	1.35680389404297	0.170228531671438	1.0
Cloacibacillus_porcorum	0.0	0.999920211544053	1.0
Erysipelothrix_larvae	0.0	0.999920211544053	1.0
[Collinsella]_massiliensis	0.0	0.999920211544053	1.0
Bulleidia_extructa	0.532218933105469	0.39036264124981	1.0
Bacteroides_cellulosilyticus	0.0	0.999920211544053	1.0
Ruminococcus_bromii	0.259819030761719	0.548403144299225	1.0
Streptococcus_anginosus_group	0.0	0.999920211544053	1.0
Anaerofustis_stercorihominis	1.35680389404297	0.170228531671438	1.0
Clostridium_sp_CAG_299	0.0	0.999920211544053	1.0
Bacteroides_plebeius	0.0	0.999920211544053	1.0
Firmicutes_bacterium_CAG_145	2.11953735351562	0.0865015848484731	1.0
Clostridium_symbiosum	1.00613403320312	0.237596511130506	1.0
Roseburia_intestinalis	0.751327514648438	0.307458679839293	1.0
Collinsella_intestinalis	0.565574645996094	0.375904464952111	1.0
Harryflintia_acetispora	1.87290954589844	0.107106492247653	1.0
Clostridium_citroniae	0.751335144042969	0.307456223779973	1.0
Firmicutes_bacterium_CAG_170	0.216400146484375	0.58388599241409	1.0
Morganella_morganii	0.532218933105469	0.39036264124981	1.0
Actinomyces_sp_ICM47	1.35680389404297	0.170228531671438	1.0
Clostridium_asparagiforme	0.46942138671875	0.419842440388385	1.0
Anaeromassilibacillus_sp_An250	1.03252410888672	0.231538970705359	1.0
Parabacteroides_gordonii	0.694084167480469	0.326631962362488	1.0
Enterorhabdus_caecimuris	0.130966186523438	0.670037993391639	1.0
Roseburia_sp_CAG_182	3.14019775390625	0.0369386424652193	1.0
Bifidobacterium_longum	1.47556304931641	0.152650327562666	1.0
Bacteroides_dorei	0.155624389648438	0.642304237425832	1.0
Eubacterium_sulci	0.0	0.999920211544053	1.0
Intestinimonas_butyriciproducens	3.11719512939453	0.0376370508570169	1.0
Eubacterium_limosum	0.532218933105469	0.39036264124981	1.0
Proteus_hauseri	0.0	0.999920211544053	1.0
Megamonas_hypermegale	0.694084167480469	0.326631962362488	1.0
Bacteroides_coprocola	0.0	0.999920211544053	1.0
Faecalitalea_cylindroides	6.29707336425781	0.0031308563907557	1.0
Enorma_massiliensis	0.766189575195312	0.30272207973311	1.0
Bacteroides_nordii	0.0	0.999920211544053	1.0
Bifidobacterium_pseudocatenulatum	1.22579193115234	0.192378442641077	1.0
Sharpea_azabuensis	0.0	0.999920211544053	1.0
Gemella_haemolysans	3.2266845703125	0.0344317683228599	1.0
Streptococcus_parasanguinis	0.458290100097656	0.425408776695154	1.0
Roseburia_faecis	0.0	0.999920211544053	1.0
Denitrobacterium_detoxificans	0.0	0.999920211544053	1.0
Eubacterium_sp_CAG_38	2.88046264648438	0.0456850609295791	1.0
Ruminococcus_callidus	0.559135437011719	0.378635846348557	1.0
Eisenbergiella_tayi	0.0839614868164062	0.732977408163301	1.0
Bacteroides_sp_D2	0.0	0.999920211544053	1.0
Cardiobacterium_hominis	0.0	0.999920211544053	1.0
Eubacterium_yurii	0.0	0.999920211544053	1.0
Clostridium_perfringens	0.532218933105469	0.39036264124981	1.0
Parabacteroides_sp_426_9	0.0	0.999920211544053	1.0
Eubacterium_sp_OM08_24	0.481742858886719	0.41380660226024	1.0
Ruminococcus_gnavus	4.9801025390625	0.0086008500326218	1.0
Flavonifractor_plautii	4.26594543457031	0.0150222537350974	1.0
Fusobacterium_nucleatum	0.532218933105469	0.39036264124981	1.0
Phascolarctobacterium_faecium	0.0285797119140625	0.842225615392221	1.0
Eggerthella_lenta	2.9613037109375	0.0427505579779427	1.0
Eubacterium_ventriosum	1.39557647705078	0.164247359274445	1.0
Haemophilus_parainfluenzae	1.9180908203125	0.102962958209743	1.0
Intestinibacter_bartlettii	2.03137969970703	0.0933234722180701	1.0
Eisenbergiella_massiliensis	6.87976837158203	0.0020132848204354	1.0
Dielma_fastidiosa	0.0	0.999920211544053	1.0
Alistipes_indistinctus	0.0322265625	0.832601840657422	1.0
Erysipelatoclostridium_ramosum	5.55374145507812	0.0055247740399594	1.0
Clostridium_bolteae	3.55583190917969	0.0264030294051576	1.0
Clostridium_saccharolyticum	3.14019775390625	0.0369386424652193	1.0
Anaerotruncus_colihominis	0.524612426757812	0.393770416128032	1.0
Catabacter_hongkongensis	0.0	0.999920211544053	1.0
Streptococcus_gordonii	0.308380126953125	0.513215442130547	1.0
Coprobacillus_cateniformis	0.0550079345703125	0.782435129552926	1.0
Christensenella_minuta	1.82331848144531	0.11186627286101	1.0
Hungatella_hathewayi	0.0617218017578125	0.769893467110863	1.0
Ruminococcaceae_bacterium_D16	0.0360565185546875	0.823089466804988	1.0
Turicibacter_sanguinis	7.61940002441406	0.0011539056950229	1.0
Clostridium_disporicum	0.959762573242188	0.248713896238322	1.0
Streptococcus_sp_A12	0.139442443847656	0.660177316047857	1.0
Clostridium_clostridioforme	10.4653472900391	0.0001395617408869	0.242279182179771
Weissella_cibaria	1.35680389404297	0.170228531671438	1.0
Streptococcus_australis	0.139442443847656	0.660177316047857	1.0
Clostridium_innocuum	0.485122680664062	0.412173411758157	1.0
Megasphaera_elsdenii	3.2266845703125	0.0344317683228599	1.0
Streptococcus_oralis	1.25502777099609	0.187159364406762	1.0
Blautia_hansenii	1.82331848144531	0.11186627286101	1.0
Clostridiales_bacterium_1_7_47FAA	1.25502777099609	0.187159364406762	1.0
Streptococcus_infantis	1.31524658203125	0.176918723981331	1.0
Fretibacterium_fastidiosum	0.0	0.999920211544053	1.0
Streptococcus_agalactiae	0.0	0.999920211544053	1.0
Romboutsia_ilealis	0.0	0.999920211544053	1.0
Veillonella_infantium	1.74446105957031	0.119922215153034	1.0
Prevotella_sp_oral_taxon_473	0.0	0.999920211544053	1.0
Parasutterella_excrementihominis	4.98432922363281	0.0085727096403813	1.0
Porphyromonas_asaccharolytica	0.10418701171875	0.703912338918683	1.0
Coprococcus_eutactus	2.39048004150391	0.0686959038294832	1.0
Prevotella_sp_CAG_279	0.0	0.999920211544053	1.0
Lachnospira_pectinoschiza	0.766189575195312	0.30272207973311	1.0
Prevotella_sp_CAG_5226	0.0	0.999920211544053	1.0
Fusobacterium_sp_oral_taxon_370	0.0	0.999920211544053	1.0
Mitsuokella_multacida	1.35680389404297	0.170228531671438	1.0
Anaerococcus_vaginalis	0.0	0.999920211544053	1.0
Bacteroides_salyersiae	0.751335144042969	0.307456223779973	1.0
Bacteroides_eggerthii	0.86669921875	0.273022034776169	1.0
Lactobacillus_rogosae	1.64096069335938	0.131487459675969	1.0
Actinomyces_sp_oral_taxon_181	0.216400146484375	0.58388599241409	1.0
Bifidobacterium_dentium	0.0	0.999920211544053	1.0
Alloscardovia_omnicolens	0.532218933105469	0.39036264124981	1.0
Mogibacterium_diversum	0.532218933105469	0.39036264124981	1.0
Streptococcus_vestibularis	0.308380126953125	0.513215442130547	1.0
Aeriscardovia_aeriphila	0.0	0.999920211544053	1.0
Bacteroides_galacturonicus	2.68653869628906	0.053625027249406	1.0
Actinomyces_odontolyticus	0.694084167480469	0.326631962362488	1.0
Actinomyces_sp_HMSC035G02	1.35680389404297	0.170228531671438	1.0
Sellimonas_intestinalis	1.64096069335938	0.131487459675969	1.0
Actinomyces_sp_S6_Spd3	0.532218933105469	0.39036264124981	1.0
Olsenella_profusa	0.0	0.999920211544053	1.0
Streptococcus_sp_HPH0090	0.0	0.999920211544053	1.0
Bacteroides_coprophilus	0.07086181640625	0.753957664808871	1.0
Fusobacterium_periodonticum	0.0	0.999920211544053	1.0
Paraprevotella_clara	1.82331848144531	0.11186627286101	1.0
Gemella_asaccharolytica	0.0	0.999920211544053	1.0
Actinomyces_sp_oral_taxon_448	0.0	0.999920211544053	1.0
Clostridium_scindens	2.19457244873047	0.0811197357202583	1.0
Prevotella_timonensis	0.959762573242188	0.248713896238322	1.0
Prevotella_sp_CAG_1031	1.9180908203125	0.102962958209743	1.0
Eubacterium_sp_CAG_251	2.88739776611328	0.0454251942564677	1.0
Peptostreptococcus_anaerobius	0.0	0.999920211544053	1.0
Peptoniphilus_harei	0.0	0.999920211544053	1.0
Streptococcus_pasteurianus	0.0	0.999920211544053	1.0
Holdemanella_biformis	2.77889251708984	0.049675956825718	1.0
Blautia_producta	6.30759429931641	0.0031059132506269	1.0
Slackia_exigua	0.0	0.999920211544053	1.0
Coprobacter_fastidiosus	1.41060638427734	0.161993721874113	1.0
Bacteroides_finegoldii	1.94859313964844	0.100264970962648	1.0
Candidatus_Stoquefichus_sp_KLE1796	1.57438659667969	0.139581819951237	1.0
Clostridium_lavalense	2.99745941162109	0.0415029240900594	1.0
Cloacibacillus_evryensis	2.81781005859375	0.0481049901206651	1.0
Clostridium_methylpentosum	2.26728057861328	0.0762479022211077	1.0
Prevotella_stercorea	0.308380126953125	0.513215442130547	1.0
Blautia_coccoides	0.0	0.999920211544053	1.0
Actinomyces_graevenitzii	0.694084167480469	0.326631962362488	1.0
