Feature	IG	p_value	adjusted_p_value
Akkermansia_muciniphila	4.57035827636719	0.0118320604101506	1.0
Escherichia_coli	0.3668212890625	0.475779248405049	1.0
Faecalibacterium_prausnitzii	1.3011474609375	0.179256979261439	1.0
Bacteroides_vulgatus	0.3670654296875	0.475632451337339	1.0
Anaerostipes_hadrus	4.34884643554688	0.0140744474581696	1.0
Alistipes_putredinis	1.84077453613281	0.110164817123397	1.0
Collinsella_aerofaciens	5.95298767089844	0.0040693824706013	1.0
Phascolarctobacterium_succinatutens	1.911865234375	0.103523323254007	1.0
Clostridium_sp_CAG_413	1.2723388671875	0.184146741457205	1.0
Desulfovibrio_piger	1.91938781738281	0.102846633830227	1.0
Coprococcus_comes	12.9241485595703	2.30790227097708e-05	0.0397189980835155
Eubacterium_rectale	0.123291015625	0.679297556645532	1.0
Bacteroides_caccae	0.078826904296875	0.740968432276928	1.0
Parvimonas_micra	13.7366943359375	1.27798906123154e-05	0.0220708710874687
Barnesiella_intestinihominis	1.57139587402344	0.139958330670518	1.0
Eubacterium_hallii	8.3643798828125	0.0006611185788489	1.0
Bifidobacterium_pseudolongum	1.52587890625e-05	0.99633033606759	1.0
Eubacterium_eligens	2.64004516601562	0.0557376564709829	1.0
Firmicutes_bacterium_CAG_83	0.57257080078125	0.372968107551233	1.0
Dorea_longicatena	8.71818542480469	0.0005080262870674	0.860088504005169
Oscillibacter_sp_57_20	0.0782623291015625	0.741864535097977	1.0
Clostridium_sp_CAG_510	0.0017852783203125	0.960322742666013	1.0
Prevotella_intermedia	0.120193481445312	0.683130170206311	1.0
Paraprevotella_xylaniphila	0.3880615234375	0.46327628234664	1.0
Roseburia_sp_CAG_471	1.05557250976562	0.226400356026792	1.0
Clostridium_leptum	0.005035400390625	0.933414485369348	1.0
Firmicutes_bacterium_CAG_110	8.59896850585938	0.0005551357072939	0.9392896167413
Dorea_formicigenerans	31.4104766845703	4.1449791112604897e-11	7.20397369537074e-08
Clostridium_sp_CAG_242	11.9191436767578	4.80523090121889e-05	0.0824577622649162
Fusicatenibacter_saccharivorans	0.12713623046875	0.67461746921149	1.0
Blautia_wexlerae	3.55992126464844	0.0263165585275818	1.0
Slackia_isoflavoniconvertens	1.74794006347656	0.119553588148357	1.0
Blautia_obeum	12.18017578125	3.97077227908027e-05	0.068217867754599
Gemmiger_formicilis	0.0358734130859375	0.82353182401872	1.0
Parabacteroides_distasonis	6.64984130859375	0.0023956376219178	1.0
Prevotella_copri	0.0162506103515625	0.880690662190387	1.0
Bacteroides_fragilis	0.0406494140625	0.812357446964948	1.0
Peptostreptococcus_stomatis	17.6740570068359	7.42541065459649e-07	0.0012868236664415
Eubacterium_ramulus	0.039825439453125	0.814233865699269	1.0
Odoribacter_splanchnicus	10.5843353271484	0.000127864536625	0.218520493092273
Filifactor_alocis	1.52587890625e-05	0.99633033606759	1.0
Gemella_morbillorum	10.2053527832031	0.0001690105079031	0.288162915974786
Klebsiella_pneumoniae	1.21226501464844	0.194850569126255	1.0
Eubacterium_siraeum	2.64002990722656	0.0557383641271965	1.0
Bacteroides_uniformis	0.38006591796875	0.467920166036521	1.0
Prevotella_sp_CAG_891	0.0160064697265625	0.881583614572583	1.0
Proteus_mirabilis	1.52587890625e-05	0.99633033606759	1.0
Agathobaculum_butyriciproducens	0.066375732421875	0.76162932382445	1.0
Dialister_pneumosintes	11.7860412597656	5.29648441926732e-05	0.0908347077904346
Acidaminococcus_intestini	9.58273315429688	0.0002676109698075	0.454403426733192
Solobacterium_moorei	5.74504089355469	0.0047708468955821	1.0
Parabacteroides_merdae	0.085113525390625	0.731222176264029	1.0
Coprococcus_catus	0.078826904296875	0.740968432276928	1.0
Butyricimonas_virosa	4.13160705566406	0.0167000670138333	1.0
Bacteroides_stercoris	3.4833984375	0.0279846045210558	1.0
Adlercreutzia_equolifaciens	6.90573120117188	0.00197419385454	1.0
Alistipes_finegoldii	3.68228149414062	0.0238607465125209	1.0
Roseburia_hominis	0.089874267578125	0.724106291098211	1.0
Bacteroides_xylanisolvens	3.10650634765625	0.0379662796607282	1.0
Firmicutes_bacterium_CAG_95	13.5502166748047	1.46344888723533e-05	0.0252298588159371
Bacteroides_thetaiotaomicron	1.14395141601562	0.207919569453603	1.0
Kluyvera_georgiana	1.52587890625e-05	0.99633033606759	1.0
Actinomyces_cardiffensis	1.52587890625e-05	0.99633033606759	1.0
Oxalobacter_formigenes	2.26213073730469	0.0765823912451941	1.0
Oscillibacter_sp_CAG_241	10.8760681152344	0.0001031896220311	0.176660632917384
Olsenella_scatoligenes	2.70310974121094	0.0528927024796548	1.0
Ruthenibacterium_lactatiformans	0.411773681640625	0.449925501119504	1.0
Roseburia_inulinivorans	1.0010986328125	0.238774036307798	1.0
Bifidobacterium_adolescentis	5.02362060546875	0.0083155817914925	1.0
Catenibacterium_mitsuokai	0.16107177734375	0.636542269678438	1.0
Ruminococcus_torques	5.01248168945312	0.0083876644378472	1.0
Monoglobus_pectinilyticus	0.0692901611328125	0.756614244126017	1.0
