Feature	IG	p_value	adjusted_p_value
Akkermansia_muciniphila	0.0009765625	0.970649207722208	1.0
Escherichia_coli	0.56494140625	0.376171841307867	1.0
Faecalibacterium_prausnitzii	4.02197265625	0.0182120285066316	1.0
Bacteroides_vulgatus	0.00360107421875	0.943672224230547	1.0
Anaerostipes_hadrus	2.23077392578125	0.0786534300344779	1.0
Alistipes_putredinis	0.025390625	0.851179528038915	1.0
Collinsella_aerofaciens	1.55441284179688	0.142118123821139	1.0
Phascolarctobacterium_succinatutens	0.927093505859375	0.256929883310798	1.0
Clostridium_sp_CAG_413	3.37857055664062	0.030450214340879	1.0
Desulfovibrio_piger	0.267669677734375	0.542422166534973	1.0
Coprococcus_comes	0.001007080078125	0.970194339664738	1.0
Eubacterium_rectale	2.75729370117188	0.0505711264348424	1.0
Bacteroides_caccae	3.217041015625	0.0347022546835594	1.0
Parvimonas_micra	0.597381591796875	0.362808968695721	1.0
Barnesiella_intestinihominis	0.13238525390625	0.668361308677536	1.0
Eubacterium_hallii	0.23004150390625	0.572266299701367	1.0
Bifidobacterium_pseudolongum	0.942901611328125	0.252913275077891	1.0
Eubacterium_eligens	1.0301513671875	0.232075909021652	1.0
Firmicutes_bacterium_CAG_83	2.5020751953125	0.062543742881734	1.0
Dorea_longicatena	0.02520751953125	0.851710867119632	1.0
Oscillibacter_sp_57_20	0.00115966796875	0.968017068479537	1.0
Clostridium_sp_CAG_510	4.46163940429688	0.0128827106420331	1.0
Prevotella_intermedia	0.0	0.999920211544053	1.0
Paraprevotella_xylaniphila	0.3790283203125	0.468528271640015	1.0
Roseburia_sp_CAG_471	0.247802734375	0.557800105540093	1.0
Clostridium_leptum	3.56707763671875	0.0261659419364001	1.0
Firmicutes_bacterium_CAG_110	0.247802734375	0.557800105540093	1.0
Dorea_formicigenerans	0.0882568359375	0.726499619594995	1.0
Clostridium_sp_CAG_242	0.170440673828125	0.62690521124817	1.0
Fusicatenibacter_saccharivorans	1.32464599609375	0.175379437992633	1.0
Blautia_wexlerae	1.38058471679688	0.166531036668216	1.0
Slackia_isoflavoniconvertens	1.6287841796875	0.132927837266435	1.0
Blautia_obeum	0.112396240234375	0.693039821741002	1.0
Gemmiger_formicilis	3.516357421875	0.0272530756531415	1.0
Parabacteroides_distasonis	4.14596557617188	0.0165118691287764	1.0
Prevotella_copri	0.2843017578125	0.530138575062486	1.0
Bacteroides_fragilis	2.83999633789062	0.0472329513259447	1.0
Peptostreptococcus_stomatis	1.09130859375	0.21870091813712	1.0
Eubacterium_ramulus	0.002105712890625	0.956912021972935	1.0
Odoribacter_splanchnicus	0.176666259765625	0.620681102323512	1.0
Filifactor_alocis	0.0	0.999920211544053	1.0
Gemella_morbillorum	0.004364013671875	0.93800265121554	1.0
Klebsiella_pneumoniae	0.67962646484375	0.331722363944889	1.0
Eubacterium_siraeum	0.6151123046875	0.355782104822751	1.0
Bacteroides_uniformis	0.001007080078125	0.970194339664738	1.0
Prevotella_sp_CAG_891	0.054351806640625	0.783704108320241	1.0
Proteus_mirabilis	1.442626953125	0.157309002863315	1.0
Agathobaculum_butyriciproducens	7.170166015625	0.0016172899990928	1.0
Dialister_pneumosintes	0.001007080078125	0.970194339664738	1.0
Acidaminococcus_intestini	2.3248291015625	0.0726149902030364	1.0
Solobacterium_moorei	0.208770751953125	0.590593913217487	1.0
Parabacteroides_merdae	0.49688720703125	0.406561967880097	1.0
Coprococcus_catus	0.340362548828125	0.492140667822267	1.0
Butyricimonas_virosa	1.88067626953125	0.106381392643186	1.0
Bacteroides_stercoris	2.15548706054688	0.0838764826466797	1.0
Adlercreutzia_equolifaciens	0.635284423828125	0.348012431248707	1.0
Alistipes_finegoldii	0.0382080078125	0.817977706013952	1.0
Roseburia_hominis	2.5716552734375	0.059007209875782	1.0
Bacteroides_xylanisolvens	1.08526611328125	0.219980521219502	1.0
Firmicutes_bacterium_CAG_95	0.003692626953125	0.942961893014965	1.0
Bacteroides_thetaiotaomicron	1.18096923828125	0.200714061086198	1.0
Kluyvera_georgiana	2.64181518554688	0.0556556329813393	1.0
Actinomyces_cardiffensis	0.593719482421875	0.364284104932321	1.0
Oxalobacter_formigenes	0.66290283203125	0.33774333885501	1.0
Oscillibacter_sp_CAG_241	0.111175537109375	0.694626925249324	1.0
Olsenella_scatoligenes	2.88037109375	0.0456885019683284	1.0
Ruthenibacterium_lactatiformans	7.07595825195312	0.0017362582066957	1.0
Roseburia_inulinivorans	2.7982177734375	0.0488892004440318	1.0
Bifidobacterium_adolescentis	0.001434326171875	0.964432950009529	1.0
Catenibacterium_mitsuokai	0.801361083984375	0.291881537566944	1.0
Ruminococcus_torques	3.62881469726562	0.0249031927066342	1.0
Monoglobus_pectinilyticus	3.60110473632812	0.0254619469137009	1.0
