Feature	IG	p_value	adjusted_p_value
Akkermansia_muciniphila	0.0188751220703125	0.871494420952481	1.0
Escherichia_coli	0.0517578125	0.788803371367029	1.0
Faecalibacterium_prausnitzii	7.796875	0.001010207327399	1.0
Bacteroides_vulgatus	0.149810791015625	0.648590441448948	1.0
Anaerostipes_hadrus	0.431625366210938	0.439204517538852	1.0
Alistipes_putredinis	6.22860717773438	0.0032982262494189	1.0
Collinsella_aerofaciens	1.9583740234375	0.0994162681480257	1.0
Phascolarctobacterium_succinatutens	0.915542602539062	0.259914645208916	1.0
Clostridium_sp_CAG_413	3.08714294433594	0.0385704082348918	1.0
Desulfovibrio_piger	1.50279235839844	0.148916698020994	1.0
Coprococcus_comes	20.9098663330078	7.28570106577604e-08	0.0001232012050222
Eubacterium_rectale	9.76942443847656	0.0002331223844754	0.372995815160787
Bacteroides_caccae	0.2344970703125	0.568569456438414	1.0
Parvimonas_micra	0.061248779296875	0.77075213629403	1.0
Barnesiella_intestinihominis	11.2086486816406	8.08424937868184e-05	0.130479784971925
Eubacterium_hallii	12.4300994873047	3.30855786223102e-05	0.0538964075757433
Bifidobacterium_pseudolongum	1.52587890625e-05	0.99633033606759	1.0
Eubacterium_eligens	10.7448272705078	0.0001136341223991	0.183064571184962
Firmicutes_bacterium_CAG_83	0.229171752929688	0.572993446788661	1.0
Dorea_longicatena	7.64967346191406	0.0011280060798674	1.0
Oscillibacter_sp_57_20	17.8877105712891	6.36756370507582e-07	0.0010684771897117
Clostridium_sp_CAG_510	3.08714294433594	0.0385704082348918	1.0
Prevotella_intermedia	11.4467315673828	6.78980851018417e-05	0.110334388290493
Paraprevotella_xylaniphila	0.1268310546875	0.674985842534541	1.0
Roseburia_sp_CAG_471	4.55563354492188	0.0119690426049042	1.0
Clostridium_leptum	9.00717163085938	0.0004098834264071	0.652124531413845
Firmicutes_bacterium_CAG_110	26.8470611572266	1.05638044558648e-09	1.80324142061612e-06
Dorea_formicigenerans	0.496826171875	0.406590790504176	1.0
Clostridium_sp_CAG_242	6.05867004394531	0.0037540680276615	1.0
Fusicatenibacter_saccharivorans	10.6856842041016	0.0001186826169517	0.191079013292361
Blautia_wexlerae	2.62750244140625	0.0563225784655724	1.0
Slackia_isoflavoniconvertens	0.229171752929688	0.572993446788661	1.0
Blautia_obeum	8.27676391601562	0.0007057542999192	1.0
Gemmiger_formicilis	6.7880859375	0.002157716559835	1.0
Parabacteroides_distasonis	6.41853332519531	0.0028548684029954	1.0
Prevotella_copri	0.0069732666015625	0.921677479590397	1.0
Bacteroides_fragilis	3.42198181152344	0.0294027880744886	1.0
Peptostreptococcus_stomatis	10.3746643066406	0.000149195099594	0.239756525047696
Eubacterium_ramulus	9.90228271484375	0.0002113396772077	0.338354823209578
Odoribacter_splanchnicus	8.6451416015625	0.0005363880838507	0.848565948651865
Filifactor_alocis	1.52587890625e-05	0.99633033606759	1.0
Gemella_morbillorum	11.4467315673828	6.78980851018417e-05	0.110334388290493
Klebsiella_pneumoniae	2.2576904296875	0.0768720620224241	1.0
Eubacterium_siraeum	4.77740478515625	0.010067637806633	1.0
Bacteroides_uniformis	13.2030944824219	1.88373102434321e-05	0.030836334464537
Prevotella_sp_CAG_891	4.97821044921875	0.008613477790459	1.0
Proteus_mirabilis	0.153915405273438	0.644137160228368	1.0
Agathobaculum_butyriciproducens	0.0558929443359375	0.780736319756973	1.0
Dialister_pneumosintes	27.7565307617188	5.53539074808534e-10	9.46551817922592e-07
Acidaminococcus_intestini	0.513717651367188	0.398726389713156	1.0
Solobacterium_moorei	2.80009460449219	0.0488134963291738	1.0
Parabacteroides_merdae	6.06103515625	0.0037473031306109	1.0
Coprococcus_catus	18.6112823486328	3.78548061222279e-07	0.000637096387037
Butyricimonas_virosa	16.9424438476562	1.25746654294637e-06	0.0020999691267204
Bacteroides_stercoris	5.32821655273438	0.0065716097493336	1.0
Adlercreutzia_equolifaciens	25.1913757324219	3.4306452540953105e-09	5.84238886772431e-06
Alistipes_finegoldii	0.66845703125	0.33572757950766	1.0
Roseburia_hominis	13.4880828857422	1.53106633522623e-05	0.0250788665710057
Bacteroides_xylanisolvens	1.56927490234375	0.140226036913768	1.0
Firmicutes_bacterium_CAG_95	13.9944152832031	1.05986024881868e-05	0.017413503888091
Bacteroides_thetaiotaomicron	8.1197509765625	0.0007935044894952	1.0
Kluyvera_georgiana	2.03459167480469	0.0930649169935694	1.0
Actinomyces_cardiffensis	0.53717041015625	0.388166994576972	1.0
Oxalobacter_formigenes	11.3566436767578	7.25309538883957e-05	0.117210021483647
Oscillibacter_sp_CAG_241	15.5971374511719	3.31982848485568e-06	0.0055075954563755
Olsenella_scatoligenes	2.03459167480469	0.0930649169935694	1.0
Ruthenibacterium_lactatiformans	0.072479248046875	0.751257278938026	1.0
Roseburia_inulinivorans	6.02000427246094	0.0038664417732893	1.0
Bifidobacterium_adolescentis	8.85939025878906	0.0004574159309312	0.725919082387832
Catenibacterium_mitsuokai	0.427749633789062	0.441266419763721	1.0
Ruminococcus_torques	8.08192443847656	0.0008162444253736	1.0
Monoglobus_pectinilyticus	0.66845703125	0.33572757950766	1.0
Clostridium_sp_CAG_58	9.24006652832031	0.0003448725482669	0.549381969389267
Bacteroides_massiliensis	6.70956420898438	0.0022897493121263	1.0
Megamonas_funiformis	1.31887817382812	0.176322160437451	1.0
Alistipes_shahii	13.1047668457031	2.02348107091788e-05	0.0330839155095074
Klebsiella_variicola	3.84884643554688	0.0208937378198293	1.0
Bilophila_wadsworthia	10.39794921875	0.00014665940245	0.235828319139744
Ruminococcus_sp_CAG_403	0.000762939453125	0.974056039394861	1.0
Asaccharobacter_celatus	24.4371490478516	5.8706181551756906e-09	9.98005086379868e-06
Veillonella_parvula	48.8464965820312	1.88861138283229e-16	3.2691863036827e-13
Parabacteroides_goldsteinii	12.9636840820312	2.24239332907518e-05	0.0366407069970884
Firmicutes_bacterium_CAG_238	9.95852661132812	0.0002027473267611	0.324801217471297
Bacteroides_intestinalis	13.9177856445312	1.12049259924167e-05	0.0183984884795483
Streptococcus_sanguinis	24.8983459472656	4.22667080131107e-09	7.18956703303013e-06
Lawsonibacter_asaccharolyticus	18.3018188476562	4.72801620068675e-07	0.0007947795233354
Ruminococcus_bicirculans	2.95091247558594	0.0431163794376686	1.0
Collinsella_stercoris	1.427001953125	0.159575439732976	1.0
Bacteroides_ovatus	7.99722290039062	0.0008695821919034	1.0
Streptococcus_salivarius	30.3824462890625	8.5884057371453e-11	1.47291158392042e-07
Methanobrevibacter_smithii	0.1749267578125	0.622406301096675	1.0
Citrobacter_amalonaticus	0.229171752929688	0.572993446788661	1.0
Ruminococcaceae_bacterium_D5	3.32867431640625	0.0317023216367693	1.0
Gordonibacter_pamelaeae	1.1876220703125	0.199450468552302	1.0
Holdemania_filiformis	4.04856872558594	0.0178327219643088	1.0
Klebsiella_quasipneumoniae	6.08078002929688	0.0036913087582689	1.0
Granulicatella_adiacens	1.36453247070312	0.169016648459581	1.0
Eubacterium_sp_CAG_180	3.8231201171875	0.0213257933624654	1.0
Enterococcus_avium	1.36453247070312	0.169016648459581	1.0
Gemella_sanguinis	28.4094696044922	3.48157972567124e-10	5.9569829106235e-07
Sanguibacteroides_justesenii	4.06027221679688	0.0176684027365219	1.0
Cloacibacillus_porcorum	10.8036193847656	0.0001088297798714	0.175433605152793
Erysipelothrix_larvae	0.119537353515625	0.683949383021167	1.0
[Collinsella]_massiliensis	2.65524291992188	0.0550375393822217	1.0
Bulleidia_extructa	0.53717041015625	0.388166994576972	1.0
Bacteroides_cellulosilyticus	6.65365600585938	0.0023887280006096	1.0
Ruminococcus_bromii	6.70429992675781	0.0022988889202426	1.0
