Feature	IG	p_value	adjusted_p_value
Akkermansia_muciniphila	2.14767456054688	0.0844395491560688	1.0
Escherichia_coli	4.74574279785156	0.0103189051937685	1.0
Faecalibacterium_prausnitzii	0.11810302734375	0.685749390735795	1.0
Bacteroides_vulgatus	15.0529403686523	4.92096177836404e-06	0.0085083429147914
Anaerostipes_hadrus	0.736282348632812	0.312352060424258	1.0
Alistipes_putredinis	12.8188552856445	2.49190477705389e-05	0.0430601145474913
Collinsella_aerofaciens	1.50904846191406	0.148073529476	1.0
Phascolarctobacterium_succinatutens	0.196014404296875	0.602171180188875	1.0
Clostridium_sp_CAG_413	1.65982055664062	0.129290746041129	1.0
Desulfovibrio_piger	6.14691162109375	0.0035098879369234	1.0
Coprococcus_comes	0.412567138671875	0.449489239286148	1.0
Eubacterium_rectale	0.00152587890625	0.963316164748532	1.0
Bacteroides_caccae	8.08535766601562	0.0008141535961405	1.0
Parvimonas_micra	0.539840698242188	0.386990215180798	1.0
Barnesiella_intestinihominis	6.57206726074219	0.0025410196832596	1.0
Eubacterium_hallii	1.01495361328125	0.235550976677094	1.0
Bifidobacterium_pseudolongum	0.539840698242188	0.386990215180798	1.0
Eubacterium_eligens	12.2109832763672	3.88243032065337e-05	0.0670495716376837
Firmicutes_bacterium_CAG_83	0.337493896484375	0.493970602691526	1.0
Dorea_longicatena	4.58836364746094	0.0116667438584278	1.0
Oscillibacter_sp_57_20	0.332351684570312	0.497279612292119	1.0
Clostridium_sp_CAG_510	4.09748840332031	0.0171561889169597	1.0
Prevotella_intermedia	0.0	0.999920211544053	1.0
Paraprevotella_xylaniphila	8.15489196777344	0.0007729528671864	1.0
Roseburia_sp_CAG_471	3.08421325683594	0.0386626870989183	1.0
Clostridium_leptum	0.539840698242188	0.386990215180798	1.0
Firmicutes_bacterium_CAG_110	0.498397827148438	0.405849559209151	1.0
Dorea_formicigenerans	2.47398376464844	0.0640349053240586	1.0
Clostridium_sp_CAG_242	0.0	0.999920211544053	1.0
Fusicatenibacter_saccharivorans	9.25564575195312	0.0003409144783898	0.58466833043857
Blautia_wexlerae	1.31239318847656	0.177389086354451	1.0
Slackia_isoflavoniconvertens	0.801849365234375	0.291734570385311	1.0
Blautia_obeum	0.0652008056640625	0.763685094754303	1.0
Gemmiger_formicilis	0.0052490234375	0.932020088201706	1.0
Parabacteroides_distasonis	10.2541046142578	0.0001630475002327	0.280441700400272
Prevotella_copri	0.645904541015625	0.344014417610174	1.0
Bacteroides_fragilis	3.222900390625	0.0345376448263685	1.0
Peptostreptococcus_stomatis	0.0	0.999920211544053	1.0
Eubacterium_ramulus	2.51277160644531	0.061985717179433	1.0
Odoribacter_splanchnicus	3.15283203125	0.0365608266068375	1.0
Filifactor_alocis	0.0	0.999920211544053	1.0
Gemella_morbillorum	0.0	0.999920211544053	1.0
Klebsiella_pneumoniae	0.00152587890625	0.963316164748532	1.0
Eubacterium_siraeum	1.31658935546875	0.176697875003433	1.0
Bacteroides_uniformis	28.3592071533203	3.60806149556228e-10	6.27081087928723e-07
Prevotella_sp_CAG_891	0.539840698242188	0.386990215180798	1.0
Proteus_mirabilis	0.514633178710938	0.398306465121964	1.0
Agathobaculum_butyriciproducens	0.012542724609375	0.895092481892735	1.0
Dialister_pneumosintes	0.232559204101562	0.570171573228203	1.0
Acidaminococcus_intestini	0.0	0.999920211544053	1.0
Solobacterium_moorei	0.0002593994140625	0.98487044143369	1.0
Parabacteroides_merdae	18.9071502685547	3.06093757905423e-07	0.00053046048245
Coprococcus_catus	0.513290405273438	0.3989225738407	1.0
Butyricimonas_virosa	6.87202453613281	0.0020250956068128	1.0
Bacteroides_stercoris	0.723037719726562	0.316744206389619	1.0
Adlercreutzia_equolifaciens	3.69993591308594	0.0235265649793869	1.0
Alistipes_finegoldii	3.92033386230469	0.0197400661503329	1.0
Roseburia_hominis	5.06443786621094	0.0080568151616389	1.0
Bacteroides_xylanisolvens	17.958137512207	6.05309224136263e-07	0.001048395576204
Firmicutes_bacterium_CAG_95	1.30398559570312	0.178783436212121	1.0
Bacteroides_thetaiotaomicron	23.5971298217773	1.06844143992584e-08	1.85374589827134e-05
Kluyvera_georgiana	0.514633178710938	0.398306465121964	1.0
Actinomyces_cardiffensis	0.0	0.999920211544053	1.0
Oxalobacter_formigenes	0.539840698242188	0.386990215180798	1.0
Oscillibacter_sp_CAG_241	1.31336975097656	0.177227944484155	1.0
Olsenella_scatoligenes	0.196014404296875	0.602171180188875	1.0
Ruthenibacterium_lactatiformans	9.25564575195312	0.0003409144783898	0.58466833043857
Roseburia_inulinivorans	0.72796630859375	0.31510042346803	1.0
Bifidobacterium_adolescentis	6.04849243164062	0.003783320941352	1.0
Catenibacterium_mitsuokai	1.11444091796875	0.213883522746084	1.0
Ruminococcus_torques	8.75010681152344	0.0004961116764774	0.84934319012933
Monoglobus_pectinilyticus	0.539840698242188	0.386990215180798	1.0
Clostridium_sp_CAG_58	0.539840698242188	0.386990215180798	1.0
Bacteroides_massiliensis	2.95936584472656	0.0428185317952483	1.0
Megamonas_funiformis	2.86161804199219	0.0463991315002896	1.0
Alistipes_shahii	15.2190628051758	4.36360355611732e-06	0.0075490341520829
Klebsiella_variicola	0.0619964599609375	0.769396523293928	1.0
Bilophila_wadsworthia	1.65280151367188	0.130103476411618	1.0
Ruminococcus_sp_CAG_403	5.84730529785156	0.0044116873399692	1.0
Asaccharobacter_celatus	2.0745849609375	0.0899099227025711	1.0
Veillonella_parvula	4.48594665527344	0.0126397717800856	1.0
Parabacteroides_goldsteinii	3.18826293945312	0.0355227231735898	1.0
Firmicutes_bacterium_CAG_238	1.44223022460938	0.157366094143655	1.0
Bacteroides_intestinalis	5.38926696777344	0.0062696869699896	1.0
Streptococcus_sanguinis	1.3743896484375	0.167485317303313	1.0
Lawsonibacter_asaccharolyticus	0.723037719726562	0.316744206389619	1.0
Ruminococcus_bicirculans	0.999649047851562	0.239114333092681	1.0
Collinsella_stercoris	1.6866455078125	0.126236385323922	1.0
Bacteroides_ovatus	15.4834442138672	3.60419123618569e-06	0.0062388550298374
Streptococcus_salivarius	3.18826293945312	0.0355227231735898	1.0
Methanobrevibacter_smithii	0.19293212890625	0.60504024987258	1.0
Citrobacter_amalonaticus	0.514633178710938	0.398306465121964	1.0
Ruminococcaceae_bacterium_D5	0.0	0.999920211544053	1.0
Gordonibacter_pamelaeae	4.58042907714844	0.0117393009842348	1.0
Holdemania_filiformis	2.29264831542969	0.0746229948538765	1.0
Klebsiella_quasipneumoniae	0.647018432617188	0.34359869353879	1.0
Granulicatella_adiacens	0.0	0.999920211544053	1.0
Eubacterium_sp_CAG_180	0.443099975585938	0.433185718708514	1.0
Enterococcus_avium	0.539840698242188	0.386990215180798	1.0
Gemella_sanguinis	0.0002593994140625	0.98487044143369	1.0
Sanguibacteroides_justesenii	0.539840698242188	0.386990215180798	1.0
Cloacibacillus_porcorum	0.0	0.999920211544053	1.0
Erysipelothrix_larvae	0.0	0.999920211544053	1.0
[Collinsella]_massiliensis	0.0	0.999920211544053	1.0
Bulleidia_extructa	0.0	0.999920211544053	1.0
Bacteroides_cellulosilyticus	7.43453979492188	0.0013256528921058	1.0
Ruminococcus_bromii	0.176254272460938	0.62108874384808	1.0
Streptococcus_anginosus_group	1.00143432617188	0.2386953146075	1.0
Anaerofustis_stercorihominis	0.0	0.999920211544053	1.0
Clostridium_sp_CAG_299	0.0002593994140625	0.98487044143369	1.0
Bacteroides_plebeius	2.86161804199219	0.0463991315002896	1.0
Firmicutes_bacterium_CAG_145	0.0	0.999920211544053	1.0
Clostridium_symbiosum	3.69993591308594	0.0235265649793869	1.0
Roseburia_intestinalis	0.176254272460938	0.62108874384808	1.0
Collinsella_intestinalis	0.0002593994140625	0.98487044143369	1.0
Harryflintia_acetispora	0.0	0.999920211544053	1.0
Clostridium_citroniae	2.0745849609375	0.0899099227025711	1.0
Firmicutes_bacterium_CAG_170	0.091949462890625	0.721070813774594	1.0
Morganella_morganii	0.514633178710938	0.398306465121964	1.0
Actinomyces_sp_ICM47	0.0	0.999920211544053	1.0
Clostridium_asparagiforme	0.514633178710938	0.398306465121964	1.0
Anaeromassilibacillus_sp_An250	0.0	0.999920211544053	1.0
Parabacteroides_gordonii	1.3743896484375	0.167485317303313	1.0
Enterorhabdus_caecimuris	0.539840698242188	0.386990215180798	1.0
Roseburia_sp_CAG_182	1.31239318847656	0.177389086354451	1.0
Bifidobacterium_longum	2.24205017089844	0.0779018046400674	1.0
Bacteroides_dorei	11.2628555297852	7.76924135906606e-05	0.133941721030299
Eubacterium_sulci	0.539840698242188	0.386990215180798	1.0
Intestinimonas_butyriciproducens	1.35336303710938	0.170771283027177	1.0
Eubacterium_limosum	0.0	0.999920211544053	1.0
Proteus_hauseri	0.0	0.999920211544053	1.0
Megamonas_hypermegale	0.723037719726562	0.316744206389619	1.0
Bacteroides_coprocola	2.29264831542969	0.0746229948538765	1.0
Faecalitalea_cylindroides	0.0	0.999920211544053	1.0
Enorma_massiliensis	1.3743896484375	0.167485317303313	1.0
Bacteroides_nordii	2.0745849609375	0.0899099227025711	1.0
Bifidobacterium_pseudocatenulatum	3.8177490234375	0.0214171582058539	1.0
Sharpea_azabuensis	0.539840698242188	0.386990215180798	1.0
Gemella_haemolysans	0.0	0.999920211544053	1.0
Streptococcus_parasanguinis	8.90205383300781	0.0004431491536478	0.759114500198843
