Feature1	Feature2	IG
ANAEROFRUCAT-PWY:_homolactic_fermentation	PWY-7237:_myo-,_chiro-_and_scillo-inositol_degradation	4.70977783203125
ARO-PWY:_chorismate_biosynthesis_I	PWY-7539:_6-hydroxymethyl-dihydropterin_diphosphate_biosynthesis_III_(Chlamydia)	8.81707763671875
Absiella_dolichum	Gemmiger_sp_An50	4.340576171875
Acidaminococcus_intestini	Streptococcus_infantis	8.32501220703125
Actinobaculum_sp_oral_taxon_183	Jonquetella_anthropi	2.859619140625
Actinobaculum_sp_oral_taxon_183	Prevotella_histicola	5.75543212890625
Actinomyces_cardiffensis	Eubacterium_sp_CAG_274	6.77960205078125
Actinomyces_georgiae	Selenomonas_sputigena	1.04168701171875
Actinomyces_graevenitzii	Oribacterium_parvum	8.74407958984375
Actinomyces_hongkongensis	Selenomonas_sputigena	1.04168701171875
Actinomyces_johnsonii	PWY-7117:_C4_photosynthetic_carbon_assimilation_cycle,_PEPCK_type	6.11962890625
Actinomyces_massiliensis	Selenomonas_sputigena	2.2872314453125
Actinomyces_oris	PWY-7383:_anaerobic_energy_metabolism_(invertebrates,_cytosol)	2.34722900390625
Actinomyces_oris	Prevotella_buccae	16.1516723632812
Actinomyces_sp_HMSC035G02	AST-PWY:_L-arginine_degradation_II_(AST_pathway)	1.73504638671875
Actinomyces_sp_HMSC035G02	Cutibacterium_acnes	1.73504638671875
Actinomyces_sp_HMSC035G02	Eubacterium_coprostanoligenes	1.73504638671875
Actinomyces_sp_HMSC035G02	Fusobacterium_gonidiaformans	4.35595703125
Actinomyces_sp_HMSC035G02	GOLPDLCAT-PWY:_superpathway_of_glycerol_degradation_to_1,3-propanediol	1.73504638671875
Actinomyces_sp_HMSC035G02	PWY-5173:_superpathway_of_acetyl-CoA_biosynthesis	1.73504638671875
Actinomyces_sp_HMSC035G02	PWY-5690:_TCA_cycle_II_(plants_and_fungi)	1.73504638671875
Actinomyces_sp_HMSC035G02	PWY-6317:_galactose_degradation_I_(Leloir_pathway)	21.5415649414062
Actinomyces_sp_HMSC035G02	PWY-6527:_stachyose_degradation	8.65716552734375
Actinomyces_sp_HMSC035G02	PWY-6803:_phosphatidylcholine_acyl_editing	1.73504638671875
Actinomyces_sp_HMSC035G02	Peptoniphilus_coxii	2.1905517578125
Actinomyces_sp_HMSC035G02	Selenomonas_sputigena	8.54913330078125
