Feature1	Feature2	IG
Acidaminococcus_intestini	Megamonas_funiformis	6.40554809570312
Acidaminococcus_sp_CAG_542	Lactobacillus_fermentum	4.33004760742188
Actinomyces_cardiffensis	Lactobacillus_rogosae	5.10449981689453
Actinomyces_odontolyticus	PWY-6125:_superpathway_of_guanosine_nucleotides_de_novo_biosynthesis_II	4.83570098876953
Actinomyces_odontolyticus	PWY-6545:_pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_III	4.87771606445312
Actinomyces_odontolyticus	PWY-7208:_superpathway_of_pyrimidine_nucleobases_salvage	4.82622528076172
Actinomyces_odontolyticus	PWY-7228:_superpathway_of_guanosine_nucleotides_de_novo_biosynthesis_I	4.83570098876953
Actinomyces_odontolyticus	PWY-841:_superpathway_of_purine_nucleotides_de_novo_biosynthesis_I	6.01976013183594
Actinomyces_oris	FASYN-INITIAL-PWY:_superpathway_of_fatty_acid_biosynthesis_initiation_(E._coli)	4.89514923095703
Actinomyces_oris	PWY-7388:_octanoyl-[acyl-carrier_protein]_biosynthesis_(mitochondria,_yeast)	4.70280456542969
Actinomyces_sp_HMSC035G02	Dialister_sp_CAG_357	8.37635803222656
Actinomyces_sp_HPA0247	Aggregatibacter_segnis	4.343505859375
Actinomyces_sp_S6_Spd3	PWY-5973:_cis-vaccenate_biosynthesis	6.99088287353516
Actinomyces_sp_S6_Spd3	PWY-6703:_preQ0_biosynthesis	6.45168304443359
Actinomyces_sp_oral_taxon_181	ARGSYN-PWY:_L-arginine_biosynthesis_I_(via_L-ornithine)	4.89430236816406
Actinomyces_sp_oral_taxon_181	HSERMETANA-PWY:_L-methionine_biosynthesis_III	7.19960021972656
Adlercreutzia_equolifaciens	ARO-PWY:_chorismate_biosynthesis_I	7.98857879638672
Adlercreutzia_equolifaciens	HOMOSER-METSYN-PWY:_L-methionine_biosynthesis_I	6.75886535644531
Adlercreutzia_equolifaciens	MET-SAM-PWY:_superpathway_of_S-adenosyl-L-methionine_biosynthesis	6.75886535644531
Adlercreutzia_equolifaciens	METSYN-PWY:_L-homoserine_and_L-methionine_biosynthesis	6.75886535644531
Adlercreutzia_equolifaciens	PHOSLIPSYN-PWY:_superpathway_of_phospholipid_biosynthesis_I_(bacteria)	5.68634033203125
Adlercreutzia_equolifaciens	PWY-5347:_superpathway_of_L-methionine_biosynthesis_(transsulfuration)	6.75886535644531
Adlercreutzia_equolifaciens	PWY-5695:_urate_biosynthesis/inosine_5'-phosphate_degradation	6.45893096923828
Adlercreutzia_equolifaciens	Prevotella_bivia	4.40258026123047
Aeriscardovia_aeriphila	GLYCOGENSYNTH-PWY:_glycogen_biosynthesis_I_(from_ADP-D-Glucose)	7.65450286865234
Aeromonas_veronii	Atopobium_rimae	0.721542358398438
Agathobaculum_butyriciproducens	1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis	5.61764526367188
Agathobaculum_butyriciproducens	PWY-6277:_superpathway_of_5-aminoimidazole_ribonucleotide_biosynthesis	5.77508544921875
Aggregatibacter_segnis	PWY-7219:_adenosine_ribonucleotides_de_novo_biosynthesis	6.38221740722656
Akkermansia_muciniphila	Coprococcus_eutactus	6.80596923828125
Akkermansia_muciniphila	Streptococcus_oralis	6.27145385742188
Alistipes_finegoldii	Bilophila_wadsworthia	6.05421447753906
Alistipes_indistinctus	PWY-7400:_L-arginine_biosynthesis_IV_(archaebacteria)	5.50641632080078
Alistipes_inops	PWY-7237:_myo-,_chiro-_and_scillo-inositol_degradation	5.77016448974609
Alistipes_onderdonkii	Citrobacter_freundii	6.91342163085938
Alistipes_onderdonkii	Flavonifractor_sp_An100	2.88294219970703
Alistipes_putredinis	Clostridium_citroniae	9.52567291259766
Alistipes_putredinis	Roseburia_intestinalis	10.3557891845703
Alistipes_putredinis	Streptococcus_parasanguinis	7.67642974853516
Alistipes_shahii	Proteobacteria_bacterium_CAG_139	10.6853408813477
Alloscardovia_omnicolens	Bifidobacterium_bifidum	4.04942321777344
Anaerofilum_sp_An201	Campylobacter_ureolyticus	1.60578918457031
Anaerofustis_stercorihominis	Coprobacter_fastidiosus	2.90459442138672
