Feature1	Feature2	IG
ARGSYN-PWY:_L-arginine_biosynthesis_I_(via_L-ornithine)	PWY-6305:_putrescine_biosynthesis_IV	4.62846374511719
Abiotrophia_sp_HMSC24B09	THRESYN-PWY:_superpathway_of_L-threonine_biosynthesis	3.87944793701172
Absiella_dolichum	PWY-724:_superpathway_of_L-lysine,_L-threonine_and_L-methionine_biosynthesis_II	4.67057800292969
Acidaminococcus_fermentans	PWY-2942:_L-lysine_biosynthesis_III	11.6362457275391
Acidaminococcus_intestini	PWY-3001:_superpathway_of_L-isoleucine_biosynthesis_I	8.30852508544922
Acidaminococcus_intestini	Roseburia_intestinalis	11.1077575683594
Acidaminococcus_sp_CAG_542	Clostridium_sp_CAG_632	2.43360137939453
Acidaminococcus_sp_CAG_542	Negativicoccus_succinicivorans	2.43360137939453
Acinetobacter_johnsonii	Bacteroides_sp_CAG_927	3.45480346679688
Actinomyces_odontolyticus	Streptococcus_thermophilus	8.93802642822266
Actinomyces_oris	PWY-7220:_adenosine_deoxyribonucleotides_de_novo_biosynthesis_II	8.9754638671875
Actinomyces_sp_HMSC035G02	Bacteroides_faecis_CAG_32	6.11274719238281
Actinomyces_sp_HPA0247	Eubacterium_saphenum	5.66578674316406
Actinomyces_sp_ICM47	Prevotella_sp_CAG_279	10.3660659790039
Actinomyces_sp_oral_taxon_181	Acinetobacter_lwoffii	2.1805419921875
Actinomyces_sp_oral_taxon_181	Bacteroides_coagulans	2.92825317382812
Actinomyces_sp_oral_taxon_181	Clostridium_sp_CAG_590	2.92825317382812
Actinomyces_sp_oral_taxon_181	Klebsiella_quasivariicola	2.1805419921875
Actinomyces_sp_oral_taxon_414	Methanosphaera_stadtmanae	1.28652954101562
Actinomyces_turicensis	PWY-6892:_thiazole_biosynthesis_I_(E._coli)	4.74951171875
Actinomyces_viscosus	TRPSYN-PWY:_L-tryptophan_biosynthesis	7.04366302490234
Adlercreutzia_equolifaciens	Ruminococcus_callidus	3.45904541015625
Aeriscardovia_aeriphila	Lachnoclostridium_sp_An138	8.20013427734375
