cohort	run	feature1	feature2	pair_ig	f1_ig	f2_ig
WirbelJ_2018	0	1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis	HISTSYN-PWY:_L-histidine_biosynthesis	8.57283782958984	5.47853851318359	0.0577392578125
WirbelJ_2018	0	1CMET2-PWY:_N10-formyl-tetrahydrofolate_biosynthesis	HSERMETANA-PWY:_L-methionine_biosynthesis_III	6.14057159423828	5.47853851318359	0.222320556640625
WirbelJ_2018	0	ARO-PWY:_chorismate_biosynthesis_I	PWY-5154:_L-arginine_biosynthesis_III_(via_N-acetyl-L-citrulline)	9.29265594482422	2.08637237548828	0.0138092041015625
WirbelJ_2018	0	Absiella_dolichum	Blautia_sp_N6H1_15	4.99552917480469	1.46356201171875	0.793930053710938
WirbelJ_2018	0	Acidaminococcus_intestini	ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	7.7803955078125	0.936958312988281	2.39830780029297
WirbelJ_2018	0	Actinobaculum_sp_oral_taxon_183	Lactobacillus_sanfranciscensis	2.12039184570312	0.488517761230469	0.793930053710938
WirbelJ_2018	0	Actinomyces_odontolyticus	PWY-6700:_queuosine_biosynthesis	8.72538757324219	2.53782653808594	0.458297729492188
WirbelJ_2018	0	Actinomyces_oris	Actinomyces_sp_oral_taxon_170	3.68555450439453	5.843017578125	0.488517761230469
WirbelJ_2018	0	Actinomyces_oris	Lachnoclostridium_sp_An14	3.68555450439453	5.843017578125	0.488517761230469
WirbelJ_2018	0	Actinomyces_oris	Varibaculum_cambriense	4.35834503173828	5.843017578125	0.0018539428710937
WirbelJ_2018	0	Actinomyces_sp_HMSC035G02	Prevotella_stercorea	4.60145568847656	0.649696350097656	0.05316162109375
WirbelJ_2018	0	Actinomyces_sp_HPA0247	Citrobacter_braakii	1.46921539306641	1.47624969482422	0.488517761230469
WirbelJ_2018	0	Actinomyces_sp_ICM47	Bacteroides_sp_CAG_443	5.27578735351562	0.893341064453125	0.368728637695312
WirbelJ_2018	0	Actinomyces_sp_ICM47	PWY-2942:_L-lysine_biosynthesis_III	8.95130920410156	0.893341064453125	0.824684143066406
WirbelJ_2018	0	Actinomyces_sp_ICM47	PWY-7221:_guanosine_ribonucleotides_de_novo_biosynthesis	11.2192459106445	0.893341064453125	2.90341186523438
WirbelJ_2018	0	Actinomyces_sp_S6_Spd3	Clostridium_sp_CAG_167	7.57391357421875	2.28836822509766	4.28517913818359
WirbelJ_2018	0	Actinomyces_sp_S6_Spd3	Desulfovibrionaceae_bacterium	6.94643402099609	2.28836822509766	2.25628662109375
WirbelJ_2018	0	Actinomyces_sp_S6_Spd3	Klebsiella_michiganensis	4.21095275878906	2.28836822509766	0.004241943359375
WirbelJ_2018	0	Actinomyces_sp_S6_Spd3	Lactobacillus_sanfranciscensis	3.87152099609375	2.28836822509766	0.793930053710938
WirbelJ_2018	0	Adlercreutzia_equolifaciens	Enterorhabdus_caecimuris	7.84640502929688	0.202392578125	1.28548431396484
WirbelJ_2018	0	Aeriscardovia_aeriphila	Cutibacterium_acnes	3.68555450439453	5.843017578125	0.488517761230469
WirbelJ_2018	0	Agathobaculum_butyriciproducens	Oscillibacter_sp_CAG_241	11.0560989379883	2.57115173339844	2.08637237548828
WirbelJ_2018	0	Aggregatibacter_aphrophilus	GLYCOGENSYNTH-PWY:_glycogen_biosynthesis_I_(from_ADP-D-Glucose)	1.54662322998047	0.557510375976562	5.01396179199219
WirbelJ_2018	0	Aggregatibacter_segnis	Bacteroides_sp_CAG_633	2.98557281494141	1.42271423339844	1.13928985595703
WirbelJ_2018	0	Akkermansia_muciniphila	Phascolarctobacterium_sp_CAG_266	7.45583343505859	0.495742797851562	0.458297729492188
WirbelJ_2018	0	Akkermansia_muciniphila	Pseudoflavonifractor_capillosus	5.61457061767578	0.495742797851562	0.0268936157226562
WirbelJ_2018	0	Akkermansia_muciniphila	Roseburia_hominis	8.71489715576172	0.495742797851562	1.5347900390625
WirbelJ_2018	0	Alistipes_finegoldii	Butyricimonas_synergistica	7.79209136962891	3.51904296875	0.581336975097656
WirbelJ_2018	0	Alistipes_finegoldii	Romboutsia_ilealis	6.64276123046875	3.51904296875	0.491897583007812
WirbelJ_2018	0	Alistipes_onderdonkii	Ruminococcus_sp_CAG_330	4.98403167724609	0.135795593261719	0.936958312988281
WirbelJ_2018	0	Alistipes_putredinis	Desulfovibrio_piger	6.56597137451172	0.116287231445312	1.84539794921875
WirbelJ_2018	0	Alistipes_putredinis	PWY-6936:_seleno-amino_acid_biosynthesis	4.65419006347656	0.116287231445312	0.0218658447265625
WirbelJ_2018	0	Alistipes_shahii	Bifidobacterium_animalis	7.89369201660156	0.828514099121094	1.30034637451172
WirbelJ_2018	0	Alistipes_timonensis	CALVIN-PWY:_Calvin-Benson-Bassham_cycle	5.13478088378906	0.167442321777344	1.5213623046875
WirbelJ_2018	0	Allisonella_histaminiformans	CALVIN-PWY:_Calvin-Benson-Bassham_cycle	6.84283447265625	0.0336990356445312	1.5213623046875
WirbelJ_2018	0	Allisonella_histaminiformans	Victivallis_vadensis	9.76918792724609	0.0336990356445312	2.66119384765625
WirbelJ_2018	0	Alloscardovia_omnicolens	ANAGLYCOLYSIS-PWY:_glycolysis_III_(from_glucose)	5.04685211181641	0.197479248046875	2.39830780029297
WirbelJ_2018	0	Anaerofilum_sp_An201	ARGSYNBSUB-PWY:_L-arginine_biosynthesis_II_(acetyl_cycle)	11.8130187988281	0.793930053710938	10.1725616455078
WirbelJ_2018	0	Anaeromassilibacillus_sp_An250	Bacteroides_coprophilus	8.36621856689453	0.259536743164062	0.143028259277344
WirbelJ_2018	0	Anaerostipes_caccae	Corynebacterium_variabile	1.56589508056641	0.557510375976562	0.779792785644531
WirbelJ_2018	0	Anaerostipes_hadrus	Asaccharobacter_celatus	7.563232421875	0.58392333984375	0.77044677734375
WirbelJ_2018	0	Anaerostipes_hadrus	Desulfovibrio_piger	7.73673248291016	0.58392333984375	1.84539794921875
WirbelJ_2018	0	Anaerotignum_lactatifermentans	VALSYN-PWY:_L-valine_biosynthesis	9.65682983398438	3.21796417236328	1.5347900390625
WirbelJ_2018	0	Anaerotruncus_colihominis	Roseburia_sp_CAG_303	5.59282684326172	0.550262451171875	0.574394226074219
WirbelJ_2018	0	Asaccharobacter_celatus	Enterorhabdus_caecimuris	20.8395843505859	0.77044677734375	1.28548431396484
WirbelJ_2018	0	Atopobium_deltae	DTDPRHAMSYN-PWY:_dTDP-L-rhamnose_biosynthesis_I	3.99579620361328	0.793930053710938	2.49322509765625
WirbelJ_2018	0	Atopobium_parvulum	Lactobacillus_ruminis	2.99212646484375	1.74845123291016	2.09783172607422
WirbelJ_2018	0	Atopobium_parvulum	Victivallis_vadensis	6.16644287109375	1.74845123291016	2.66119384765625
WirbelJ_2018	0	Bacteroides_caccae	Acidaminococcus_intestini	7.06124114990234	0.460586547851562	0.936958312988281
WirbelJ_2018	0	Bacteroides_cellulosilyticus	Lactobacillus_delbrueckii	5.08846282958984	0.0218582153320312	0.0119857788085938
WirbelJ_2018	0	Bacteroides_cellulosilyticus	Streptococcus_australis	5.88265991210938	0.0218582153320312	1.32828521728516
WirbelJ_2018	0	Bacteroides_cellulosilyticus	Streptococcus_oralis	13.6554870605469	0.0218582153320312	6.72456359863281
WirbelJ_2018	0	Bacteroides_coprocola	Aeriscardovia_aeriphila	11.2524490356445	1.74845123291016	5.843017578125
WirbelJ_2018	0	Bacteroides_coprocola	Streptococcus_pasteurianus	4.39414215087891	1.74845123291016	0.793930053710938
WirbelJ_2018	0	Bacteroides_coprophilus	PWY-7111:_pyruvate_fermentation_to_isobutanol_(engineered)	5.98000335693359	0.143028259277344	2.46439361572266
WirbelJ_2018	0	Bacteroides_dorei	Streptococcus_mitis	7.38423156738281	0.6234130859375	7.29554748535156
WirbelJ_2018	0	Bacteroides_eggerthii	PWY-4242:_pantothenate_and_coenzyme_A_biosynthesis_III	5.52313232421875	0.0131454467773438	0.832916259765625
WirbelJ_2018	0	Bacteroides_finegoldii	Fusobacterium_sp_CAG_439	4.58011627197266	0.00299072265625	0.151771545410156
WirbelJ_2018	0	Bacteroides_fragilis	PEPTIDOGLYCANSYN-PWY:_peptidoglycan_biosynthesis_I_(meso-diaminopimelate_containing)	8.72324371337891	1.29989624023438	2.05183410644531
WirbelJ_2018	0	Bacteroides_fragilis	PWY-6387:_UDP-N-acetylmuramoyl-pentapeptide_biosynthesis_I_(meso-diaminopimelate_containing)	7.15801239013672	1.29989624023438	1.33009338378906
WirbelJ_2018	0	Bacteroides_fragilis	PWY-7357:_thiamin_formation_from_pyrithiamine_and_oxythiamine_(yeast)	15.7786178588867	1.29989624023438	7.52689361572266
WirbelJ_2018	0	Bacteroides_fragilis	Ruminococcaceae_bacterium_D5	9.29204559326172	1.29989624023438	1.71745300292969
WirbelJ_2018	0	Bacteroides_galacturonicus	Bacteroides_coprophilus	4.561279296875	0.163047790527344	0.143028259277344
WirbelJ_2018	0	Bacteroides_intestinalis	Eubacterium_sp_CAG_274	8.58314514160156	0.14520263671875	1.24278259277344
WirbelJ_2018	0	Bacteroides_massiliensis	Haemophilus_sp_HMSC71H05	5.08783721923828	2.0438232421875	0.0147476196289062
WirbelJ_2018	0	Bacteroides_massiliensis	Roseburia_intestinalis	8.74583435058594	2.0438232421875	5.22511291503906
WirbelJ_2018	0	Bacteroides_nordii	Anaerococcus_vaginalis	6.969482421875	1.46356201171875	5.48388671875
WirbelJ_2018	0	Bacteroides_nordii	Bacteroides_sp_OM05_12	2.65557861328125	1.46356201171875	0.0018539428710937
WirbelJ_2018	0	Bacteroides_nordii	PWY-4041:_&gamma;-glutamyl_cycle	1.89425659179688	1.46356201171875	0.488517761230469
WirbelJ_2018	0	Bacteroides_ovatus	Fusobacterium_nucleatum	10.2968673706055	2.63272094726562	17.1518402099609
WirbelJ_2018	0	Bacteroides_ovatus	PWY-6703:_preQ0_biosynthesis	9.03885650634766	2.63272094726562	1.68365478515625
WirbelJ_2018	0	Bacteroides_plebeius	PWY-724:_superpathway_of_L-lysine,_L-threonine_and_L-methionine_biosynthesis_II	9.85081481933594	3.98651123046875	1.15258026123047
