cohort	disease	rank_in_cohort	base	contributing	total_IG_mean	base_IG_1D_mean	IG_2D_added_mean	ig_gain_pct
HallAB_2017	IBD; control	1	Alistipes_putredinis	Phascolarctobacterium_faecium	98.583137512207	24.8159027099609	73.7672348022461	297.25791426735617
HallAB_2017	IBD; control	2	Alistipes_putredinis	Gordonibacter_pamelaeae	96.9136047363281	24.8159027099609	72.0977020263672	290.53024130944783
HallAB_2017	IBD; control	3	Alistipes_putredinis	Blautia_sp_CAG_257	95.2326202392578	24.8159027099609	70.4167175292969	283.7564216474471
HallAB_2017	IBD; control	4	Alistipes_putredinis	Turicimonas_muris	93.2723388671875	24.8159027099609	68.4564361572266	275.8571266067575
HallAB_2017	IBD; control	5	Alistipes_putredinis	Bacteroides_thetaiotaomicron	92.7048034667969	24.8159027099609	67.8889007568359	273.5701439125398
HallAB_2017	IBD; control	6	Alistipes_putredinis	Clostridium_lavalense	92.04398091634113	48.84169006347656	43.2022908528646	88.45371811810202
HallAB_2017	IBD; control	7	Clostridium_lavalense	Alistipes_putredinis	92.04398091634113	36.322006225585966	55.7219746907552	153.4110597985182
HallAB_2017	IBD; control	8	Alistipes_putredinis	PWY-7229:_superpathway_of_adenosine_nucleotides_de_novo_biosynthesis_I	91.6961975097656	24.8159027099609	66.8802947998047	269.50579062739274
HallAB_2017	IBD; control	9	Coprobacter_fastidiosus	Coprobacter_sp	91.0802154541016	28.4067535400391	62.6734619140625	220.6287382531226
HallAB_2017	IBD; control	10	Coprobacter_sp	Coprobacter_fastidiosus	91.0802154541016	46.16874694824221	44.9114685058594	97.27677590255529
HallAB_2017	IBD; control	11	Alistipes_putredinis	Coprobacter_sp	89.3667449951172	24.8159027099609	64.5508422851562	260.11885620121336
HallAB_2017	IBD; control	12	Alistipes_putredinis	Clostridium_spiroforme	88.6299438476562	24.8159027099609	63.8140411376953	257.14978771286394
HallAB_2017	IBD; control	13	Alistipes_putredinis	Clostridium_sp_CAG_299	88.5920257568359	24.8159027099609	63.776123046875	256.99699016500335
HallAB_2017	IBD; control	14	Alistipes_putredinis	Streptococcus_salivarius	88.3078689575195	40.82997131347655	47.47789764404295	116.28197649105904
HallAB_2017	IBD; control	15	Streptococcus_salivarius	Alistipes_putredinis	88.3078689575195	25.16321563720705	63.1446533203125	250.94031792560335
HallAB_2017	IBD; control	16	Clostridium_lavalense	Bacteroides_intestinalis	88.0704345703125	31.5713806152344	56.4990539550781	178.95655132615627
HallAB_2017	IBD; control	17	Alistipes_putredinis	PWY-7220:_adenosine_deoxyribonucleotides_de_novo_biosynthesis_II	87.6097564697266	24.8159027099609	62.7938537597656	253.03876507607623
HallAB_2017	IBD; control	18	Alistipes_putredinis	Parabacteroides_sp_CAG_409	86.6609497070312	24.8159027099609	61.8450469970703	249.21538305453709
HallAB_2017	IBD; control	19	Alistipes_putredinis	Blautia_producta	85.4818725585938	24.8159027099609	60.6659698486328	244.4640864274584
HallAB_2017	IBD; control	20	Clostridium_lavalense	Eubacterium_siraeum	85.2114715576172	31.5713806152344	53.6400909423828	169.90099861676433
JieZ_2017	ACVD; control	1	Streptococcus_mitis	Prevotella_copri	65.9221343994141	37.3219757080078	28.6001586914062	76.63088073140177
JieZ_2017	ACVD; control	2	Streptococcus_mitis	Actinomyces_graevenitzii	64.2140045166016	37.3219757080078	26.8920288085938	72.0541404854509
JieZ_2017	ACVD; control	3	Streptococcus_mitis	Lactobacillus_fermentum	62.4579620361328	37.3219757080078	25.135986328125	67.34902386941918
JieZ_2017	ACVD; control	4	PWY66-422:_D-galactose_degradation_V_(Leloir_pathway)	Streptococcus_mitis	58.0298461914062	25.7836303710938	32.2462158203125	125.06468389518936
