disease	base	contributing	n_cohorts	cohorts	mean_total_ig	min_total_ig	max_total_ig	mean_ig_gain_pct
IBD; control	Alistipes_putredinis	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	62.21749877929685	27.5213928222656	96.9136047363281	842.8143800030173
IBD; control	Alistipes_putredinis	Blautia_hydrogenotrophica	2	HallAB_2017, NielsenHB_2014	48.478337605794266	27.759165445963532	69.197509765625	678.436734967588
IBD; control	Gemmiger_formicilis	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	48.2537384033203	40.9622497558594	55.5452270507812	58052.54754199949
IBD; control	Gordonibacter_pamelaeae	Gemmiger_formicilis	2	HallAB_2017, NielsenHB_2014	48.2537384033203	40.9622497558594	55.5452270507812	627.692340828552
IBD; control	Gemmiger_formicilis	Enterorhabdus_caecimuris	2	HallAB_2017, NielsenHB_2014	47.207015991210895	28.1600646972656	66.2539672851562	40413.30966313351
IBD; control	Gemmiger_formicilis	PWY-3841:_folate_transformations_II	2	HallAB_2017, NielsenHB_2014	43.016792297363246	28.7282562255859	57.3053283691406	41034.5131677195
IBD; control	Bacteroides_intestinalis	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	42.913948059082	29.1304016113281	56.6974945068359	803.1445628341155
IBD; control	Gemmiger_formicilis	PWY-7199:_pyrimidine_deoxyribonucleosides_salvage	2	HallAB_2017, NielsenHB_2014	42.61488342285155	26.6887969970703	58.5409698486328	38215.51103726484
IBD; control	Alistipes_finegoldii	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	42.5194778442383	29.1784057617188	55.860549926757805	501.84408367906235
IBD; control	Firmicutes_bacterium_CAG_83	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	42.26511383056643	28.6729431152344	55.85728454589845	2572.147424077618
IBD; control	Gemmiger_formicilis	Romboutsia_ilealis	2	HallAB_2017, NielsenHB_2014	42.21258544921875	28.8038787841797	55.6212921142578	41107.78445310218
IBD; control	Gemmiger_formicilis	PWY-7219:_adenosine_ribonucleotides_de_novo_biosynthesis	2	HallAB_2017, NielsenHB_2014	39.972240447998026	32.5534515380859	47.39102935791015	46121.668393633256
IBD; control	Gemmiger_formicilis	Streptococcus_thermophilus	2	HallAB_2017, NielsenHB_2014	39.3872299194336	29.9407806396484	48.8336791992188	42562.88208025604
IBD; control	Eubacterium_ventriosum	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	39.09499867757161	24.9381103515625	53.25188700358073	51673.74745497788
IBD; control	Gemmiger_formicilis	Bacteroides_coprocola	2	HallAB_2017, NielsenHB_2014	38.5333023071289	24.9980316162109	52.0685729980469	35735.44887979632
IBD; control	Ruminococcus_bromii	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	38.04119873046875	28.5135192871094	47.5688781738281	828.3278476589296
IBD; control	Gemmiger_formicilis	Blautia_obeum	2	HallAB_2017, NielsenHB_2014	37.88868713378905	25.9646606445312	49.8127136230469	37039.68582902452
IBD; control	Agathobaculum_butyriciproducens	Gemmiger_formicilis	2	HallAB_2017, NielsenHB_2014	37.638786315918	33.8327331542969	41.4448394775391	25710.332048838278
IBD; control	Gemmiger_formicilis	Agathobaculum_butyriciproducens	2	HallAB_2017, NielsenHB_2014	37.638786315918	33.8327331542969	41.4448394775391	47846.47028273091
IBD; control	PANTOSYN-PWY:_pantothenate_and_coenzyme_A_biosynthesis_I	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	37.49700927734375	30.2034454345703	44.7905731201172	1155.766291029197
IBD; control	Gemmiger_formicilis	COA-PWY-1:_coenzyme_A_biosynthesis_II_(mammalian)	2	HallAB_2017, NielsenHB_2014	37.3584213256836	28.4998321533203	46.2170104980469	40504.57777903463
IBD; control	Ruminococcus_torques	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	37.1979675292969	33.0073394775391	41.3885955810547	993.6385966238124
IBD; control	Faecalibacterium_prausnitzii	Gemmiger_formicilis	2	HallAB_2017, NielsenHB_2014	37.1171569824219	33.4789276123047	40.7553863525391	461694.2741240197
IBD; control	Gemmiger_formicilis	Faecalibacterium_prausnitzii	2	HallAB_2017, NielsenHB_2014	37.1171569824219	33.4789276123047	40.7553863525391	47340.18523754453
IBD; control	Clostridium_leptum	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	37.06738662719728	27.3683013916016	46.766471862792955	272008.7241514374
IBD; control	Intestinimonas_butyriciproducens	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	36.960932413736984	32.8603973388672	41.06146748860677	15956.306968771236
IBD; control	Ruminococcus_lactaris	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	36.7033805847168	32.1854705810547	41.2212905883789	532748.8618670236
IBD; control	Clostridium_sp_CAG_167	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	36.66838836669925	26.1525115966797	47.1842651367188	1363.2518213003027
IBD; control	Gemmiger_formicilis	PEPTIDOGLYCANSYN-PWY:_peptidoglycan_biosynthesis_I_(meso-diaminopimelate_containing)	2	HallAB_2017, NielsenHB_2014	36.63777923583985	26.1020965576172	47.1734619140625	37180.88685130709
IBD; control	PEPTIDOGLYCANSYN-PWY:_peptidoglycan_biosynthesis_I_(meso-diaminopimelate_containing)	Gemmiger_formicilis	2	HallAB_2017, NielsenHB_2014	36.63777923583985	26.1020965576172	47.1734619140625	3010.2088651537183
IBD; control	Gemmiger_formicilis	Clostridium_innocuum	2	HallAB_2017, NielsenHB_2014	36.3284683227539	26.7925262451172	45.8644104003906	38118.22463302282
IBD; control	Gemmiger_formicilis	Dorea_longicatena	2	HallAB_2017, NielsenHB_2014	35.82866668701175	28.9796752929688	42.6776580810547	41105.84900167852
IBD; control	Akkermansia_muciniphila	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	35.756111145019545	35.0078125	36.5044097900391	525.1555708996563
IBD; control	Bacteroides_intestinalis	Blautia_hydrogenotrophica	2	HallAB_2017, NielsenHB_2014	35.72628784179685	30.4559326171875	40.9966430664062	729.3137252801922
IBD; control	Gemmiger_formicilis	Coprococcus_comes	2	HallAB_2017, NielsenHB_2014	35.6558227539063	26.0973510742188	45.2142944335938	37136.89259055269
IBD; control	Eubacterium_eligens	Gordonibacter_pamelaeae	2	HallAB_2017, NielsenHB_2014	34.9163360595703	31.3170166015625	38.5156555175781	1081.7860783766741
IBD; control	Gemmiger_formicilis	Blautia_hydrogenotrophica	2	HallAB_2017, NielsenHB_2014	34.87535349527997	33.61377461751303	36.1369323730469	1042.735999939508
