Feature,Selection Count,Selection %
Streptococcus_salivarius,14,100.0
Roseburia_hominis,14,100.0
Anaerococcus_obesiensis,14,100.0
Phascolarctobacterium_succinatutens,13,92.85714285714286
Roseburia_intestinalis,13,92.85714285714286
Ruminococcus_torques,13,92.85714285714286
Anaerotignum_faecicola,13,92.85714285714286
PWY-2941:_L-lysine_biosynthesis_II,12,85.71428571428571
PWY1ZNC-1:_assimilatory_sulfate_reduction_IV,12,85.71428571428571
Allisonella_histaminiformans,11,78.57142857142857
PWY0-162:_superpathway_of_pyrimidine_ribonucleotides_de_novo_biosynthesis,11,78.57142857142857
Lachnospiraceae_bacterium,11,78.57142857142857
Candidatus_Saccharibacteria_unclassified_SGB19850,10,71.42857142857143
PWY-6167:_flavin_biosynthesis_II_(archaea),9,64.28571428571429
Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1,8,57.14285714285714
ORNDEG-PWY:_superpathway_of_ornithine_degradation,8,57.14285714285714
Collinsella_aerofaciens,7,50.0
Intestinibacter_bartlettii,7,50.0
POLYAMINSYN3-PWY:_superpathway_of_polyamine_biosynthesis_II,7,50.0
Fusobacterium_nucleatum,7,50.0
Phocaeicola_vulgatus,6,42.857142857142854
Haemophilus_parainfluenzae,6,42.857142857142854
PWY0-1479:_tRNA_processing,5,35.714285714285715
Streptococcus_sp_A12,5,35.714285714285715
COLANSYN-PWY:_colanic_acid_building_blocks_biosynthesis,4,28.57142857142857
PWY-5130:_2-oxobutanoate_degradation_I,4,28.57142857142857
Methanobrevibacter_smithii,4,28.57142857142857
Bilophila_wadsworthia,3,21.428571428571427
Mogibacterium_diversum,3,21.428571428571427
Romboutsia_timonensis,3,21.428571428571427
Lancefieldella_parvula,3,21.428571428571427
GGB9642_SGB15119,2,14.285714285714285
PWY-6270:_isoprene_biosynthesis_I,2,14.285714285714285
"PWY-7237:_myo-,_chiro-_and_scyllo-inositol_degradation",2,14.285714285714285
Dialister_pneumosintes,2,14.285714285714285
Veillonella_parvula,2,14.285714285714285
Veillonella_dispar,2,14.285714285714285
PWY-7286:_7-(3-amino-3-carboxypropyl)-wyosine_biosynthesis,2,14.285714285714285
Clostridium_sp_AF34_10BH,2,14.285714285714285
PWY-6168:_flavin_biosynthesis_III_(fungi),2,14.285714285714285
PWY-7761:_NAD_salvage_pathway_II_(PNC_IV_cycle),2,14.285714285714285
GGB3746_SGB5089,2,14.285714285714285
GLYCOCAT-PWY:_glycogen_degradation_I,2,14.285714285714285
CITRULBIO-PWY:_L-citrulline_biosynthesis,2,14.285714285714285
Adlercreutzia_equolifaciens,2,14.285714285714285
Clostridiaceae_bacterium,1,7.142857142857142
GGB2977_SGB3959,1,7.142857142857142
PWY-6969:_TCA_cycle_V_(2-oxoglutarate_synthase),1,7.142857142857142
PWY-5505:_L-glutamate_and_L-glutamine_biosynthesis,1,7.142857142857142
OANTIGEN-PWY:_O-antigen_building_blocks_biosynthesis_(E._coli),1,7.142857142857142
COBALSYN-PWY:_superpathway_of_adenosylcobalamin_salvage_from_cobinamide_I,1,7.142857142857142
PWY-6936:_seleno-amino_acid_biosynthesis_(plants),1,7.142857142857142
PWY-5484:_glycolysis_II_(from_fructose_6-phosphate),1,7.142857142857142
Roseburia_faecis,1,7.142857142857142
HEME-BIOSYNTHESIS-II:_heme_b_biosynthesis_I_(aerobic),1,7.142857142857142
PWY-6507:_4-deoxy-L-threo-hex-4-enopyranuronate_degradation,1,7.142857142857142
Lachnospira_eligens,1,7.142857142857142
GALACTUROCAT-PWY:_D-galacturonate_degradation_I,1,7.142857142857142
Streptococcus_gallolyticus,1,7.142857142857142
PWY-6350:_archaetidylinositol_biosynthesis,1,7.142857142857142
PWY0-1241:_ADP-L-glycero-&beta;-D-manno-heptose_biosynthesis,1,7.142857142857142
PWY-4984:_urea_cycle,1,7.142857142857142
PWY-5659:_GDP-mannose_biosynthesis,1,7.142857142857142
Solobacterium_SGB6833,1,7.142857142857142
PWY-6317:_D-galactose_degradation_I_(Leloir_pathway),1,7.142857142857142
