data_type,base_feature,contributing_feature,base_IG_1D_mean,total_IG_2D_mean,ig_difference_raw,ig_difference_pct,pair_ig_count
combined,Streptococcus_infantis,Fusobacterium_nucleatum,0.726,440.031,439.305,60499.08,24/28
combined,Veillonella_rogosae,Fusobacterium_nucleatum,2.433,439.806,437.373,17975.44,22/28
combined,Neisseria_subflava,Fusobacterium_nucleatum,0.873,436.772,435.899,49942.49,2/28
combined,PWY-6763:_salicortin_biosynthesis,Fusobacterium_nucleatum,0.492,436.263,435.771,88625.62,2/28
combined,Megasphaera_micronuciformis,Fusobacterium_nucleatum,23.009,458.395,435.386,1892.23,24/28
combined,Streptococcus_sp_263_SSPC,Fusobacterium_nucleatum,2.999,438.123,435.125,14511.25,24/28
combined,Rothia_mucilaginosa,Fusobacterium_nucleatum,1.014,434.873,433.858,42773.19,24/28
combined,Haemophilus_parainfluenzae,Fusobacterium_nucleatum,1.158,434.254,433.096,37395.24,22/28
combined,Streptococcus_mitis,Fusobacterium_nucleatum,6.168,438.991,432.823,7017.76,24/28
combined,"PWY3DJ-35471:_L-ascorbate_biosynthesis_IV_(animals,_D-glucuronate_pathway)",Fusobacterium_nucleatum,0.176,431.911,431.736,245609.58,2/28
combined,Streptococcus_intermedius,Fusobacterium_nucleatum,0.752,432.472,431.719,57375.79,2/28
combined,Enterobacter_mori,Fusobacterium_nucleatum,1.598,432.43,430.832,26958.25,2/28
combined,Streptococcus_sp_A12,Fusobacterium_nucleatum,9.762,440.275,430.513,4410.1,24/28
combined,Veillonella_atypica,Fusobacterium_nucleatum,4.347,434.236,429.889,9888.84,22/28
combined,TM7_phylum_sp_oral_taxon_348,Fusobacterium_nucleatum,0.058,429.807,429.749,736506.69,2/28
combined,"12DICHLORETHDEG-PWY:_1,2-dichloroethane_degradation",Fusobacterium_nucleatum,1.956,431.532,429.575,21958.58,2/28
combined,Campylobacter_gracilis,Fusobacterium_nucleatum,11.872,441.31,429.438,3617.13,2/28
combined,PWY-7434:_terminal_O-glycans_residues_modification_(via_type_2_precursor_disaccharide),Fusobacterium_nucleatum,0.249,429.674,429.425,172198.04,22/28
combined,Desulfovibrio_desulfuricans,Fusobacterium_nucleatum,0.068,429.456,429.388,632651.8,2/28
combined,PWY-7245:_superpathway_of_NAD/NADP_-_NADH/NADPH_interconversion_(yeast),Fusobacterium_nucleatum,4.306,433.57,429.263,9968.04,2/28
combined,Candidatus_Saccharibacteria_unclassified_SGB19850,Fusobacterium_nucleatum,3.703,432.962,429.259,11591.23,24/28
combined,Abiotrophia_defectiva,Fusobacterium_nucleatum,1.653,430.738,429.085,25960.58,2/28
combined,Oribacterium_parvum,Fusobacterium_nucleatum,3.728,432.703,428.975,11507.72,22/28
combined,Alistipes_provencensis,Fusobacterium_nucleatum,0.0,428.861,428.86,175661200.0,2/28
combined,Streptococcus_salivarius,Fusobacterium_nucleatum,10.761,439.602,428.842,3985.29,22/28
combined,PWY-7268:_cytosolic_NADPH_production_(yeast),Fusobacterium_nucleatum,4.417,432.966,428.548,9701.73,2/28
combined,PWY-822:_fructan_biosynthesis,Fusobacterium_nucleatum,4.902,433.437,428.535,8742.82,22/28
combined,Lawsonibacter_sp_NSJ_52,Fusobacterium_nucleatum,0.978,429.31,428.332,43784.53,2/28
combined,GGB4687_SGB6484,Fusobacterium_nucleatum,0.041,428.367,428.326,1044298.81,2/28
combined,GGB41458_SGB58520,Fusobacterium_nucleatum,0.859,428.291,427.432,49737.5,2/28
combined,Escherichia_marmotae,Fusobacterium_nucleatum,10.65,437.911,427.261,4011.88,2/28
combined,DENITRIFICATION-PWY:_nitrate_reduction_I_(denitrification),Fusobacterium_nucleatum,7.338,434.02,426.682,5814.47,22/28
combined,GGB4549_SGB6271,Fusobacterium_nucleatum,2.556,428.859,426.303,16679.12,2/28
combined,"PWY-6415:_L-ascorbate_biosynthesis_V_(euglena,_D-galacturonate_pathway)",Fusobacterium_nucleatum,3.069,428.763,425.694,13871.46,2/28
combined,Campylobacter_hominis,Fusobacterium_nucleatum,3.963,429.107,425.144,10728.14,2/28
combined,Haemophilus_sputorum,Fusobacterium_nucleatum,1.013,425.975,424.962,41940.45,22/28
combined,Veillonella_dispar,Fusobacterium_nucleatum,2.192,427.097,424.904,19381.13,22/28
combined,PWY-6562:_norspermidine_biosynthesis,Fusobacterium_nucleatum,0.277,424.732,424.454,153030.4,22/28
combined,Actinomyces_sp_S6_Spd3,Fusobacterium_nucleatum,5.277,429.686,424.409,8042.27,22/28
combined,Streptococcus_parasanguinis,Fusobacterium_nucleatum,2.461,426.843,424.382,17244.28,22/28
combined,"PWY-7383:_anaerobic_energy_metabolism_(invertebrates,_cytosol)",Fusobacterium_nucleatum,1.313,425.386,424.073,32293.93,22/28
combined,PWY66-399:_gluconeogenesis_III,Fusobacterium_nucleatum,1.47,425.282,423.812,28831.3,22/28
combined,Desulfovibrio_fairfieldensis,Fusobacterium_nucleatum,6.031,429.797,423.766,7026.45,2/28
combined,Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1,Fusobacterium_nucleatum,1.17,424.935,423.765,36203.77,22/28
combined,UDPNACETYLGALSYN-PWY:_UDP-N-acetyl-D-glucosamine_biosynthesis_II,Fusobacterium_nucleatum,1.158,424.85,423.692,36586.01,22/28
