feature1,feature2,pair_ig_mean,pair_ig_std,pair_ig_count,f1_ig_mean,f2_ig_mean,mean_individual_ig,ig_difference_raw,ig_difference_pct
AST-PWY:_L-arginine_degradation_II_(AST_pathway),GALACT-GLUCUROCAT-PWY:_superpathway_of_hexuronide_and_hexuronate_degradation,79.5478515625,0.0,3,0.19140625,0.03369140625,0.112548828125,79.435302734375,99.8585143081626
Bifidobacterium_pseudocatenulatum,PWY-5913:_partial_TCA_cycle_(obligate_autotrophs),82.1767578125,0.0,3,0.4638671875,0.096923828125,0.2803955078125,81.8963623046875,99.65878976577261
METH-ACETATE-PWY:_methanogenesis_from_acetate,PWY-5941:_glycogen_degradation_II,56.400390625,0.0,3,0.000244140625,0.56005859375,0.2801513671875,56.1202392578125,99.50328115801503
Dialister_pneumosintes,PWY-6435:_4-hydroxybenzoate_biosynthesis_III_(plants),322.566162109375,0.0,3,3.60546875,0.017578125,1.8115234375,320.754638671875,99.43840252007409
PWY-5973:_cis-vaccenate_biosynthesis,METH-ACETATE-PWY:_methanogenesis_from_acetate,55.39111328125,0.0,3,0.14404296875,0.62646484375,0.38525390625,55.005859375,99.30448426935587
Lachnospiraceae_bacterium_WCA3_601_WT_6H,"P4-PWY:_superpathway_of_L-lysine,_L-threonine_and_L-methionine_biosynthesis_I",72.293701171875,0.0,3,0.427734375,1.0625,0.7451171875,71.548583984375,98.96931935227867
PWY-5656:_mannosylglycerate_biosynthesis_I,PWY-8073:_lipid_IVA_biosynthesis_(P._putida),62.775390625,0.0,3,0.7734375,0.99755859375,0.885498046875,61.889892578125,98.58941849973554
GLUCOSE1PMETAB-PWY:_glucose_and_glucose-1-phosphate_degradation,Eisenbergiella_massiliensis,47.496826171875,0.0,3,0.718994140625,0.741943359375,0.73046875,46.766357421875,98.46206829198086
PWY-8190:_L-glutamate_degradation_XI_(reductive_Stickland_reaction),Ruminococcaceae_unclassified_SGB15234,66.497802734375,0.0,3,1.79052734375,0.973876953125,1.3822021484375,65.1156005859375,97.92143184947224
"P461-PWY:_hexitol_fermentation_to_lactate,_formate,_ethanol_and_acetate",Mitsuokella_multacida,53.697021484375,0.0,3,1.664794921875,0.83935546875,1.2520751953125,52.4449462890625,97.66825950359866
GALACT-GLUCUROCAT-PWY:_superpathway_of_hexuronide_and_hexuronate_degradation,PWY0-1479:_tRNA_processing,55.207763671875,0.0,3,0.001220703125,2.852294921875,1.4267578125,53.781005859375,97.41565729599215
"PWY0-301:_L-ascorbate_degradation_I_(bacterial,_anaerobic)",FUCCAT-PWY:_fucose_degradation,80.891845703125,0.0,3,2.509521484375,3.2216796875,2.8656005859375,78.0262451171875,96.45749140592696
GLUCARGALACTSUPER-PWY:_superpathway_of_D-glucarate_and_D-galactarate_degradation,GALACT-GLUCUROCAT-PWY:_superpathway_of_hexuronide_and_hexuronate_degradation,58.868896484375,0.0,3,4.22412109375,0.03369140625,2.12890625,56.739990234375,96.38364845081637
NAGLIPASYN-PWY:_lipid_IVA_biosynthesis_(E._coli),PWY-7094:_fatty_acid_salvage,70.382080078125,0.0,3,3.72509765625,1.55712890625,2.64111328125,67.740966796875,96.24746344762994
Lachnospiraceae_bacterium_WCA3_601_WT_6H,P108-PWY:_pyruvate_fermentation_to_propanoate_I,58.318115234375,0.0,3,1.105224609375,4.064208984375,2.584716796875,55.7333984375,95.56790066604988
