Test Cohort,N Samples,All Features,Synthetic Only,All Features + Synthetic
Public_study__FengQ_2015,107.0,0.6635514018691588,0.7570093457943925,0.7663551401869159
Public_study__GuptaA_2019,60.0,0.8333333333333334,0.8166666666666667,0.8166666666666667
Public_study__LiuNN_2022,163.0,0.656441717791411,0.7423312883435583,0.7361963190184049
Public_study__ThomasAM_2018b,60.0,0.7666666666666667,0.8,0.8
Public_study__VogtmannE_2016,110.0,0.7363636363636363,0.7090909090909091,0.7272727272727273
Public_study__WirbelJ_2018,125.0,0.736,0.784,0.784
Public_study__YachidaS_2019,548.0,0.6605839416058394,0.6551094890510949,0.6551094890510949
Public_study__YangJ_2020,193.0,0.7927461139896373,0.7875647668393783,0.7875647668393783
Public_study__YangY_2021,200.0,0.74,0.73,0.74
Public_study__YuJ_2015,128.0,0.8046875,0.828125,0.828125
Public_study__ZellerG_2014,114.0,0.6403508771929824,0.6491228070175439,0.6491228070175439
This_study_cohort3__ONCOBIOME_IIGM_CZ,105.0,0.638095238095238,0.7142857142857143,0.7142857142857143
This_study_cohort4__ONCOBIOME_IIGM_IT,145.0,0.7034482758620689,0.7103448275862069,0.7172413793103448
This_study_cohort6__IIGM_TU,57.0,0.7543859649122807,0.7368421052631579,0.7543859649122807
Mean,,0.7233324762630181,0.7443209228527587,0.7483089981829336
Weighted Mean,,0.708274231678487,0.7243498817966904,0.7271867612293145
