Test Cohort,N Samples,All Features,Synthetic Only,All Features + Synthetic
Public_study__FengQ_2015,107.0,0.8009622238061298,0.841054882394868,0.8440841054882395
Public_study__GuptaA_2019,60.0,0.8822222222222222,0.893888888888889,0.8638888888888889
Public_study__LiuNN_2022,163.0,0.8186274509803921,0.8360482654600302,0.8311463046757164
Public_study__ThomasAM_2018b,60.0,0.8666294642857143,0.9107142857142857,0.9123883928571428
Public_study__VogtmannE_2016,110.0,0.7667440318302388,0.7763594164456235,0.7707228116710876
Public_study__WirbelJ_2018,125.0,0.8448717948717949,0.851923076923077,0.8485897435897436
Public_study__YachidaS_2019,548.0,0.727632985832665,0.7289427960438385,0.7322039561614542
Public_study__YangJ_2020,193.0,0.8780343716433943,0.8697636949516648,0.8747046186895809
Public_study__YangY_2021,200.0,0.786,0.7867999999999999,0.7773500000000001
Public_study__YuJ_2015,128.0,0.9001501501501502,0.9062812812812812,0.9091591591591592
Public_study__ZellerG_2014,114.0,0.7791524899474174,0.7721930095886174,0.772811630064955
This_study_cohort3__ONCOBIOME_IIGM_CZ,105.0,0.7159174649963154,0.7763448784082535,0.7774502579218865
This_study_cohort4__ONCOBIOME_IIGM_IT,145.0,0.8036066219944817,0.7776901852581789,0.7883326763894363
This_study_cohort6__IIGM_TU,57.0,0.9287749287749287,0.933048433048433,0.9273504273504274
Mean,,0.8213804429525603,0.8329323638862169,0.8307273552076941
Weighted Mean,,0.7981568460985915,0.8050207814755053,0.80474319536041
