Feature,Selection Count,Selection %
LR_Blautia_wexlerae__Parvimonas_micra,14,100.0
GM_Anaerococcus_obesiensis__Dialister_pneumosintes,14,100.0
GM_Anaerococcus_obesiensis__Parvimonas_micra,14,100.0
GM_Anaerococcus_obesiensis__Peptostreptococcus_stomatis,14,100.0
GM_Parvimonas_micra__Peptostreptococcus_stomatis,14,100.0
GM_Dialister_pneumosintes__Peptostreptococcus_stomatis,14,100.0
LR_Clostridiaceae_bacterium__Parvimonas_micra,14,100.0
LR_Anaerotignum_faecicola__Parvimonas_micra,14,100.0
LR_Parvimonas_micra__Streptococcus_mitis,14,100.0
GM_PWY-2941:_L-lysine_biosynthesis_II__Parvimonas_micra,14,100.0
LR_Candidatus_Saccharibacteria_unclassified_SGB19850__Parvimonas_micra,14,100.0
LR_Anaerococcus_obesiensis__Parvimonas_micra,14,100.0
GM_Eikenella_corrodens__Peptostreptococcus_stomatis,14,100.0
LR_Parvimonas_micra__Streptococcus_sp_263_SSPC,14,100.0
GM_Peptostreptococcus_SGB749__Peptostreptococcus_stomatis,14,100.0
GM_Eikenella_corrodens__Parvimonas_micra,14,100.0
GM_Peptostreptococcus_anaerobius__Peptostreptococcus_stomatis,14,100.0
LR_Parvimonas_micra__Roseburia_intestinalis,14,100.0
LR_Parvimonas_micra__Roseburia_hominis,14,100.0
LR_Parvimonas_micra__Streptococcus_salivarius,14,100.0
GM_Dialister_pneumosintes__Gemella_morbillorum,14,100.0
GM_Parvimonas_micra__Streptococcus_gallolyticus,14,100.0
GM_Dialister_pneumosintes__Parvimonas_micra,14,100.0
LR_Parvimonas_micra__Streptococcus_sp_A12,14,100.0
LR_Mogibacterium_diversum__Parvimonas_micra,14,100.0
LR_Blautia_faecis__Parvimonas_micra,14,100.0
GM_Allisonella_histaminiformans__Parvimonas_micra,13,92.85714285714286
LR_Peptostreptococcus_stomatis__Roseburia_intestinalis,13,92.85714285714286
LR_Parvimonas_micra__Streptococcus_sanguinis,13,92.85714285714286
LR_Lachnospiraceae_bacterium__Parvimonas_micra,13,92.85714285714286
GM_PWY-6167:_flavin_biosynthesis_II_(archaea)__Parvimonas_micra,13,92.85714285714286
LR_Anaerococcus_obesiensis__Dialister_pneumosintes,13,92.85714285714286
GM_Dialister_pneumosintes__Eikenella_corrodens,13,92.85714285714286
GM_Dialister_pneumosintes__Fusobacterium_nucleatum,13,92.85714285714286
GM_Fusobacterium_nucleatum__Peptostreptococcus_stomatis,13,92.85714285714286
GM_Fusobacterium_nucleatum__Parvimonas_micra,13,92.85714285714286
GM_Morganella_morganii__Parvimonas_micra,13,92.85714285714286
GM_Gemella_morbillorum__Peptostreptococcus_stomatis,13,92.85714285714286
GM_Anaerotignum_faecicola__Parvimonas_micra,13,92.85714285714286
LR_Anaerococcus_obesiensis__Peptostreptococcus_stomatis,13,92.85714285714286
LR_PWY-7357:_thiamine_phosphate_formation_from_pyrithiamine_and_oxythiamine_(yeast)__Parvimonas_micra,13,92.85714285714286
GM_Parvimonas_micra__Phascolarctobacterium_succinatutens,13,92.85714285714286
GM_PWY-6350:_archaetidylinositol_biosynthesis__Parvimonas_micra,12,85.71428571428571
LR_Parvimonas_micra__Phascolarctobacterium_succinatutens,12,85.71428571428571
GM_Fusobacterium_nucleatum__Roseburia_hominis,12,85.71428571428571
GM_Fusobacterium_nucleatum__Morganella_morganii,12,85.71428571428571
GM_Anaerococcus_obesiensis__Fusobacterium_nucleatum,12,85.71428571428571
GM_Fusobacterium_nucleatum__Gemella_morbillorum,12,85.71428571428571
GM_Eikenella_corrodens__Fusobacterium_nucleatum,12,85.71428571428571
GM_Dialister_pneumosintes__Peptostreptococcus_anaerobius,12,85.71428571428571
LR_Fusobacterium_nucleatum__Roseburia_hominis,12,85.71428571428571
LR_PWY-6292:_superpathway_of_L-cysteine_biosynthesis_(mammalian)__Parvimonas_micra,12,85.71428571428571
GM_Fusobacterium_nucleatum__Peptostreptococcus_anaerobius,12,85.71428571428571
LR_Fusobacterium_nucleatum__Roseburia_intestinalis,12,85.71428571428571
GM_ORNDEG-PWY:_superpathway_of_ornithine_degradation__Parvimonas_micra,12,85.71428571428571
LR_GLYCOGENSYNTH-PWY:_glycogen_biosynthesis_I_(from_ADP-D-Glucose)__Parvimonas_micra,12,85.71428571428571
