Feature,Selection Count,Selection %
PWY-2941:_L-lysine_biosynthesis_II,14,100.0
LACTOSECAT-PWY:_lactose_and_galactose_degradation_I,14,100.0
PWY-6270:_isoprene_biosynthesis_I,14,100.0
PWY1ZNC-1:_assimilatory_sulfate_reduction_IV,14,100.0
PWY0-1241:_ADP-L-glycero-&beta;-D-manno-heptose_biosynthesis,14,100.0
METH-ACETATE-PWY:_methanogenesis_from_acetate,14,100.0
PWY-5505:_L-glutamate_and_L-glutamine_biosynthesis,14,100.0
GALACTUROCAT-PWY:_D-galacturonate_degradation_I,14,100.0
GLUCUROCAT-PWY:_superpathway_of_&beta;-D-glucuronosides_degradation,14,100.0
"PWY-7383:_anaerobic_energy_metabolism_(invertebrates,_cytosol)",14,100.0
COBALSYN-PWY:_superpathway_of_adenosylcobalamin_salvage_from_cobinamide_I,14,100.0
PWY-7197:_pyrimidine_deoxyribonucleotide_phosphorylation,14,100.0
PWY-5005:_biotin_biosynthesis_II,14,100.0
GALACT-GLUCUROCAT-PWY:_superpathway_of_hexuronide_and_hexuronate_degradation,14,100.0
PWY-841:_superpathway_of_purine_nucleotides_de_novo_biosynthesis_I,14,100.0
PWY-5941:_glycogen_degradation_II,14,100.0
OANTIGEN-PWY:_O-antigen_building_blocks_biosynthesis_(E._coli),14,100.0
PWY0-162:_superpathway_of_pyrimidine_ribonucleotides_de_novo_biosynthesis,14,100.0
CITRULBIO-PWY:_L-citrulline_biosynthesis,14,100.0
PWY-5690:_TCA_cycle_II_(plants_and_fungi),14,100.0
PWY-7238:_sucrose_biosynthesis_II,14,100.0
PWY-6507:_4-deoxy-L-threo-hex-4-enopyranuronate_degradation,14,100.0
PWY-7208:_superpathway_of_pyrimidine_nucleobases_salvage,14,100.0
PWY-7228:_superpathway_of_guanosine_nucleotides_de_novo_biosynthesis_I,14,100.0
PWY66-399:_gluconeogenesis_III,13,92.85714285714286
PPGPPMET-PWY:_ppGpp_metabolism,13,92.85714285714286
PWY-8131:_5'-deoxyadenosine_degradation_II,13,92.85714285714286
UDPNAGSYN-PWY:_UDP-N-acetyl-D-glucosamine_biosynthesis_I,13,92.85714285714286
"PWY-7456:_&beta;-(1,4)-mannan_degradation",13,92.85714285714286
PWY-5130:_2-oxobutanoate_degradation_I,13,92.85714285714286
PWY-4984:_urea_cycle,13,92.85714285714286
PWY-7323:_superpathway_of_GDP-mannose-derived_O-antigen_building_blocks_biosynthesis,13,92.85714285714286
VALSYN-PWY:_L-valine_biosynthesis,13,92.85714285714286
PWY-7315:_dTDP-N-acetylthomosamine_biosynthesis,13,92.85714285714286
PWY-8178:_pentose_phosphate_pathway_(non-oxidative_branch)_II,12,85.71428571428571
"PWY-7013:_(S)-propane-1,2-diol_degradation",12,85.71428571428571
PWY0-1479:_tRNA_processing,12,85.71428571428571
PWY-6168:_flavin_biosynthesis_III_(fungi),12,85.71428571428571
GLYCOGENSYNTH-PWY:_glycogen_biosynthesis_I_(from_ADP-D-Glucose),12,85.71428571428571
PWY-7198:_pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_IV,12,85.71428571428571
PWY-6731:_starch_degradation_III,12,85.71428571428571
PWY-621:_sucrose_degradation_III_(sucrose_invertase),12,85.71428571428571
PWY-7229:_superpathway_of_adenosine_nucleotides_de_novo_biosynthesis_I,12,85.71428571428571
PWY-6478:_GDP-D-glycero-&alpha;-D-manno-heptose_biosynthesis,12,85.71428571428571
NONOXIPENT-PWY:_pentose_phosphate_pathway_(non-oxidative_branch)_I,12,85.71428571428571
PWY-6823:_molybdopterin_biosynthesis,12,85.71428571428571
POLYAMINSYN3-PWY:_superpathway_of_polyamine_biosynthesis_II,12,85.71428571428571
PWY-7242:_D-fructuronate_degradation,12,85.71428571428571
RHAMCAT-PWY:_L-rhamnose_degradation_I,12,85.71428571428571
PWY-7560:_methylerythritol_phosphate_pathway_II,12,85.71428571428571
ANAEROFRUCAT-PWY:_homolactic_fermentation,12,85.71428571428571
PWY-6126:_superpathway_of_adenosine_nucleotides_de_novo_biosynthesis_II,12,85.71428571428571
PWY-7222:_guanosine_deoxyribonucleotides_de_novo_biosynthesis_II,12,85.71428571428571
PWY-7282:_4-amino-2-methyl-5-diphosphomethylpyrimidine_biosynthesis_II,11,78.57142857142857
PWY-5188:_tetrapyrrole_biosynthesis_I_(from_glutamate),11,78.57142857142857
FUCCAT-PWY:_fucose_degradation,11,78.57142857142857
PWY-6588:_pyruvate_fermentation_to_acetone,11,78.57142857142857
PWY-6317:_D-galactose_degradation_I_(Leloir_pathway),11,78.57142857142857
"PWY-7237:_myo-,_chiro-_and_scyllo-inositol_degradation",11,78.57142857142857
PWY-7400:_L-arginine_biosynthesis_IV_(archaebacteria),11,78.57142857142857
CALVIN-PWY:_Calvin-Benson-Bassham_cycle,11,78.57142857142857
PWY-5659:_GDP-mannose_biosynthesis,11,78.57142857142857
PWY-6125:_superpathway_of_guanosine_nucleotides_de_novo_biosynthesis_II,11,78.57142857142857
GLYCOCAT-PWY:_glycogen_degradation_I,11,78.57142857142857
PWY-1042:_glycolysis_IV,11,78.57142857142857
PWY-6595:_superpathway_of_guanosine_nucleotides_degradation_(plants),11,78.57142857142857
HSERMETANA-PWY:_L-methionine_biosynthesis_III,11,78.57142857142857
PWY-6936:_seleno-amino_acid_biosynthesis_(plants),10,71.42857142857143
FERMENTATION-PWY:_mixed_acid_fermentation,10,71.42857142857143
PWY-6969:_TCA_cycle_V_(2-oxoglutarate_synthase),10,71.42857142857143
PWY-5154:_L-arginine_biosynthesis_III_(via_N-acetyl-L-citrulline),10,71.42857142857143
ALLANTOINDEG-PWY:_superpathway_of_allantoin_degradation_in_yeast,10,71.42857142857143
PWY-7761:_NAD_salvage_pathway_II_(PNC_IV_cycle),10,71.42857142857143
PWY-7220:_adenosine_deoxyribonucleotides_de_novo_biosynthesis_II,10,71.42857142857143
PWY-6607:_guanosine_nucleotides_degradation_I,10,71.42857142857143
CENTFERM-PWY:_pyruvate_fermentation_to_butanoate,10,71.42857142857143
PWY-6527:_stachyose_degradation,10,71.42857142857143
