data_type,base_feature,contributing_feature,base_IG_1D_mean,total_IG_2D_mean,ig_difference_raw,ig_difference_pct,pair_ig_count
functions,PWY-5103:_L-isoleucine_biosynthesis_III,ORNDEG-PWY:_superpathway_of_ornithine_degradation,1.699,127.784,126.085,7422.31,2/28
functions,POLYAMINSYN3-PWY:_superpathway_of_polyamine_biosynthesis_II,PWY0-42:_2-methylcitrate_cycle_I,0.221,122.87,122.648,55449.01,2/28
functions,LACTOSECAT-PWY:_lactose_and_galactose_degradation_I,PWY-5855:_ubiquinol-7_biosynthesis_(early_decarboxylation),3.182,123.401,120.219,3777.94,2/28
functions,GALACT-GLUCUROCAT-PWY:_superpathway_of_hexuronide_and_hexuronate_degradation,ORNDEG-PWY:_superpathway_of_ornithine_degradation,0.865,119.39,118.525,13694.72,12/28
functions,FAO-PWY:_fatty_acid_&beta;-oxidation_I_(generic),PWY-7198:_pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_IV,0.868,119.302,118.434,13641.9,2/28
functions,VALSYN-PWY:_L-valine_biosynthesis,NAD-BIOSYNTHESIS-II:_NAD_salvage_pathway_III_(to_nicotinamide_riboside),1.543,119.607,118.064,7651.74,2/28
functions,PWY4LZ-257:_superpathway_of_fermentation_(Chlamydomonas_reinhardtii),LACTOSECAT-PWY:_lactose_and_galactose_degradation_I,1.865,119.351,117.485,6298.69,2/28
functions,PWY-6126:_superpathway_of_adenosine_nucleotides_de_novo_biosynthesis_II,P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,1.941,119.249,117.307,6042.4,4/28
functions,GALACT-GLUCUROCAT-PWY:_superpathway_of_hexuronide_and_hexuronate_degradation,PWY-5918:_superpathway_of_heme_b_biosynthesis_from_glutamate,0.464,117.634,117.17,25277.23,6/28
functions,LACTOSECAT-PWY:_lactose_and_galactose_degradation_I,PWY-5747:_2-methylcitrate_cycle_II,3.182,120.242,117.06,3678.66,2/28
functions,LACTOSECAT-PWY:_lactose_and_galactose_degradation_I,PWY4LZ-257:_superpathway_of_fermentation_(Chlamydomonas_reinhardtii),3.182,119.351,116.168,3650.65,2/28
functions,PWY0-1261:_anhydromuropeptides_recycling_I,ORNDEG-PWY:_superpathway_of_ornithine_degradation,0.3,115.894,115.595,38556.64,4/28
functions,PWY-5505:_L-glutamate_and_L-glutamine_biosynthesis,PWY-5918:_superpathway_of_heme_b_biosynthesis_from_glutamate,0.001,115.324,115.323,11809125.0,2/28
functions,PWY-8131:_5'-deoxyadenosine_degradation_II,P441-PWY:_superpathway_of_N-acetylneuraminate_degradation,1.599,116.333,114.734,7175.58,6/28
