feature1,feature2,pair_ig_mean,pair_ig_std,pair_ig_count,f1_ig_mean,f2_ig_mean,mean_individual_ig,ig_difference_raw,ig_difference_pct
PWY0-845:_superpathway_of_pyridoxal_5'-phosphate_biosynthesis_and_salvage,HCAMHPDEG-PWY:_3-phenylpropanoate_and_3-(3-hydroxyphenyl)propanoate_degradation_to_2-hydroxypentadienoate,58.94482421875,1.8364220771052342,9,0.055989583333333336,0.322021484375,0.18900553385416666,58.755818684895836,99.6793517728499
PWY0-845:_superpathway_of_pyridoxal_5'-phosphate_biosynthesis_and_salvage,"PWY0-301:_L-ascorbate_degradation_I_(bacterial,_anaerobic)",77.78987630208333,3.5704742747959424,36,0.2785441080729167,2.21954345703125,1.2490437825520833,76.54083251953125,98.39433633021649
GALACT-GLUCUROCAT-PWY:_superpathway_of_hexuronide_and_hexuronate_degradation,COMPLETE-ARO-PWY:_superpathway_of_aromatic_amino_acid_biosynthesis,59.593505859375,0.0,3,0.527099609375,4.488525390625,2.5078125,57.085693359375,95.79180237202728
GLUDEG-I-PWY:_GABA_shunt,PYRIDNUCSAL-PWY:_NAD_salvage_pathway_I_(PNC_VI_cycle),64.52766927083333,2.175703643944681,27,0.13037109375,5.657063802083333,2.8937174479166665,61.633951822916664,95.51554010765328
NAGLIPASYN-PWY:_lipid_IVA_biosynthesis_(E._coli),HCAMHPDEG-PWY:_3-phenylpropanoate_and_3-(3-hydroxyphenyl)propanoate_degradation_to_2-hydroxypentadienoate,65.3553466796875,6.087663435161789,6,5.685546875,0.3583984375,3.02197265625,62.3333740234375,95.37608962421857
"PWY0-301:_L-ascorbate_degradation_I_(bacterial,_anaerobic)",NAGLIPASYN-PWY:_lipid_IVA_biosynthesis_(E._coli),82.26708984375,0.0,3,3.2998046875,5.0322265625,4.166015625,78.10107421875,94.93598760705828
PWY-8073:_lipid_IVA_biosynthesis_(P._putida),PWY-7858:_(5Z)-dodecenoate_biosynthesis_II,64.613037109375,0.0,3,2.62158203125,3.943603515625,3.2825927734375,61.3304443359375,94.91961232548034
PWY0-845:_superpathway_of_pyridoxal_5'-phosphate_biosynthesis_and_salvage,PWY-5154:_L-arginine_biosynthesis_III_(via_N-acetyl-L-citrulline),61.3924560546875,4.067134176396394,6,0.035888671875,6.3935546875,3.2147216796875,58.177734375,94.76365357198956
GALACT-GLUCUROCAT-PWY:_superpathway_of_hexuronide_and_hexuronate_degradation,PWY-5920:_superpathway_of_heme_b_biosynthesis_from_glycine,95.515625,0.0,3,0.999267578125,9.014892578125,5.007080078125,90.508544921875,94.75784189432358
PWY-5030:_L-histidine_degradation_III,COBALSYN-PWY:_superpathway_of_adenosylcobalamin_salvage_from_cobinamide_I,56.9765625,0.0,3,0.2529296875,5.7255859375,2.9892578125,53.9873046875,94.75353078294255
