Test Cohort,N Samples,All Features,Synthetic Only,All Features + Synthetic
Public_study__FengQ_2015,107.0,0.5046728971962616,0.4766355140186916,0.4953271028037383
Public_study__GuptaA_2019,60.0,0.6666666666666666,0.65,0.6666666666666666
Public_study__LiuNN_2022,163.0,0.5950920245398773,0.6134969325153374,0.6319018404907976
Public_study__ThomasAM_2018b,60.0,0.5666666666666667,0.6333333333333333,0.5666666666666667
Public_study__VogtmannE_2016,110.0,0.6272727272727273,0.6090909090909091,0.6090909090909091
Public_study__WirbelJ_2018,125.0,0.6,0.664,0.656
Public_study__YachidaS_2019,548.0,0.5602189781021898,0.5656934306569343,0.5547445255474452
Public_study__YangJ_2020,193.0,0.7150259067357513,0.7098445595854922,0.7202072538860104
Public_study__YangY_2021,200.0,0.63,0.69,0.685
Public_study__YuJ_2015,128.0,0.609375,0.609375,0.65625
Public_study__ZellerG_2014,114.0,0.5964912280701754,0.6228070175438597,0.6140350877192983
This_study_cohort3__ONCOBIOME_IIGM_CZ,105.0,0.5047619047619047,0.47619047619047616,0.4857142857142857
This_study_cohort4__ONCOBIOME_IIGM_IT,145.0,0.7034482758620689,0.6206896551724138,0.6551724137931034
This_study_cohort6__IIGM_TU,57.0,0.631578947368421,0.6491228070175439,0.6491228070175439
Mean,,0.6079479445173365,0.613591402508928,0.6175642542426046
Weighted Mean,,0.6037825059101655,0.6094562647754137,0.6127659574468085
