Test Cohort,N Samples,All Features,Synthetic Only,All Features + Synthetic
Public_study__FengQ_2015,107.0,0.5876692801140413,0.6097647897362795,0.5947968638631504
Public_study__GuptaA_2019,60.0,0.7949999999999999,0.65,0.7061111111111111
Public_study__LiuNN_2022,163.0,0.7084464555052791,0.7141779788838613,0.7134238310708899
Public_study__ThomasAM_2018b,60.0,0.6422991071428572,0.6478794642857143,0.6378348214285714
Public_study__VogtmannE_2016,110.0,0.6606432360742706,0.639423076923077,0.6419098143236074
Public_study__WirbelJ_2018,125.0,0.6423076923076924,0.6891025641025641,0.683076923076923
Public_study__YachidaS_2019,548.0,0.5936046511627907,0.5625835338144881,0.5718390804597702
Public_study__YangJ_2020,193.0,0.7648227712137488,0.7770139634801289,0.7791621911922664
Public_study__YangY_2021,200.0,0.7244499999999999,0.7337499999999999,0.74145
Public_study__YuJ_2015,128.0,0.6512762762762763,0.6532782782782783,0.6824324324324325
Public_study__ZellerG_2014,114.0,0.6725951128982369,0.691927002783792,0.6879059696875967
This_study_cohort3__ONCOBIOME_IIGM_CZ,105.0,0.5224760501105379,0.5350036845983788,0.529108327192336
This_study_cohort4__ONCOBIOME_IIGM_IT,145.0,0.7696097753251873,0.7171856523452897,0.7118644067796611
This_study_cohort6__IIGM_TU,57.0,0.7656695156695157,0.7962962962962963,0.7670940170940171
Mean,,0.6786335659857453,0.6726704489662962,0.6748578421223096
Weighted Mean,,0.6645326071616605,0.6567697090648299,0.6604598690358908
