Feature,Selection Count,Selection %
Fusobacterium_nucleatum,14,100.0
Streptococcus_salivarius,14,100.0
Roseburia_hominis,14,100.0
Methanobrevibacter_smithii,14,100.0
Lachnospiraceae_bacterium,14,100.0
Roseburia_intestinalis,14,100.0
Flavonifractor_plautii,14,100.0
Intestinibacter_bartlettii,14,100.0
Collinsella_aerofaciens,14,100.0
Escherichia_coli,14,100.0
Phocaeicola_vulgatus,14,100.0
Bilophila_wadsworthia,14,100.0
Lachnospira_eligens,14,100.0
Candidatus_Saccharibacteria_unclassified_SGB19850,14,100.0
Bacteroides_fragilis,14,100.0
Parabacteroides_distasonis,14,100.0
Bacteroides_uniformis,14,100.0
Clostridiaceae_bacterium,14,100.0
Ruminococcus_torques,14,100.0
Anaerotignum_faecicola,14,100.0
Parvimonas_micra,14,100.0
Enterocloster_bolteae,14,100.0
Dorea_longicatena,14,100.0
Bacteroides_thetaiotaomicron,14,100.0
Clostridia_bacterium,14,100.0
Phascolarctobacterium_succinatutens,14,100.0
Blautia_wexlerae,14,100.0
Haemophilus_parainfluenzae,14,100.0
Dysosmobacter_welbionis,14,100.0
Faecalibacterium_prausnitzii,14,100.0
Anaerostipes_hadrus,14,100.0
Roseburia_faecis,14,100.0
Ruthenibacterium_lactatiformans,14,100.0
Alistipes_onderdonkii,14,100.0
GGB3746_SGB5089,14,100.0
Phocaeicola_dorei,14,100.0
Adlercreutzia_equolifaciens,14,100.0
Bacteroides_ovatus,14,100.0
Streptococcus_mitis,14,100.0
Blautia_faecis,14,100.0
Clostridia_unclassified_SGB4121,14,100.0
Clostridium_sp_AF34_10BH,14,100.0
Veillonella_parvula,14,100.0
Romboutsia_timonensis,14,100.0
Streptococcus_sp_A12,14,100.0
Eubacterium_rectale,14,100.0
Streptococcus_parasanguinis,14,100.0
Bacteroides_xylanisolvens,14,100.0
Clostridium_phoceensis,14,100.0
Ruminococcus_gnavus,14,100.0
Fusicatenibacter_saccharivorans,14,100.0
Parabacteroides_merdae,14,100.0
Lacrimispora_amygdalina,14,100.0
Enterocloster_citroniae,14,100.0
Odoribacter_splanchnicus,14,100.0
Roseburia_inulinivorans,14,100.0
Clostridiales_bacterium,14,100.0
Allisonella_histaminiformans,14,100.0
Phascolarctobacterium_faecium,14,100.0
Lancefieldella_parvula,14,100.0
Veillonella_dispar,14,100.0
GGB9581_SGB14999,14,100.0
Lachnospira_pectinoschiza,13,92.85714285714286
Faecalibacterium_SGB15346,13,92.85714285714286
Dorea_formicigenerans,13,92.85714285714286
Bacteroides_caccae,13,92.85714285714286
Streptococcus_sp_263_SSPC,13,92.85714285714286
Hungatella_hathewayi,13,92.85714285714286
Rothia_mucilaginosa,13,92.85714285714286
Alistipes_putredinis,13,92.85714285714286
Mogibacterium_diversum,13,92.85714285714286
Blautia_obeum,13,92.85714285714286
Clostridium_sp_AM22_11AC,13,92.85714285714286
Peptostreptococcus_stomatis,13,92.85714285714286
Ruminococcaceae_bacterium,13,92.85714285714286
Alistipes_shahii,13,92.85714285714286
Bifidobacterium_longum,13,92.85714285714286
Anaerococcus_obesiensis,13,92.85714285714286
Veillonella_atypica,13,92.85714285714286
Anaerobutyricum_hallii,13,92.85714285714286
Clostridium_symbiosum,13,92.85714285714286
Solobacterium_SGB6833,13,92.85714285714286
Dialister_pneumosintes,13,92.85714285714286
Agathobaculum_butyriciproducens,13,92.85714285714286
Clostridium_sp_AM33_3,12,85.71428571428571
Gemmiger_formicilis,12,85.71428571428571
Lachnospiraceae_bacterium_WCA3_601_WT_6H,12,85.71428571428571
Phocaeicola_plebeius,12,85.71428571428571
Streptococcus_infantis,12,85.71428571428571
Clostridia_bacterium_UC5_1_1D1,12,85.71428571428571
Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1,12,85.71428571428571
Parasutterella_excrementihominis,12,85.71428571428571
Clostridium_leptum,12,85.71428571428571
Bifidobacterium_adolescentis,12,85.71428571428571
Streptococcus_sanguinis,12,85.71428571428571
Clostridium_fessum,12,85.71428571428571
Eubacterium_ramulus,11,78.57142857142857
Enterocloster_aldensis,11,78.57142857142857
GGB2977_SGB3959,11,78.57142857142857
Blautia_producta,11,78.57142857142857
Bacteroides_cellulosilyticus,11,78.57142857142857
