data_type,base_feature,contributing_feature,base_IG_1D_mean,total_IG_2D_mean,ig_difference_raw,ig_difference_pct,pair_ig_count
taxa,Gemella_sanguinis,Fusobacterium_nucleatum,3.007,453.937,450.93,14995.6,2/28
taxa,Oribacterium_sinus,Fusobacterium_nucleatum,4.419,454.395,449.976,10182.32,2/28
taxa,GGB2980_SGB3962,Fusobacterium_nucleatum,5.989,453.767,447.778,7476.66,2/28
taxa,Streptococcus_intermedius,Fusobacterium_nucleatum,0.752,446.071,445.319,59183.16,2/28
taxa,GGB9176_SGB14114,Fusobacterium_nucleatum,-0.0,444.527,444.527,-91039150.0,2/28
taxa,Streptococcus_gordonii,Fusobacterium_nucleatum,4.993,446.429,441.436,8840.37,2/28
taxa,Streptococcus_infantis,Fusobacterium_nucleatum,0.914,440.678,439.764,48139.91,24/28
taxa,Clostridia_unclassified_SGB15402,Fusobacterium_nucleatum,0.053,439.811,439.758,822487.21,2/28
taxa,Veillonella_rogosae,Fusobacterium_nucleatum,2.542,441.276,438.733,17257.92,22/28
taxa,Bacilli_unclassified_SGB6571,Fusobacterium_nucleatum,0.032,438.7,438.668,1371590.08,2/28
taxa,GGB9512_SGB14909,Fusobacterium_nucleatum,0.166,438.792,438.625,263819.38,2/28
taxa,Anaerotignum_lactatifermentans,Fusobacterium_nucleatum,0.542,439.08,438.538,80912.16,2/28
taxa,Candidatus_Pararuminococcus_gallinarum,Fusobacterium_nucleatum,1.139,439.533,438.394,38500.47,2/28
taxa,Pseudoflavonifractor_SGB15156,Fusobacterium_nucleatum,1.06,439.268,438.208,41328.55,2/28
taxa,Streptococcus_sp_263_SSPC,Fusobacterium_nucleatum,3.649,441.714,438.065,12006.19,22/28
taxa,Candidatus_Allochristensenella_caecavium,Fusobacterium_nucleatum,0.801,438.633,437.833,54675.67,2/28
taxa,Clostridiales_bacterium_UBA1390,Fusobacterium_nucleatum,5.698,443.441,437.742,7681.73,2/28
taxa,Angelakisella_massiliensis,Fusobacterium_nucleatum,0.036,437.755,437.719,1211416.22,2/28
taxa,Clostridium_sp_Marseille_P3244,Fusobacterium_nucleatum,0.1,437.589,437.489,438130.56,2/28
taxa,Lachnoclostridium_sp_An138,Fusobacterium_nucleatum,0.89,437.956,437.066,49100.99,2/28
taxa,GGB9667_SGB15164,Fusobacterium_nucleatum,7.27,444.009,436.74,6007.61,2/28
taxa,GGB9694_SGB15203,Fusobacterium_nucleatum,2.953,439.647,436.695,14790.0,2/28
taxa,Rothia_mucilaginosa,Fusobacterium_nucleatum,0.628,437.298,436.67,69521.49,22/28
taxa,Pseudoflavonifractor_capillosus,Fusobacterium_nucleatum,10.036,446.424,436.388,4348.38,2/28
taxa,GGB9623_SGB15076,Fusobacterium_nucleatum,0.022,436.34,436.318,1963909.89,2/28
taxa,Massilimaliae_timonensis,Fusobacterium_nucleatum,0.467,436.734,436.267,93410.93,2/28
taxa,Bittarella_massiliensis,Fusobacterium_nucleatum,0.904,437.16,436.256,48268.64,2/28
taxa,Christensenellaceae_bacterium_NSJ_44,Fusobacterium_nucleatum,13.838,450.084,436.246,3152.43,2/28
taxa,GGB9695_SGB15209,Fusobacterium_nucleatum,0.195,436.362,436.167,223317.38,2/28
taxa,GGB12785_SGB19823,Fusobacterium_nucleatum,0.331,436.495,436.165,131944.68,2/28
taxa,GGB9610_SGB15045,Fusobacterium_nucleatum,2.356,438.404,436.048,18508.33,2/28
taxa,Lachnospiraceae_bacterium_NSJ_29,Fusobacterium_nucleatum,0.092,436.057,435.964,472410.05,2/28
taxa,Neisseria_subflava,Fusobacterium_nucleatum,0.873,436.772,435.899,49942.49,2/28
taxa,Anaerotruncus_rubiinfantis,Fusobacterium_nucleatum,0.428,436.306,435.878,101787.74,2/28
taxa,Christensenella_massiliensis,Fusobacterium_nucleatum,12.871,448.713,435.841,3386.14,2/28
taxa,Anaeromassilibacillus_sp_An250,Fusobacterium_nucleatum,4.438,440.088,435.65,9816.38,2/28
taxa,GGB32463_SGB47515,Fusobacterium_nucleatum,3.011,438.651,435.64,14468.36,2/28
taxa,Candidatus_Paralachnospira_caecorum,Fusobacterium_nucleatum,3.626,439.186,435.56,12011.39,2/28
