Test Cohort,N Samples,All Features,Synthetic Only,All Features + Synthetic
Public_study__FengQ_2015,107.0,0.7570093457943925,0.8130841121495327,0.8130841121495327
Public_study__GuptaA_2019,60.0,0.85,0.8166666666666667,0.7833333333333333
Public_study__LiuNN_2022,163.0,0.6993865030674846,0.7484662576687117,0.7668711656441718
Public_study__ThomasAM_2018b,60.0,0.8166666666666667,0.7666666666666667,0.7666666666666667
Public_study__VogtmannE_2016,110.0,0.7090909090909091,0.7090909090909091,0.7090909090909091
Public_study__WirbelJ_2018,125.0,0.808,0.8,0.808
Public_study__YachidaS_2019,548.0,0.6697080291970803,0.6605839416058394,0.6624087591240876
Public_study__YangJ_2020,193.0,0.8341968911917098,0.8031088082901554,0.8134715025906736
Public_study__YangY_2021,200.0,0.755,0.735,0.735
Public_study__YuJ_2015,128.0,0.8515625,0.859375,0.8671875
Public_study__ZellerG_2014,114.0,0.631578947368421,0.6491228070175439,0.6578947368421053
This_study_cohort3__ONCOBIOME_IIGM_CZ,105.0,0.6857142857142857,0.7047619047619048,0.6952380952380952
This_study_cohort4__ONCOBIOME_IIGM_IT,145.0,0.696551724137931,0.6620689655172414,0.6689655172413793
This_study_cohort6__IIGM_TU,57.0,0.8596491228070176,0.8245614035087719,0.8421052631578947
Mean,,0.7588653517882784,0.7537541030674245,0.7563798257913462
Weighted Mean,,0.7356973995271867,0.7314420803782505,0.735224586288416
