Test Cohort,N Samples,All Features,Synthetic Only,All Features + Synthetic
Public_study__FengQ_2015,107.0,0.8850677120456165,0.8811475409836065,0.8916607270135425
Public_study__GuptaA_2019,60.0,0.9388888888888889,0.8855555555555555,0.8861111111111111
Public_study__LiuNN_2022,163.0,0.8527149321266969,0.8479638009049774,0.8495475113122172
Public_study__ThomasAM_2018b,60.0,0.8962053571428572,0.87890625,0.8727678571428571
Public_study__VogtmannE_2016,110.0,0.7871352785145889,0.7887931034482758,0.7805039787798409
Public_study__WirbelJ_2018,125.0,0.8762820512820513,0.8508974358974359,0.8478205128205129
Public_study__YachidaS_2019,548.0,0.7264234161988774,0.7315223202352312,0.7340684309008287
Public_study__YangJ_2020,193.0,0.9216970998925886,0.8955424274973146,0.9040279269602578
Public_study__YangY_2021,200.0,0.79845,0.7851,0.7911
Public_study__YuJ_2015,128.0,0.9236736736736736,0.9254254254254255,0.9234234234234234
Public_study__ZellerG_2014,114.0,0.7865759356634704,0.803587998762759,0.7961645530467059
This_study_cohort3__ONCOBIOME_IIGM_CZ,105.0,0.747789240972734,0.7627118644067796,0.7641857037582904
This_study_cohort4__ONCOBIOME_IIGM_IT,145.0,0.7931612140323216,0.7482262514781238,0.7403429247142295
This_study_cohort6__IIGM_TU,57.0,0.9537037037037037,0.9316239316239315,0.9301994301994302
Mean,,0.8491263217241479,0.8369288504442441,0.8365660065130891
Weighted Mean,,0.8186124764228622,0.8103903254238685,0.8112473379574389
