Feature,Selection Count,Selection %
GM_Dialister_pneumosintes__Peptostreptococcus_stomatis,14,100.0
GM_Fusobacterium_nucleatum__Peptostreptococcus_stomatis,13,92.85714285714286
GM_Dialister_pneumosintes__Fusobacterium_nucleatum,13,92.85714285714286
GM_Anaerococcus_obesiensis__Fusobacterium_nucleatum,13,92.85714285714286
LR_Fusobacterium_nucleatum__Roseburia_intestinalis,13,92.85714285714286
LR_Anaerococcus_obesiensis__Fusobacterium_nucleatum,13,92.85714285714286
GM_Fusobacterium_nucleatum__Roseburia_hominis,13,92.85714285714286
GM_Fusobacterium_nucleatum__GGB38171_SGB72433,13,92.85714285714286
GM_Dialister_pneumosintes__Parvimonas_micra,13,92.85714285714286
LR_Fusobacterium_nucleatum__Megasphaera_micronuciformis,13,92.85714285714286
GM_Fusobacterium_nucleatum__Roseburia_intestinalis,13,92.85714285714286
LR_Fusobacterium_nucleatum__Roseburia_hominis,13,92.85714285714286
GM_Fusobacterium_nucleatum__Megasphaera_micronuciformis,13,92.85714285714286
GM_Fusobacterium_nucleatum__Parvimonas_micra,13,92.85714285714286
LR_Dialister_pneumosintes__Fusobacterium_nucleatum,13,92.85714285714286
GM_Eikenella_corrodens__Fusobacterium_nucleatum,13,92.85714285714286
LR_Fusobacterium_nucleatum__Parvimonas_micra,13,92.85714285714286
GM_Fusobacterium_nucleatum__Morganella_morganii,13,92.85714285714286
GM_Fusobacterium_nucleatum__Gemella_morbillorum,13,92.85714285714286
GM_Fusobacterium_nucleatum__Peptostreptococcus_anaerobius,13,92.85714285714286
GM_Fusobacterium_nucleatum__Porphyromonas_SGB1980,13,92.85714285714286
LR_Anaerococcus_obesiensis__Parvimonas_micra,12,85.71428571428571
GM_Anaerococcus_obesiensis__Peptostreptococcus_stomatis,12,85.71428571428571
LR_Fusobacterium_nucleatum__Peptostreptococcus_stomatis,12,85.71428571428571
LR_Dialister_pneumosintes__Peptostreptococcus_stomatis,12,85.71428571428571
LR_Anaerococcus_obesiensis__Peptostreptococcus_stomatis,12,85.71428571428571
GM_Fusobacterium_nucleatum__Veillonella_parvula,12,85.71428571428571
GM_Anaerococcus_obesiensis__Parvimonas_micra,12,85.71428571428571
LR_Fusobacterium_nucleatum__Lancefieldella_parvula,12,85.71428571428571
LR_Fusobacterium_nucleatum__Streptococcus_salivarius,12,85.71428571428571
LR_Fusobacterium_nucleatum__Phascolarctobacterium_succinatutens,12,85.71428571428571
LR_Fusobacterium_nucleatum__Streptococcus_infantis,12,85.71428571428571
GM_Parvimonas_micra__Peptostreptococcus_stomatis,12,85.71428571428571
LR_Fusobacterium_nucleatum__Streptococcus_sp_A12,12,85.71428571428571
GM_Fusobacterium_nucleatum__Porphyromonas_asaccharolytica,12,85.71428571428571
GM_Escherichia_coli__Fusobacterium_nucleatum,12,85.71428571428571
GM_Fusobacterium_nucleatum__Phascolarctobacterium_succinatutens,12,85.71428571428571
GM_Fusobacterium_nucleatum__Streptococcus_salivarius,12,85.71428571428571
GM_Fusobacterium_nucleatum__Peptostreptococcus_SGB749,12,85.71428571428571
LR_Escherichia_coli__Fusobacterium_nucleatum,12,85.71428571428571
LR_Fusobacterium_nucleatum__Veillonella_parvula,12,85.71428571428571
LR_Clostridium_phoceensis__Fusobacterium_nucleatum,11,78.57142857142857
GM_Faecalibacterium_prausnitzii__Fusobacterium_nucleatum,11,78.57142857142857
LR_Fusobacterium_nucleatum__Hungatella_hathewayi,11,78.57142857142857
LR_Fusobacterium_nucleatum__Haemophilus_parainfluenzae,11,78.57142857142857
GM_Fusobacterium_nucleatum__Streptococcus_gallolyticus,11,78.57142857142857
GM_Fusobacterium_naviforme__Fusobacterium_nucleatum,11,78.57142857142857
GM_Campylobacter_ureolyticus__Fusobacterium_nucleatum,11,78.57142857142857
LR_Fusobacterium_nucleatum__Lachnospiraceae_bacterium,11,78.57142857142857
LR_Clostridia_bacterium__Fusobacterium_nucleatum,11,78.57142857142857
GM_Clostridia_bacterium__Fusobacterium_nucleatum,11,78.57142857142857
LR_Fusobacterium_nucleatum__Haemophilus_sputorum,11,78.57142857142857
LR_Blautia_faecis__Fusobacterium_nucleatum,11,78.57142857142857
LR_Fusobacterium_nucleatum__Veillonella_atypica,11,78.57142857142857
GM_Bilophila_wadsworthia__Fusobacterium_nucleatum,11,78.57142857142857
LR_Fusobacterium_nucleatum__GGB4584_SGB6338,11,78.57142857142857
LR_Adlercreutzia_equolifaciens__Fusobacterium_nucleatum,11,78.57142857142857
LR_Fusobacterium_nucleatum__GGB38171_SGB72433,11,78.57142857142857
GM_Collinsella_aerofaciens__Fusobacterium_nucleatum,11,78.57142857142857
LR_Fusobacterium_nucleatum__Solobacterium_SGB6833,11,78.57142857142857
LR_Bilophila_wadsworthia__Fusobacterium_nucleatum,11,78.57142857142857
GM_Fusobacterium_nucleatum__Phocaeicola_plebeius,11,78.57142857142857
GM_Bacteroides_fragilis__Fusobacterium_nucleatum,11,78.57142857142857
LR_Fusobacterium_nucleatum__Streptococcus_parasanguinis,11,78.57142857142857
GM_Clostridiaceae_bacterium__Fusobacterium_nucleatum,11,78.57142857142857
LR_Bacteroides_fragilis__Fusobacterium_nucleatum,11,78.57142857142857
LR_Fusobacterium_nucleatum__Lachnospira_eligens,11,78.57142857142857
LR_Fusobacterium_nucleatum__GGB4603_SGB6367,11,78.57142857142857
GM_Fusobacterium_nucleatum__Lachnospira_eligens,11,78.57142857142857
GM_Akkermansia_muciniphila__Fusobacterium_nucleatum,11,78.57142857142857
LR_Fusobacterium_nucleatum__Mogibacterium_diversum,11,78.57142857142857
GM_Clostridium_sp_AF34_10BH__Fusobacterium_nucleatum,11,78.57142857142857
LR_Fusobacterium_nucleatum__Roseburia_faecis,11,78.57142857142857
LR_Clostridium_sp_AM33_3__Fusobacterium_nucleatum,11,78.57142857142857
LR_Fusobacterium_nucleatum__GGB4588_SGB6347,11,78.57142857142857
GM_Clostridium_symbiosum__Fusobacterium_nucleatum,11,78.57142857142857
GM_Blautia_wexlerae__Fusobacterium_nucleatum,11,78.57142857142857
GM_Blautia_faecis__Fusobacterium_nucleatum,11,78.57142857142857
LR_Collinsella_aerofaciens__Fusobacterium_nucleatum,11,78.57142857142857
LR_Fusobacterium_nucleatum__Klebsiella_michiganensis,11,78.57142857142857
GM_Fusobacterium_nucleatum__Lactobacillus_crispatus,11,78.57142857142857
GM_Fusobacterium_nucleatum__Methanobrevibacter_smithii,11,78.57142857142857
LR_Candidatus_Saccharibacteria_unclassified_SGB19850__Fusobacterium_nucleatum,11,78.57142857142857
GM_Clostridiales_bacterium__Fusobacterium_nucleatum,11,78.57142857142857
GM_Candidatus_Saccharibacteria_unclassified_SGB19850__Fusobacterium_nucleatum,11,78.57142857142857
GM_Fusobacterium_nucleatum__Hungatella_hathewayi,11,78.57142857142857
LR_Anaerostipes_hadrus__Fusobacterium_nucleatum,11,78.57142857142857
LR_Faecalibacterium_prausnitzii__Fusobacterium_nucleatum,11,78.57142857142857
LR_Clostridiales_bacterium__Fusobacterium_nucleatum,11,78.57142857142857
LR_Allisonella_histaminiformans__Fusobacterium_nucleatum,11,78.57142857142857
LR_Fusobacterium_nucleatum__Ruminococcaceae_bacterium,11,78.57142857142857
GM_Fusobacterium_nucleatum__GGB9642_SGB15119,11,78.57142857142857
LR_Fusicatenibacter_saccharivorans__Fusobacterium_nucleatum,11,78.57142857142857
LR_Clostridium_sp_AF34_10BH__Fusobacterium_nucleatum,11,78.57142857142857
LR_Actinomyces_graevenitzii__Fusobacterium_nucleatum,11,78.57142857142857
GM_Clostridium_phoceensis__Fusobacterium_nucleatum,11,78.57142857142857
GM_Allisonella_histaminiformans__Fusobacterium_nucleatum,11,78.57142857142857
LR_Fusobacterium_nucleatum__Streptococcus_mitis,11,78.57142857142857
LR_Fusobacterium_nucleatum__Lachnospira_SGB5076,11,78.57142857142857
GM_Fusicatenibacter_saccharivorans__Fusobacterium_nucleatum,11,78.57142857142857
GM_Fusobacterium_nucleatum__Roseburia_faecis,11,78.57142857142857
LR_Bacilli_unclassified_SGB6422__Fusobacterium_nucleatum,11,78.57142857142857
LR_Fusobacterium_nucleatum__Streptococcus_sp_263_SSPC,11,78.57142857142857
LR_Fusobacterium_nucleatum__Ruthenibacterium_lactatiformans,11,78.57142857142857
GM_Anaerostipes_hadrus__Fusobacterium_nucleatum,11,78.57142857142857
GM_Fusobacterium_nucleatum__Odoribacter_splanchnicus,11,78.57142857142857
GM_Adlercreutzia_equolifaciens__Fusobacterium_nucleatum,11,78.57142857142857
GM_Fusobacterium_nucleatum__Ruminococcaceae_bacterium,11,78.57142857142857
LR_Fusobacterium_nucleatum__Oribacterium_parvum,11,78.57142857142857
LR_Fusobacterium_nucleatum__Phocaeicola_plebeius,11,78.57142857142857
LR_Fusobacterium_nucleatum__Veillonella_dispar,11,78.57142857142857
LR_Anaerotignum_faecicola__Fusobacterium_nucleatum,11,78.57142857142857
LR_Dialister_pneumosintes__Parvimonas_micra,11,78.57142857142857
GM_Enterococcus_gallinarum__Fusobacterium_nucleatum,11,78.57142857142857
LR_Fusobacterium_nucleatum__GGB3637_SGB4930,11,78.57142857142857
LR_Enterobacter_hormaechei__Fusobacterium_nucleatum,11,78.57142857142857
LR_Clostridium_sp_AF34_13__Fusobacterium_nucleatum,11,78.57142857142857
LR_Abiotrophia_sp_HMSC24B09__Fusobacterium_nucleatum,11,78.57142857142857
LR_Blautia_wexlerae__Fusobacterium_nucleatum,11,78.57142857142857
GM_Fusobacterium_nucleatum__Ruthenibacterium_lactatiformans,11,78.57142857142857
LR_Fusobacterium_nucleatum__Rothia_mucilaginosa,11,78.57142857142857
LR_Clostridiaceae_bacterium__Fusobacterium_nucleatum,11,78.57142857142857
LR_Fusobacterium_nucleatum__Veillonella_rogosae,11,78.57142857142857
GM_Fusobacterium_nucleatum__Lachnospiraceae_bacterium,11,78.57142857142857
GM_Fusobacterium_nucleatum__Streptococcus_sp_A12,11,78.57142857142857
GM_Fusobacterium_nucleatum__Solobacterium_SGB6833,11,78.57142857142857
GM_Fusobacterium_nucleatum__Ruminococcus_torques,11,78.57142857142857
GM_Fusobacterium_nucleatum__Lactobacillus_vaginalis,11,78.57142857142857
LR_Enterococcus_gallinarum__Fusobacterium_nucleatum,11,78.57142857142857
LR_Fusobacterium_nucleatum__Ruminococcus_torques,11,78.57142857142857
LR_Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1__Fusobacterium_nucleatum,11,78.57142857142857
GM_Anaerotignum_faecicola__Fusobacterium_nucleatum,11,78.57142857142857
GM_Fusobacterium_nucleatum__GGB3746_SGB5089,11,78.57142857142857
LR_Fusobacterium_nucleatum__GGB3746_SGB5089,11,78.57142857142857
LR_Fusobacterium_nucleatum__Methanobrevibacter_smithii,11,78.57142857142857
GM_Fusobacterium_nucleatum__Granulicatella_adiacens,10,71.42857142857143
LR_Fusobacterium_nucleatum__Lactobacillus_crispatus,10,71.42857142857143
GM_Fusobacterium_nucleatum__Mogibacterium_timidum,10,71.42857142857143
GM_Fusobacterium_nucleatum__Lactobacillus_gasseri,10,71.42857142857143
